from	from	from
:	:	:
david	david	david
a	a	a
.	.	.

fuess	fuess	fuess

subject	subject	subject
:	:	:
re	re	re
:	:	:
visual	visual	visual
c	c	c
+	+	+
+	+	+

organization	organ	organization
:	:	:
ucllnl	ucllnl	ucllnl

lines	line	line
:	:	:
29	29	29

distribution	distribut	distribution
:	:	:
usa	usa	usa

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
talon	talon	talon
.	.	.
llnl	llnl	llnl
.	.	.
gov	gov	gov

it	it	it
is	is	is
correct	correct	correct
that	that	that
vc	vc	vc
+	+	+
+	+	+
is	is	is
not	not	not
considered	consid	considered
an	an	an
upgrade	upgrad	upgrade
for	for	for
c7	c7	c7
.	.	.

c7	c7	c7
is	is	is
basically	basic	basically
a	a	a
dos	dos	do
product	product	product
,	,	,
vc	vc	vc
+	+	+
+	+	+
is	is	is
a	a	a
windows	window	window
product	product	product
.	.	.

as	as	a
windows	window	window
is	is	is
not	not	not
an	an	an
upgrade	upgrad	upgrade
for	for	for
dos	dos	do
,	,	,
it	it	it
is	is	is
a	a	a
separate	separ	separate
operating	oper	operating
system	system	system
product	product	product
line	line	line
,	,	,
its	it	it
utilities	util	utility
cannot	cannot	cannot
be	be	be
upgrades	upgrad	upgrade
for	for	for
dos	dos	do
utilities	util	utility
.	.	.

however	howev	however
,	,	,
i	i	i
have	have	have
also	also	also
been	been	been
told	told	told
that	that	that
it	it	it
is	is	is
not	not	not
an	an	an
upgrade	upgrad	upgrade
for	for	for
qcwin	qcwin	qcwin
,	,	,
which	which	which
it	it	it
should	should	should
be	be	be
!	!	!

in	in	in
article	articl	article
<	<	<
735708181	735708181	735708181
.aa00457@therose.pdx.com	.aa00457@therose.pdx.com	.aa00457@therose.pdx.com
>	>	>
don.hancock@f303.n105.z1.fidonet.org	don.hancock@f303.n105.z1.fidonet.org	don.hancock@f303.n105.z1.fidonet.org
(	(	(
don	don	don
hancock	hancock	hancock
)	)	)
writes	write	writes
:	:	:

>	>	>
my	my	my
understanding	understand	understanding
is	is	is
that	that	that
visual	visual	visual
c	c	c
+	+	+
+	+	+
*	*	*
is	is	is
*	*	*
msc8	msc8	msc8
.	.	.
0	0	0
.	.	.
is	is	is
it	it	it
not	not	not
?	?	?

what	what	what
i	i	i
mean	mean	mean
is	is	is
,	,	,
>	>	>
it	it	it
is	is	is
intended	intend	intended
as	as	a
a	a	a
logical	logic	logical
upgrade	upgrad	upgrade
to	to	to
msc7	msc7	msc7
(	(	(
which	which	which
i	i	i
own	own	own
)	)	)
.	.	.

i	i	i
am	am	am
very	veri	very

>	>	>
interested	interest	interested
in	in	in
vc	vc	vc
+	+	+
+	+	+
,	,	,
but	but	but
i	i	i
can	can	can
'	'	'
t	t	t
find	find	find
anything	anyth	anything
about	about	about
it	it	it
.	.	.

tell	tell	tell
me	me	me
more	more	more
.	.	.

>	>	>
how	how	how
'	'	'
s	s	s
the	the	the
editor	editor	editor
?	?	?

is	is	is
it	it	it
a	a	a
true	true	true
windows	window	window
app	app	app
(	(	(
msc7	msc7	msc7
-	-	-
which	which	which
i	i	i
love	love	love
-	-	-
is	is	is
not	not	not
)	)	)
.	.	.

>	>	>
how	how	how
are	are	are
compile	compil	compile
times	time	time
?	?	?

.	.	.
exe	exe	exe
sizes	size	size
?	?	?

how	how	how
smart	smart	smart
is	is	is
the	the	the
linker	linker	linker
?	?	?

how	how	how
well	well	well
does	doe	doe
it	it	it

>	>	>
do	do	do
dos	dos	do
apps	app	apps
?	?	?

i	i	i
would	would	would
like	like	like
to	to	to
be	be	be
one	one	one
of	of	of
the	the	the
few	few	few
programmers	programm	programmer
still	still	still
pumping	pump	pumping
out	out	out

>	>	>
stuff	stuff	stuff
for	for	for
the	the	the
dos	dos	do
users	user	user
out	out	out
there	there	there
-	-	-
even	even	even
though	though	though
