from	from	from
:	:	:
louray@seas.gwu.edu	louray@seas.gwu.edu	louray@seas.gwu.edu
(	(	(
michael	michael	michael
panayiotakis	panayiotaki	panayiotakis
)	)	)

subject	subject	subject
:	:	:
realizing	realiz	realizing
colours	colour	colour
/	/	/
win	win	win
.	.	.
ini	ini	ini
setting	set	setting
changes	chang	change
to	to	to
"	"	"
y	y	y
"	"	"
automatically	automat	automatically
:	:	:

organization	organ	organization
:	:	:
george	georg	george
washington	washington	washington
university	univers	university

lines	line	line
:	:	:
32	32	32

mornin	mornin	mornin
'	'	'
all	all	all
.	.	.

i	i	i
was	was	wa
wonderin	wonderin	wonderin
'	'	'
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

i	i	i
got	got	got
screenpeace	screenpeac	screenpeace
(	(	(
the	the	the
screensaver	screensav	screensaver
,	,	,
which	which	which
i	i	i
think	think	think
is	is	is
*	*	*
very	veri	very
*	*	*
good	good	good
)	)	)
,	,	,
and	and	and
i	i	i
got	got	got
a	a	a
problem	problem	problem
with	with	with
it	it	it
.	.	.
.	.	.
.	.	.

there	there	there
is	is	is
an	an	an
option	option	option
there	there	there
,	,	,
"	"	"
realize	realiz	realize
colour	colour	colour
table	tabl	table
"	"	"
,	,	,
and	and	and
if	if	if
it	it	it
'	'	'
s	s	s
switched	switch	switched
on	on	on
,	,	,
some	some	some
wallpapers	wallpap	wallpaper
'	'	'
colours	colour	colour
will	will	will
get	get	get
*	*	*
ucked	uck	ucked
up	up	up
with	with	with
some	some	some
screensavers	screensav	screensavers
(	(	(
e	e	e
.	.	.
g	g	g
.	.	.
the	the	the
"	"	"
flashlight	flashlight	flashlight
"	"	"
one	one	one
)	)	)
.	.	.

if	if	if
i	i	i
turn	turn	turn
it	it	it
off	off	off
,	,	,
however	howev	however
,	,	,
it	it	it
works	work	work
well	well	well
,	,	,
and	and	and
it	it	it
'	'	'
s	s	s
faster	faster	faster
,	,	,
so	so	so
i	i	i
have	have	have
it	it	it
off	off	off
.	.	.

all	all	all
'	'	'
s	s	s
nice	nice	nice
and	and	and
well	well	well
.	.	.

however	howev	however
,	,	,
if	if	if
i	i	i
turn	turn	turn
it	it	it
off	off	off
,	,	,
then	then	then
it	it	it
will	will	will
be	be	be
on	on	on
again	again	again
next	next	next
time	time	time
i	i	i
start	start	start
windows	window	window
.	.	.

all	all	all
the	the	the
setting	set	setting
are	are	are
set	set	set
in	in	in
the	the	the
win	win	win
.	.	.
ini	ini	ini
file	file	file
,	,	,
and	and	and
i	i	i
*	*	*
do	do	do
*	*	*
have	have	have
"	"	"
save	save	save
settings	set	setting
on	on	on
exit	exit	exit
"	"	"
selected	select	selected
.	.	.

also	also	also
,	,	,
i	i	i
tried	tri	tried
manually	manual	manually
changing	chang	changing
the	the	the
setting	set	setting
in	in	in
the	the	the
win	win	win
.	.	.
ini	ini	ini
file	file	file
to	to	to
"	"	"
n	n	n
"	"	"
(	(	(
for	for	for
no	no	no
-	-	-
-	-	-
>	>	>
realize	realiz	realize
colour	colour	colour
table	tabl	table
)	)	)
,	,	,
and	and	and
started	start	started
windows	window	window
.	.	.

it	it	it
will	will	will
be	be	be
fine	fine	fine
for	for	for
that	that	that
session	session	session
,	,	,
but	but	but
the	the	the
next	next	next
session	session	session
will	will	will
*	*	*
again	again	again
*	*	*
turn	turn	turn
the	the	the
option	option	option
on	on	on
.	.	.

i	i	i
tried	tri	tried
adding	ad	adding
a	a	a
+	+	+
r	r	r
(	(	(
read	read	read
-	-	-
only	onli	only
)	)	)
attribute	attribut	attribute
to	to	to
my	my	my
win	win	win
.	.	.
ini	ini	ini
file	file	file
,	,	,
and	and	and
it	it	it
worked	work	worked
,	,	,
but	but	but
my	my	my
bitmap	bitmap	bitmap
(	(	(
wallpaper	wallpap	wallpaper
)	)	)
saver	saver	saver
didn	didn	didn
'	'	'
t	t	t
work	work	work
then	then	then
.	.	.

actually	actual	actually
,	,	,
it	it	it
'	'	'
s	s	s
the	the	the
same	same	same
application	applic	application
.	.	.

anywya	anywya	anywya
,	,	,
it	it	it
didn	didn	didn
'	'	'
t	t	t
work	work	work
,	,	,
since	sinc	since
it	it	it
must	must	must
change	chang	change
the	the	the
setting	set	setting
at	at	at
the	the	the
win	win	win
.	.	.
ini	ini	ini
file	file	file
.	.	.

so	so	so
anyone	anyon	anyone
out	out	out
there	there	there
got	got	got
any	ani	any
answers	answer	answer
/	/	/
suggesions	sugges	suggesions
/	/	/
comments	comment	comment
for	for	for
me	me	me
?	?	?

thanks	thank	thanks
,	,	,
i	i	i
.	.	.
a	a	a
.	.	.

mickey	mickey	mickey
aka	aka	aka
mp	mp	mp

-	-	-
-	-	-
pe	pe	pe
-	-	-
|	|	|
|	|	|
|	|	|
|	|	|
michael	michael	michael
panayiotakis	panayiotaki	panayiotakis
:	:	:
louray@seas.gwu.edu	louray@seas.gwu.edu	louray@seas.gwu.edu
ace	ace	ace
|	|	|
|	|	|
|	|	|
|	|	|
.	.	.
.	.	.
.	.	.
!	!	!
uunet	uunet	uunet
!	!	!
seas	sea	sea
.	.	.
gwu	gwu	gwu
.	.	.
edu	edu	edu
!	!	!
louray	louray	louray

|	|	|
|	|	|
|	|	|
|	|	|
\	\	\
/	/	/
|	|	|
*	*	*
how	how	how
do	do	do
make	make	make
a	a	a
ms	ms	m
-	-	-
windows	window	window
.	.	.
grp	grp	grp
file	file	file
reflect	reflect	reflect
a	a	a
hd	hd	hd
directory	directori	directory
?	?	?
?	?	?
*	*	*

\	\	\
\	\	\
\	\	\
\	\	\
|	|	|
"	"	"
well	well	well
i	i	i
ain	ain	ain
'	'	'
t	t	t
always	alway	always
right	right	right
,	,	,
but	but	but
i	i	i
'	'	'
ve	ve	ve
never	never	never
been	been	been
wrong	wrong	wrong
.	.	.
.	.	.
"	"	"
(	(	(
gd	gd	gd
)	)	)
