from	from	from
:	:	:
ccastco@prism.gatech.edu	ccastco@prism.gatech.edu	ccastco@prism.gatech.edu
(	(	(
constantinos	constantino	constantinos
malamas	malama	malamas
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
is	is	is
ms	ms	m
-	-	-
windows	window	window
a	a	a
"	"	"
mature	matur	mature
"	"	"
os	os	o
?	?	?

keywords	keyword	keywords
:	:	:
ms	ms	m
-	-	-
windows	window	window

distribution	distribut	distribution
:	:	:
usa	usa	usa

organization	organ	organization
:	:	:
georgia	georgia	georgia
institute	institut	institute
of	of	of
technology	technolog	technology

lines	line	line
:	:	:
46	46	46

in	in	in
article	articl	article
<	<	<
cyen	cyen	cyen
.	.	.
735139934	735139934	735139934
@	@	@
ponder	ponder	ponder
>	>	>
jesse	jess	jesse
writes	write	writes
:	:	:

>	>	>
hi	hi	hi
,	,	,
>	>	>
have	have	have
you	you	you
used	use	used
mac	mac	mac
system	system	system
6	6	6
.	.	.
x	x	x
or	or	or
7	7	7
.	.	.
x	x	x
?	?	?
if	if	if
the	the	the
answer	answer	answer
is	is	is
positive	posit	positive
,	,	,
you	you	you
would	would	would

>	>	>
know	know	know
if	if	if
ms	ms	m
-	-	-
windows	window	window
is	is	is
a	a	a
"	"	"
mature	matur	mature
"	"	"
os	os	o
.	.	.

>	>	>

>	>	>
days	day	day
ago	ago	ago
people	peopl	people
doubted	doubt	doubted
that	that	that
ms	ms	m
-	-	-
windows	window	window
is	is	is
not	not	not
a	a	a
real	real	real
os	os	o
.	.	.

i	i	i
can	can	can
see	see	see
why	whi	why

>	>	>
they	they	they
have	have	have
such	such	such
question	question	question
.	.	.

ms	ms	m
-	-	-
windows	window	window
confuses	confus	confuses
many	mani	many
people	peopl	people
.	.	.

microsoft	microsoft	microsoft

[	[	[
common	common	common
complaints	complaint	complaint
about	about	about
ms	ms	m
windows	window	window
deleted	delet	deleted
.	.	.
.	.	.
.	.	.
]	]	]

>	>	>
jesse	jess	jesse

>	>	>
e	e	e
-	-	-
mail	mail	mail
:	:	:
