subject	subject	subject
:	:	:
re	re	re
:	:	:
w4wg	w4wg	w4wg
&	&	&
novell	novel	novell

from	from	from
:	:	:
cctr132@csc.canterbury.ac.nz	cctr132@csc.canterbury.ac.nz	cctr132@csc.canterbury.ac.nz
(	(	(
nick	nick	nick
fitzgerald	fitzgerald	fitzgerald
,	,	,
pc	pc	pc
software	softwar	software
consultant	consult	consultant
,	,	,
csc	csc	csc
,	,	,
uoc	uoc	uoc
,	,	,
nz	nz	nz
)	)	)

reply	repli	reply
-	-	-
to	to	to
:	:	:
nick	nick	nick
fitzgerald	fitzgerald	fitzgerald
<	<	<
n.fitzgerald@csc.canterbury.ac.nz	n.fitzgerald@csc.canterbury.ac.nz	n.fitzgerald@csc.canterbury.ac.nz
>	>	>

organization	organ	organization
:	:	:
university	univers	university
of	of	of
canterbury	canterburi	canterbury
,	,	,
christchurch	christchurch	christchurch
,	,	,
new	new	new
zealand	zealand	zealand

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
cantva	cantva	cantva
.	.	.
canterbury	canterburi	canterbury
.	.	.
ac	ac	ac
.	.	.
nz	nz	nz

lines	line	line
:	:	:
27	27	27

in	in	in
article	articl	article
<	<	<
1rh2mi	1rh2mi	1rh2mi
$	$	$
ea4@msuinfo.cl.msu.edu	ea4@msuinfo.cl.msu.edu	ea4@msuinfo.cl.msu.edu
>	>	>
,	,	,
bilan@cps.msu.edu	bilan@cps.msu.edu	bilan@cps.msu.edu
(	(	(
thomas	thoma	thomas
j	j	j
bilan	bilan	bilan
)	)	)
writes	write	writes
:	:	:

>	>	>
if	if	if
i	i	i
put	put	put
lastdrive	lastdriv	lastdrive
=	=	=
z	z	z
in	in	in
my	my	my
config	config	config
.	.	.
sys	sys	sys
,	,	,
netx	netx	netx
will	will	will
run	run	run
but	but	but
i	i	i
can	can	can
'	'	'
t	t	t
access	access	access

>	>	>
drive	drive	drive
f	f	f
:	:	:
to	to	to
log	log	log
in	in	in
to	to	to
novell	novel	novell
.	.	.

>	>	>
if	if	if
i	i	i
don	don	don
'	'	'
t	t	t
put	put	put
lastdrive	lastdriv	lastdrive
=	=	=
z	z	z
in	in	in
my	my	my
config	config	config
.	.	.
sys	sys	sys
i	i	i
can	can	can
'	'	'
t	t	t
access	access	access
other	other	other
w4wg	w4wg	w4wg

>	>	>
drives	drive	drive
from	from	from
the	the	the
file	file	file
-	-	-
manager	manag	manager
.	.	.

>	>	>

>	>	>
it	it	it
seems	seem	seems
that	that	that
there	there	there
should	should	should
be	be	be
a	a	a
way	way	way
to	to	to
make	make	make
netx	netx	netx
work	work	work
with	with	with
the	the	the
lastdrive	lastdriv	lastdrive
=	=	=

>	>	>
statement	statement	statement
in	in	in
my	my	my
config	config	config
.	.	.
sys	sys	sys
.	.	.

first	first	first
off	off	off
,	,	,
i	i	i
haven	haven	haven
'	'	'
t	t	t
used	use	used
w4wg	w4wg	w4wg
(	(	(
but	but	but
i	i	i
think	think	think
that	that	that
'	'	'
s	s	s
about	about	about
to	to	to
change	chang	change
!	!	!
)	)	)
.	.	.

the	the	the
problem	problem	problem
is	is	is
the	the	the
lastdrive	lastdriv	lastdrive
command	command	command
and	and	and
the	the	the
way	way	way
netware	netwar	netware
in	in	in
general	general	general
(	(	(
and	and	and
in	in	in
this	this	this
case	case	case
netx	netx	netx
in	in	in
particular	particular	particular
)	)	)
adds	add	add
drives	drive	drive
to	to	to
the	the	the
device	devic	device
chain	chain	chain
.	.	.

setting	set	setting
lastdrive	lastdriv	lastdrive
=	=	=
z	z	z
means	mean	mean
there	there	there
are	are	are
no	no	no
"	"	"
unassigned	unassign	unassigned
"	"	"
(	(	(
as	as	a
opposed	oppos	opposed
to	to	to

"	"	"
unused	unus	unused
"	"	"
)	)	)
drive	drive	drive
letters	letter	letter
for	for	for
netware	netwar	netware
to	to	to
use	use	use
,	,	,
as	as	a
it	it	it
tacks	tack	tack
its	it	it
drive	drive	drive
mappings	map	mapping
-	-	-
onto	onto	onto
the	the	the
end	end	end
-	-	-
of	of	of
the	the	the
existing	exist	existing
list	list	list
of	of	of
drives	drive	drive
.	.	.

w4wg	w4wg	w4wg
obviously	obvious	obviously
attaches	attach	attache
its	it	it
network	network	network
drives	drive	drive
to	to	to
"	"	"
existing	exist	existing
,	,	,
unused	unus	unused
"	"	"
drive	drive	drive
letters	letter	letter
.	.	.

i	i	i
'	'	'
d	d	d
guess	guess	guess
the	the	the
next	next	next
thing	thing	thing
i	i	i
'	'	'
d	d	d
try	tri	try
is	is	is
something	someth	something
like	like	like
lastdrive	lastdriv	lastdrive
=	=	=
m	m	m
,	,	,
which	which	which
on	on	on
most	most	most
machines	machin	machine
will	will	will
leave	leav	leave
a	a	a
fair	fair	fair
swathe	swath	swathe
of	of	of
drives	drive	drive
for	for	for
w4wg	w4wg	w4wg
and	and	and
still	still	still
allow	allow	allow
up	up	up
to	to	to
13	13	13
netware	netwar	netware
drive	drive	drive
mappings	map	mapping
as	as	a
well	well	well
.	.	.

+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+
-	-	-
+	+	+

nick	nick	nick
fitzgerald	fitzgerald	fitzgerald
,	,	,
pc	pc	pc
applications	applic	application
consultant	consult	consultant
,	,	,
csc	csc	csc
,	,	,
uni	uni	uni
of	of	of
canterbury	canterburi	canterbury
,	,	,
n	n	n
.	.	.
z	z	z
.	.	.

n.fitzgerald@csc.canterbury.ac.nz	n.fitzgerald@csc.canterbury.ac.nz	n.fitzgerald@csc.canterbury.ac.nz
tel	tel	tel
:	:	:
+64(3)364 2337	+64(3)364 2337	+64(3)364 2337
,	,	,
fax	fax	fax
:	:	:
+64(3)364 2332	+64(3)364 2332	+64(3)364 2332
