subject	subject	subject
:	:	:
roman	roman	roman
.	.	.
bmp	bmp	bmp
09	09	09
/	/	/
14	14	14
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
part	part	part
9	9	9
of	of	of
14	14	14
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-

from	from	from
:	:	:
pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu
(	(	(
cliff	cliff	cliff
)	)	)

reply	repli	reply
-	-	-
to	to	to
:	:	:
pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu
(	(	(
cliff	cliff	cliff
)	)	)

distribution	distribut	distribution
:	:	:
usa	usa	usa

organization	organ	organization
:	:	:
university	univers	university
of	of	of
south	south	south
dakota	dakota	dakota

lines	line	line
:	:	:
958	958	958

max	max	max
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
max	max	max
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
,	,	,
3	3	3
'	'	'
$	$	$
9f8	9f8	9f8
+	+	+
"	"	"
z5	z5	z5
'	'	'
1	1	1
]	]	]
_	_	_
?	?	?
w	w	w
]	]	]
_	_	_
?	?	?
wwiz	wwiz	wwiz
>	>	>
bhj	bhj	bhj
*	*	*
bhj	bhj	bhj
*	*	*
bhj	bhj	bhj
*	*	*
bhj	bhj	bhj
*	*	*
giz	giz	giz
m	m	m
>	>	>
giz	giz	giz
>	>	>
giz	giz	giz
*	*	*
bhj	bhj	bhj
*	*	*
giz	giz	giz
>	>	>
m_	m_	m_
?	?	?
1t	1t	1t
>	>	>
ei0l	ei0l	ei0l
+	+	+
"	"	"
v9f9f9fr	v9f9f9fr	v9f9f9fr
,	,	,
a_	a_	a_
?	?	?
w_	w_	w_
(	(	(
5z	5z	5z
(	(	(
46q04	46q04	46q04
%	%	%
%	%	%
=	=	=
75vo4	75vo4	75vo4
mu	mu	mu
-	-	-
34u	34u	34u
-	-	-
34u	34u	34u
`	`	`
(	(	(
"	"	"
`	`	`
@	@	@
(	(	(
"	"	"
`	`	`
@	@	@
(	(	(
