from	from	from
:	:	:
yaturner@netcom.com	yaturner@netcom.com	yaturner@netcom.com
(	(	(
d	d	d
'	'	'
arc	arc	arc
angel	angel	angel
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
yowza	yowza	yowza
:	:	:
sloooowwww	sloooowwww	sloooowwww
printing	print	printing
from	from	from
dos	dos	do

organization	organ	organization
:	:	:
the	the	the
houses	hous	house
of	of	of
the	the	the
holy	holi	holy

lines	line	line
:	:	:
11	11	11

i	i	i
also	also	also
had	had	had
a	a	a
simular	simular	simular
problem	problem	problem
with	with	with
by	by	by
nec	nec	nec
p7	p7	p7
,	,	,
it	it	it
went	went	went
away	away	away
when	when	when
i	i	i
turned	turn	turned
on	on	on
the	the	the
"	"	"
print	print	print
directly	direct	directly
to	to	to
parallel	parallel	parallel
port	port	port
"	"	"
option	option	option
in	in	in
the	the	the
printer	printer	printer
setup	setup	setup
apallette	apallett	apallette
.	.	.

-	-	-
-	-	-

mencsh	mencsh	mencsh
tract	tract	tract
und	und	und
gott	gott	gott
lacht	lacht	lacht

yaturner@netcom.com	yaturner@netcom.com	yaturner@netcom.com
