subject	subject	subject
:	:	:
re	re	re
:	:	:
gatewaying	gateway	gatewaying
microsoft	microsoft	microsoft
mail	mail	mail
/	/	/
workgroups	workgroup	workgroups
via	via	via
96	96	96

from	from	from
:	:	:
wesj@extsparc.usu.edu	wesj@extsparc.usu.edu	wesj@extsparc.usu.edu
(	(	(
wes	wes	wes
james	jame	james
)	)	)

reply	repli	reply
-	-	-
to	to	to
:	:	:
wesj@extsparc.usu.edu	wesj@extsparc.usu.edu	wesj@extsparc.usu.edu

distribution	distribut	distribution
:	:	:
world	world	world

organization	organ	organization
:	:	:
sun	sun	sun
microsystems	microsystem	microsystems
,	,	,
inc	inc	inc
.	.	.

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
extsparc	extsparc	extsparc
.	.	.
agsci	agsci	agsci
.	.	.
usu	usu	usu
.	.	.
edu	edu	edu

lines	line	line
:	:	:
40	40	40

we	we	we
here	here	here
at	at	at
utah	utah	utah
state	state	state
university	univers	university
cooperative	cooper	cooperative
extension	extens	extension
have	have	have
been	been	been
using	use	using
w4wg	w4wg	w4wg
for	for	for
a	a	a
while	while	while
now	now	now
.	.	.

we	we	we
wanted	want	wanted
to	to	to
talk	talk	talk
to	to	to
the	the	the
internet	internet	internet
with	with	with
the	the	the
mail	mail	mail
package	packag	package
so	so	so
we	we	we
got	got	got
the	the	the
smtp	smtp	smtp
gateway	gateway	gateway
.	.	.

you	you	you
also	also	also
need	need	need
a	a	a
tcp	tcp	tcp
/	/	/
ip	ip	ip
transport	transport	transport
package	packag	package
on	on	on
top	top	top
of	of	of
that	that	that
which	which	which
is	is	is
utterly	utter	utterly
stupid	stupid	stupid
but	but	but
that	that	that
'	'	'
s	s	s
what	what	what
they	they	they
require	requir	require
to	to	to
get	get	get
the	the	the
smtp	smtp	smtp
gateway	gateway	gateway
to	to	to
work	work	work
.	.	.

you	you	you
need	need	need
a	a	a
dedicated	dedic	dedicated
pc	pc	pc
for	for	for
the	the	the
gateway	gateway	gateway
and	and	and
if	if	if
you	you	you
are	are	are
looking	look	looking
at	at	at
remote	remot	remote
access	access	access
you	you	you
need	need	need
another	anoth	another
dedicated	dedic	dedicated
pc	pc	pc
for	for	for
the	the	the
remote	remot	remote
mail	mail	mail
stuff	stuff	stuff
.	.	.

we	we	we
do	do	do
not	not	not
have	have	have
the	the	the
remote	remot	remote
mail	mail	mail
going	go	going
but	but	but
you	you	you
indicate	indic	indicate
that	that	that
that	that	that
is	is	is
what	what	what
you	you	you
want	want	want
to	to	to
do	do	do
.	.	.

there	there	there
is	is	is
a	a	a
glitch	glitch	glitch
somewhere	somewher	somewhere
in	in	in
the	the	the
system	system	system
though	though	though
.	.	.

i	i	i
don	don	don
'	'	'
t	t	t
know	know	know
if	if	if
it	it	it
is	is	is
ms	ms	m
mail	mail	mail
,	,	,
the	the	the
gateway	gateway	gateway
or	or	or
the	the	the
vax	vax	vax
here	here	here
on	on	on
campus	campus	campus
that	that	that
is	is	is
choking	choke	choking
in	in	in
the	the	the
mail	mail	mail
that	that	that
is	is	is
sent	sent	sent
.	.	.

the	the	the
scenario	scenario	scenario
is	is	is
this	this	this
.	.	.

the	the	the
outgoing	outgo	outgoing
mail	mail	mail
goes	goe	go
to	to	to
a	a	a
unix	unix	unix
system	system	system
which	which	which
then	then	then
routes	rout	route
the	the	the
mail	mail	mail
where	where	where
it	it	it
needs	need	need
to	to	to
go	go	go
.	.	.

if	if	if
that	that	that
mail	mail	mail
is	is	is
routed	rout	routed
to	to	to
the	the	the
vax	vax	vax
,	,	,
the	the	the
vax	vax	vax
has	has	ha
problems	problem	problem
some	some	some
times	time	time
receiving	receiv	receiving
the	the	the
mail	mail	mail
.	.	.

most	most	most
messages	messag	message
do	do	do
get	get	get
through	through	through
this	this	this
way	way	way
except	except	except
if	if	if
someone	someon	someone
has	has	ha
there	there	there
mail	mail	mail
on	on	on
the	the	the
vax	vax	vax
forwarded	forward	forwarded
to	to	to
some	some	some
other	other	other
location	locat	location
.	.	.

that	that	that
is	is	is
the	the	the
main	main	main
gotcha	gotcha	gotcha
.	.	.

where	where	where
ever	ever	ever
the	the	the
mail	mail	mail
is	is	is
forwarded	forward	forwarded
to	to	to
that	that	that
person	person	person
gets	get	get
a	a	a
message	messag	message
header	header	header
then	then	then
a	a	a
message	messag	message
saying	say	saying
"	"	"
boudary	boudari	boudary
:	:	:
=	=	=
(	(	(
error	error	error
garbage	garbag	garbage
code	code	code
stuff	stuff	stuff
)	)	)
"	"	"
.	.	.

if	if	if
you	you	you
can	can	can
stay	stay	stay
away	away	away
from	from	from
sending	send	sending
to	to	to
a	a	a
vax	vax	vax
you	you	you
are	are	are
ok	ok	ok
.	.	.

the	the	the
system	system	system
people	peopl	people
of	of	of
course	cours	course
say	say	say
that	that	that
the	the	the
vax	vax	vax
is	is	is
not	not	not
the	the	the
problem	problem	problem
,	,	,
the	the	the
gateway	gateway	gateway
is	is	is
probably	probabl	probably
the	the	the
problem	problem	problem
.	.	.

if	if	if
anyone	anyon	anyone
wants	want	want
to	to	to
get	get	get
help	help	help
it	it	it
is	is	is
only	onli	only
$	$	$
175	175	175
.	.	.
00	00	00
for	for	for
one	one	one
support	support	support
call	call	call
.	.	.

(	(	(
until	until	until
problem	problem	problem
is	is	is
worked	work	worked
out	out	out
)	)	)
phooey	phooey	phooey
to	to	to
that	that	that
i	i	i
say	say	say
.	.	.

i	i	i
am	am	am
looking	look	looking
vigorously	vigor	vigorously
for	for	for
a	a	a
better	better	better
idea	idea	idea
.	.	.

if	if	if
you	you	you
go	go	go
forward	forward	forward
on	on	on
any	ani	any
of	of	of
this	this	this
and	and	and
find	find	find
out	out	out
anything	anyth	anything
knew	knew	knew
,	,	,
please	pleas	please
drop	drop	drop
me	me	me
a	a	a
note	note	note
-	-	-
anyone	anyon	anyone
.	.	.

the	the	the
next	next	next
itteration	itter	itteration
is	is	is
supposed	suppos	supposed
to	to	to
have	have	have
tcp	tcp	tcp
/	/	/
ip	ip	ip
built	built	built
in	in	in
they	they	they
say	say	say
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.
.	.	.

the	the	the
netxt	netxt	netxt
itteration	itter	itteration
of	of	of
w4wg	w4wg	w4wg

good	good	good
luck	luck	luck
!	!	!
!	!	!
!	!	!
!	!	!
!	!	!

*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*

wes	wes	wes
james	jame	james
email	email	email
:	:	:
wesj@extsparc.agsci.usu.edu	wesj@extsparc.agsci.usu.edu	wesj@extsparc.agsci.usu.edu

utah	utah	utah
state	state	state
university	univers	university

cooperative	cooper	cooperative
extension	extens	extension

systems	system	system
specialist	specialist	specialist

umc	umc	umc
4900	4900	4900
voice	voic	voice
:	:	:
(	(	(
801)750-2229	801)750-2229	801)750-2229

logan	logan	logan
,	,	,
ut	ut	ut
84322-4900	84322-4900	84322-4900
fax	fax	fax
:	:	:
(	(	(
801)750-3268	801)750-3268	801)750-3268

*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
*	*	*
