from	from	from
:	:	:
alee@mnemosyne.cs.du.edu	alee@mnemosyne.cs.du.edu	alee@mnemosyne.cs.du.edu
(	(	(
alec	alec	alec
lee	lee	lee
)	)	)

subject	subject	subject
:	:	:
windows	window	window
speaker	speaker	speaker
sound	sound	sound
driver	driver	driver

summary	summari	summary
:	:	:
where	where	where
can	can	can
i	i	i
ftp	ftp	ftp
it	it	it
?	?	?

organization	organ	organization
:	:	:
university	univers	university
of	of	of
denver	denver	denver
,	,	,
dept	dept	dept
.	.	.

of	of	of
math	math	math
&	&	&
comp	comp	comp
.	.	.

sci	sci	sci
.	.	.

lines	line	line
:	:	:
7	7	7

is	is	is
there	there	there
an	an	an
ftp	ftp	ftp
site	site	site
where	where	where
i	i	i
can	can	can
get	get	get
the	the	the
ms	ms	m
speaker	speaker	speaker
sound	sound	sound
driver	driver	driver
?	?	?

there	there	there
'	'	'
s	s	s
a	a	a
"	"	"
sound	sound	sound
.	.	.
exe	exe	exe
"	"	"
file	file	file
that	that	that
claims	claim	claim
to	to	to
be	be	be
the	the	the
driver	driver	driver
but	but	but
i	i	i
'	'	'
m	m	m
suspicious	suspici	suspicious
since	sinc	since
it	it	it
'	'	'
s	s	s
not	not	not
a	a	a
.	.	.
drv	drv	drv
file	file	file
.	.	.

thanks	thank	thanks

alec	alec	alec
lee	lee	lee
