from	from	from
:	:	:
nagel@ucsu.colorado.edu	nagel@ucsu.colorado.edu	nagel@ucsu.colorado.edu
(	(	(
kurt	kurt	kurt
nagel	nagel	nagel
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
ami	ami	ami
pro	pro	pro
3	3	3
.	.	.
0	0	0
and	and	and
equation	equat	equation
mode	mode	mode

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
fido	fido	fido
.	.	.
colorado	colorado	colorado
.	.	.
edu	edu	edu

organization	organ	organization
:	:	:
university	univers	university
of	of	of
colorado	colorado	colorado
,	,	,
boulder	boulder	boulder

lines	line	line
:	:	:
37	37	37

nagel@ucsu.colorado.edu	nagel@ucsu.colorado.edu	nagel@ucsu.colorado.edu
(	(	(
kurt	kurt	kurt
nagel	nagel	nagel
)	)	)
writes	write	writes
:	:	:

>	>	>
hi	hi	hi
,	,	,

>	>	>
i	i	i
'	'	'
m	m	m
having	have	having
a	a	a
problem	problem	problem
with	with	with
amipro	amipro	amipro
when	when	when
writing	write	writing
equations	equat	equation
.	.	.

if	if	if
the	the	the

>	>	>
equation	equat	equation
extends	extend	extends
past	past	past
a	a	a
certain	certain	certain
point	point	point
on	on	on
a	a	a
line	line	line
,	,	,
the	the	the
whole	whole	whole
thing	thing	thing
disappears	disappear	disappears
.	.	.

>	>	>
if	if	if
i	i	i
then	then	then
try	tri	try
to	to	to
delete	delet	delete
the	the	the
equation	equat	equation
or	or	or
cursor	cursor	cursor
beyond	beyond	beyond
the	the	the
equation	equat	equation
,	,	,
ami	ami	ami

>	>	>
goes	goe	go
nuts	nut	nut
.	.	.

the	the	the
line	line	line
counter	counter	counter
at	at	at
the	the	the
bottom	bottom	bottom
of	of	of
the	the	the
screen	screen	screen
increments	increment	increment

>	>	>
repeatedly	repeat	repeatedly
and	and	and
the	the	the
only	onli	only
way	way	way
out	out	out
is	is	is
to	to	to
ctrl	ctrl	ctrl
-	-	-
atl	atl	atl
-	-	-
del	del	del
.	.	.

if	if	if
i	i	i
have	have	have
been	been	been

>	>	>
unfortunate	unfortun	unfortunate
enough	enough	enough
to	to	to
save	save	save
a	a	a
document	document	document
with	with	with
one	one	one
of	of	of
these	these	these
screwed	screw	screwed
up	up	up

>	>	>
equations	equat	equation
,	,	,
the	the	the
document	document	document
is	is	is
basically	basic	basically
trashed	trash	trashed
.	.	.

(	(	(
although	although	although
i	i	i
have	have	have
been	been	been

>	>	>
able	abl	able
to	to	to
fix	fix	fix
them	them	them
by	by	by
going	go	going
into	into	into
an	an	an
ascii	ascii	ascii
editor	editor	editor
and	and	and
deleteing	delet	deleteing
large	larg	large

>	>	>
chunks	chunk	chunk
of	of	of
the	the	the
document	document	document
)	)	)

>	>	>
has	has	ha
anyone	anyon	anyone
else	els	else
experienced	experienc	experienced
this	this	this
?	?	?

does	doe	doe
lotus	lotus	lotus
know	know	know
about	about	about
it	it	it

>	>	>
and	and	and
or	or	or
have	have	have
a	a	a
patch	patch	patch
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
?	?	?
.	.	.

>	>	>
thanks	thank	thanks
in	in	in
advance	advanc	advance
,	,	,

>	>	>
kurt	kurt	kurt

>	>	>
nagel@fido.colorado.edu	nagel@fido.colorado.edu	nagel@fido.colorado.edu

i	i	i
contacted	contact	contacted
lotus	lotus	lotus
about	about	about
this	this	this
problem	problem	problem
today	today	today
.	.	.

it	it	it
has	has	ha
been	been	been
reported	report	reported
previously	previous	previously
and	and	and
there	there	there
is	is	is
a	a	a
fix	fix	fix
.	.	.

apparantly	appar	apparantly
the	the	the
problem	problem	problem
only	onli	only
occurs	occur	occurs
when	when	when
tab	tab	tab
characters	charact	character
are	are	are
used	use	used
immediately	immedi	immediately
preceding	preced	preceding
the	the	the
equation	equat	equation
frame	frame	frame
.	.	.

the	the	the
work	work	work
around	around	around
when	when	when
equations	equat	equation
are	are	are
expected	expect	expected
to	to	to
touch	touch	touch
the	the	the
right	right	right
margin	margin	margin
is	is	is
to	to	to
delete	delet	delete
at	at	at
least	least	least
one	one	one
preceding	preced	preceding
tab	tab	tab
and	and	and
use	use	use
space	space	space
to	to	to
align	align	align
the	the	the
frame	frame	frame
(	(	(
or	or	or
use	use	use
set	set	set
frame	frame	frame
where	where	where
placed	place	placed
w	w	w
/	/	/
no	no	no
text	text	text
wrap	wrap	wrap
around	around	around
)	)	)
.	.	.

unforutnately	unforutn	unforutnately
,	,	,
once	onc	once
the	the	the
page	page	page
run	run	run
-	-	-
on	on	on
has	has	ha
occured	occur	occured
you	you	you
are	are	are
hosed	hose	hosed
.	.	.

so	so	so
the	the	the
moral	moral	moral
of	of	of
the	the	the
story	stori	story
is	is	is
use	use	use
only	onli	only
space	space	space
characters	charact	character
to	to	to
align	align	align
equation	equat	equation
frames	frame	frame
.	.	.

hope	hope	hope
this	this	this
helps	help	help
the	the	the
rest	rest	rest
of	of	of
you	you	you
who	who	who
have	have	have
already	alreadi	already
contacted	contact	contacted
me	me	me
with	with	with
this	this	this
problem	problem	problem
.	.	.

kurt	kurt	kurt
nagel@fido.colorado.edu	nagel@fido.colorado.edu	nagel@fido.colorado.edu
