subject	subject	subject
:	:	:
roman	roman	roman
.	.	.
bmp	bmp	bmp
14	14	14
/	/	/
14	14	14

from	from	from
:	:	:
pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu
(	(	(
cliff	cliff	cliff
)	)	)

reply	repli	reply
-	-	-
to	to	to
:	:	:
pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu	pwiseman@salmon.usd.edu
(	(	(
cliff	cliff	cliff
)	)	)

distribution	distribut	distribution
:	:	:
usa	usa	usa

organization	organ	organization
:	:	:
university	univers	university
of	of	of
south	south	south
dakota	dakota	dakota

lines	line	line
:	:	:
449	449	449

-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
part	part	part
14	14	14
of	of	of
14	14	14
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
-	-	-
m	m	m
<	<	<
1d9	1d9	1d9
&	&	&
;	;	;
"	"	"
p4u	p4u	p4u
/	/	/
m	m	m
[	[	[
>	>	>
v	v	v
+	+	+
bxn	bxn	bxn
+	+	+
-	-	-
#	#	#
0t	0t	0t
-	-	-
#	#	#
0tq33	0tq33	0tq33
%	%	%
q6	q6	q6
=	=	=
g9v	g9v	g9v
=	=	=
g	g	g
#	#	#
p	p	p
\	\	\
/	/	/
#	#	#
p	p	p
\	\	\
/	/	/
9v	9v	9v
?	?	?
%	%	%
q	q	q
<	<	<
7	7	7
%	%	%
q30t	q30t	q30t
m	m	m
-	-	-
#	#	#
0t	0t	0t
-	-	-
#	#	#
0tbxom	0tbxom	0tbxom
[	[	[
>	>	>
wm4u	wm4u	wm4u
.	.	.
pl	pl	pl
+	+	+
"	"	"
p	p	p
&	&	&
1d9	1d9	1d9
&	&	&
1d9	1d9	1d9
&	&	&
1d9	1d9	1d9
&	&	&
1d9	1d9	1d9
&	&	&
1d9	1d9	1d9
&	&	&
1d9	1d9	1d9
&	&	&
1d9	1d9	1d9
<	<	<
7	7	7
%	%	%
q	q	q
<	<	<
7	7	7
$	$	$
9	9	9
m	m	m
&	&	&
7	7	7
%	%	%
q	q	q
<	<	<
7	7	7
%	%	%
q	q	q
<	<	<
=	=	=
+	+	+
2tct	2tct	2tct
]	]	]
/	/	/
9f9f0	9f9f0	9f9f0
,	,	,
#	#	#
7ey	7ey	7ey
>	>	>
n	n	n
[	[	[
n	n	n
[	[	[
*	*	*
bhj	bhj	bhj
>	>	>
gizw	gizw	gizw
]	]	]
_	_	_
?	?	?
w	w	w
]	]	]
_	_	_
?	?	?
w	w	w
]	]	]
]	]	]
'	'	'
1t	1t	1t
=	=	=
'	'	'
i	i	i
:	:	:
6e	6e	6e
mi4	mi4	mi4
=	=	=
'	'	'
i	i	i
:	:	:
6e	6e	6e
"	"	"
pl	pl	pl
+	+	+
"	"	"
v9fq	v9fq	v9fq
,	,	,
0q	0q	0q
,	,	,
8	8	8
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
ax	ax	ax
>	>	>
'	'	'
as	as	a
$	$	$
q	q	q
,	,	,
<	<	<
3	3	3
$	$	$
mq	mq	mq
&	&	&
9f9f9f	9f9f9f	9f9f9f
