from	from	from
:	:	:
marc	marc	marc
vanheyningen	vanheyningen	vanheyningen
<	<	<
mvanheyn@cs.indiana.edu	mvanheyn@cs.indiana.edu	mvanheyn@cs.indiana.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
more	more	more
technical	technic	technical
details	detail	detail

organization	organ	organization
:	:	:
computer	comput	computer
science	scienc	science
dept	dept	dept
,	,	,
indiana	indiana	indiana
university	univers	university

lines	line	line
:	:	:
43	43	43

>	>	>
encrypted	encrypt	encrypted
under	under	under
k	k	k
,	,	,
then	then	then
k	k	k
will	will	will
be	be	be
encrypted	encrypt	encrypted
under	under	under
the	the	the
unit	unit	unit
key	key	key
uk	uk	uk
,	,	,

>	>	>
and	and	and
the	the	the
serial	serial	serial
number	number	number
of	of	of
the	the	the
unit	unit	unit
added	ad	added
to	to	to
produce	produc	produce
a	a	a
three	three	three
part	part	part

>	>	>
message	messag	message
which	which	which
will	will	will
then	then	then
be	be	be
encrypted	encrypt	encrypted
under	under	under
the	the	the
system	system	system
key	key	key
sk	sk	sk

>	>	>
producing	produc	producing

>	>	>

>	>	>
e	e	e
{	{	{
e	e	e
[	[	[
m	m	m
;	;	;
k	k	k
]	]	]
,	,	,
e	e	e
[	[	[
k	k	k
;	;	;
uk	uk	uk
]	]	]
,	,	,
serial	serial	serial
number	number	number
;	;	;
sk	sk	sk
}	}	}

>	>	>

>	>	>
my	my	my
understanding	understand	understanding
is	is	is
that	that	that
e	e	e
[	[	[
m	m	m
;	;	;
k	k	k
]	]	]
is	is	is
not	not	not
encrypted	encrypt	encrypted
under	under	under
sk	sk	sk
(	(	(
called	call	called
the	the	the

>	>	>
"	"	"
family	famili	family
key	key	key
"	"	"
)	)	)
and	and	and
that	that	that
the	the	the
decrypt	decrypt	decrypt
key	key	key
corresponding	correspond	corresponding
to	to	to
sk	sk	sk
is	is	is
held	held	held
by	by	by

>	>	>
law	law	law
enforcement	enforc	enforcement
.	.	.

does	doe	doe
anyone	anyon	anyone
have	have	have
first	first	first
hand	hand	hand
knowledge	knowledg	knowledge
on	on	on
this	this	this
?	?	?

i	i	i

>	>	>
will	will	will
also	also	also
check	check	check
it	it	it
out	out	out
,	,	,
but	but	but
this	this	this
is	is	is
7am	7am	7am
sunday	sunday	sunday
so	so	so
i	i	i
did	did	did
not	not	not
want	want	want
to	to	to
wait	wait	wait
.	.	.

ok	ok	ok
,	,	,
so	so	so
there	there	there
are	are	are
in	in	in
fact	fact	fact
two	two	two
distinct	distinct	distinct
components	compon	component
transmitted	transmit	transmitted
by	by	by
the	the	the
chip	chip	chip
;	;	;
the	the	the
real	real	real
message	messag	message
encrypted	encrypt	encrypted
with	with	with
the	the	the
"	"	"
conventional	convent	conventional
"	"	"
key	key	key
,	,	,
and	and	and
the	the	the
serial	serial	serial
number	number	number
and	and	and
encrypted	encrypt	encrypted
"	"	"
conventional	convent	conventional
"	"	"
key	key	key
encrypted	encrypt	encrypted
with	with	with
the	the	the

(	(	(
imho	imho	imho
kind	kind	kind
of	of	of
bogus	bogus	bogus
,	,	,
as	as	a
the	the	the
whole	whole	whole
concept	concept	concept
of	of	of
"	"	"
one	one	one
key	key	key
that	that	that
millions	million	million
of	of	of
people	peopl	people
use	use	use
which	which	which
can	can	can
'	'	'
t	t	t
be	be	be
changed	chang	changed
"	"	"
doesn	doesn	doesn
'	'	'
t	t	t
seem	seem	seem
reasonable	reason	reasonable
)	)	)
"	"	"
family	famili	family
key	key	key
"	"	"
.	.	.

suppose	suppos	suppose
i	i	i
analyze	analyz	analyze
the	the	the
output	output	output
of	of	of
this	this	this
chip	chip	chip
and	and	and
i	i	i
'	'	'
m	m	m
able	abl	able
to	to	to
determine	determin	determine
which	which	which
bits	bit	bit
are	are	are
the	the	the
encrypted	encrypt	encrypted
packet	packet	packet
which	which	which
contains	contain	contains
the	the	the
serial	serial	serial
number	number	number
and	and	and
session	session	session
key	key	key
.	.	.

suppose	suppos	suppose
i	i	i
also	also	also
design	design	design
a	a	a
simple	simpl	simple
algorithm	algorithm	algorithm
based	base	based
on	on	on
this	this	this
information	inform	information
which	which	which
takes	take	take
the	the	the
data	data	data
containing	contain	containing
the	the	the
encrypted	encrypt	encrypted
session	session	session
key	key	key
and	and	and
twiddles	twiddl	twiddle
a	a	a
bit	bit	bit
(	(	(
or	or	or
several	sever	several
)	)	)
before	befor	before
it	it	it
'	'	'
s	s	s
sent	sent	sent
down	down	down
the	the	the
line	line	line
.	.	.

mind	mind	mind
you	you	you
,	,	,
i	i	i
'	'	'
m	m	m
sure	sure	sure
the	the	the
nsa	nsa	nsa
thought	thought	thought
of	of	of
this	this	this
along	along	along
with	with	with
a	a	a
dozen	dozen	dozen
other	other	other
attacks	attack	attack
i	i	i
can	can	can
'	'	'
t	t	t
imagine	imagin	imagine
,	,	,
and	and	and
the	the	the
system	system	system
is	is	is
probably	probabl	probably
somehow	somehow	somehow
designed	design	designed
so	so	so
that	that	that
manipulation	manipul	manipulation
of	of	of
this	this	this
information	inform	information
will	will	will
cause	caus	cause
a	a	a
compliant	compliant	compliant
receiving	receiv	receiving
chip	chip	chip
to	to	to
somehow	somehow	somehow
fail	fail	fail
to	to	to
decrypt	decrypt	decrypt
successfully	success	successfully
.	.	.

but	but	but
how	how	how
?	?	?

what	what	what
if	if	if
the	the	the
two	two	two
parties	parti	party
agree	agre	agree
in	in	in
advance	advanc	advance
on	on	on
some	some	some
kind	kind	kind
of	of	of
consistent	consist	consistent
bit	bit	bit
-	-	-
twiddling	twiddl	twiddling
scheme	scheme	scheme
,	,	,
so	so	so
the	the	the
decryption	decrypt	decryption
chip	chip	chip
sees	see	see
the	the	the
restored	restor	restored

"	"	"
proper	proper	proper
"	"	"
bitstream	bitstream	bitstream
but	but	but
an	an	an
eavesdropper	eavesdropp	eavesdropper
gets	get	get
a	a	a
e	e	e
[	[	[
k	k	k
;	;	;
uk	uk	uk
]	]	]
packet	packet	packet
that	that	that
'	'	'
s	s	s
wrong	wrong	wrong
?	?	?

i	i	i
suppose	suppos	suppose
this	this	this
could	could	could
be	be	be
easily	easili	easily
defeated	defeat	defeated
if	if	if
the	the	the
chip	chip	chip
"	"	"
sends	send	sends
"	"	"
that	that	that
information	inform	information
out	out	out
many	mani	many
times	time	time
in	in	in
slightly	slight	slightly
different	differ	different
ways	way	way
,	,	,
making	make	making
it	it	it
effectively	effect	effectively
impossible	imposs	impossible
to	to	to
be	be	be
certain	certain	certain
you	you	you
know	know	know
all	all	all
the	the	the
information	inform	information
being	be	being
sent	sent	sent
.	.	.

-	-	-
-	-	-
marc	marc	marc
vanheyningen	vanheyningen	vanheyningen
mvanheyn@cs.indiana.edu	mvanheyn@cs.indiana.edu	mvanheyn@cs.indiana.edu
mime	mime	mime
&	&	&
ripem	ripem	ripem
accepted	accept	accepted
if	if	if
your	your	your
theory	theori	theory
predicts	predict	predicts
different	differ	different
outcomes	outcom	outcome
depending	depend	depending
on	on	on
whether	whether	whether
you	you	you
use	use	use
discrete	discret	discrete
mathematics	mathemat	mathematics
or	or	or
continuous	continu	continuous
mathematics	mathemat	mathematics
,	,	,
then	then	then
you	you	you
'	'	'
ve	ve	ve
got	got	got
the	the	the
wrong	wrong	wrong
theory	theori	theory
.	.	.

-	-	-
bruce	bruce	bruce
maclennan	maclennan	maclennan
