from	from	from
:	:	:
gtoal@gtoal.com	gtoal@gtoal.com	gtoal@gtoal.com
(	(	(
graham	graham	graham
toal	toal	toal
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
secret	secret	secret
algorithm	algorithm	algorithm
[	[	[
re	re	re
:	:	:
clipper	clipper	clipper
chip	chip	chip
and	and	and
crypto	crypto	crypto
key	key	key
-	-	-
escrow	escrow	escrow
]	]	]

lines	line	line
:	:	:
65	65	65

]	]	]
gtoal@news.ibmpcug.co.uk	gtoal@news.ibmpcug.co.uk	gtoal@news.ibmpcug.co.uk
(	(	(
graham	graham	graham
toal	toal	toal
)	)	)
writes	write	writes
:	:	:

]	]	]
>	>	>
try	tri	try
reading	read	reading
between	between	between
the	the	the
lines	line	line
david	david	david
-	-	-
there	there	there
are	are	are
*	*	*
strong	strong	strong
*	*	*
hints	hint	hint
in	in	in
there	there	there

]	]	]
>	>	>
that	that	that
they	they	they
'	'	'
re	re	re
angling	angl	angling
for	for	for
nren	nren	nren
next	next	next
,	,	,

]	]	]
where	where	where
?	?	?

i	i	i
honestly	honest	honestly
didn	didn	didn
'	'	'
t	t	t
see	see	see
any	ani	any
.	.	.
.	.	.
.	.	.

hint	hint	hint
1	1	1
:	:	:

:	:	:
sophisticated	sophist	sophisticated
encryption	encrypt	encryption
technology	technolog	technology
has	has	ha
been	been	been
used	use	used
for	for	for
years	year	year
to	to	to

:	:	:
protect	protect	protect
electronic	electron	electronic
funds	fund	fund
transfer	transfer	transfer
.	.	.

it	it	it
is	is	is
now	now	now
being	be	being
used	use	used
to	to	to

:	:	:
protect	protect	protect
electronic	electron	electronic
mail	mail	mail
and	and	and
computer	comput	computer
files	file	file
.	.	.

while	while	while
encryption	encrypt	encryption

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

hint	hint	hint
2	2	2
:	:	:

:	:	:
this	this	this
new	new	new
technology	technolog	technology
will	will	will
help	help	help
companies	compani	company
protect	protect	protect
proprietary	proprietari	proprietary

:	:	:
information	inform	information
,	,	,
protect	protect	protect
the	the	the
privacy	privaci	privacy
of	of	of
personal	person	personal
phone	phone	phone
conversations	convers	conversation

:	:	:
and	and	and
prevent	prevent	prevent
unauthorized	unauthor	unauthorized
release	releas	release
of	of	of
data	data	data
transmitted	transmit	transmitted

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

:	:	:
electronically	electron	electronically
.	.	.

at	at	at
the	the	the
same	same	same
time	time	time
this	this	this
technology	technolog	technology
preserves	preserv	preserve
the	the	the

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

:	:	:
-	-	-
-	-	-
the	the	the
privacy	privaci	privacy
of	of	of
our	our	our
citizens	citizen	citizen
,	,	,
including	includ	including
the	the	the
need	need	need
to	to	to

:	:	:
employ	employ	employ
voice	voic	voice
or	or	or
data	data	data
encryption	encrypt	encryption
for	for	for
business	busi	business
purposes	purpos	purpose
;	;	;

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

:	:	:
-	-	-
-	-	-
the	the	the
ability	abil	ability
of	of	of
authorized	author	authorized
officials	offici	official
to	to	to
access	access	access
telephone	telephon	telephone

:	:	:
calls	call	call
and	and	and
data	data	data
,	,	,
under	under	under
proper	proper	proper
court	court	court
or	or	or
other	other	other
legal	legal	legal

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^

:	:	:
order	order	order
,	,	,
when	when	when
necessary	necessari	necessary
to	to	to
protect	protect	protect
our	our	our
citizens	citizen	citizen
;	;	;

very	veri	very
big	big	big
hint	hint	hint
3	3	3
:	:	:

#	#	#
the	the	the
administration	administr	administration
is	is	is
committed	commit	committed
to	to	to
working	work	working
with	with	with
the	the	the
private	privat	private

#	#	#
sector	sector	sector
to	to	to
spur	spur	spur
the	the	the
development	develop	development
of	of	of
a	a	a
national	nation	national
information	inform	information

#	#	#
infrastructure	infrastructur	infrastructure
which	which	which
will	will	will
use	use	use
new	new	new
telecommunications	telecommun	telecommunication
and	and	and
computer	comput	computer

#	#	#
technologies	technolog	technology
to	to	to
give	give	give
americans	american	american
unprecedented	unpreced	unprecedented
access	access	access
to	to	to

#	#	#
information	inform	information
.	.	.

this	this	this
infrastructure	infrastructur	infrastructure
of	of	of
high	high	high
-	-	-
speed	speed	speed
networks	network	network

#	#	#
(	(	(
"	"	"
information	inform	information
superhighways	superhighway	superhighway
"	"	"
)	)	)
will	will	will
transmit	transmit	transmit
video	video	video
,	,	,
images	imag	image
,	,	,
hdtv	hdtv	hdtv

#	#	#
programming	program	programming
,	,	,
and	and	and
huge	huge	huge
data	data	data
