subject	subject	subject
:	:	:
re	re	re
:	:	:
drinking	drink	drinking
and	and	and
riding	ride	riding

from	from	from
:	:	:
bclarke@galaxy.gov.bc.ca	bclarke@galaxy.gov.bc.ca	bclarke@galaxy.gov.bc.ca

organization	organ	organization
:	:	:
bc	bc	bc
systems	system	system
corporation	corpor	corporation

lines	line	line
:	:	:
11	11	11

in	in	in
article	articl	article
<	<	<
c514ut.a5i@magpie.linknet.com	c514ut.a5i@magpie.linknet.com	c514ut.a5i@magpie.linknet.com
>	>	>
,	,	,
manes@magpie.linknet.com	manes@magpie.linknet.com	manes@magpie.linknet.com
(	(	(
steve	steve	steve
manes	mane	mane
)	)	)
writes	write	writes
:	:	:

{	{	{
drinking	drink	drinking
&	&	&
riding	ride	riding
}	}	}

>	>	>
it	it	it
depends	depend	depends
on	on	on
how	how	how
badly	bad	badly
you	you	you
want	want	want
to	to	to
live	live	live
.	.	.

the	the	the
faa	faa	faa
says	say	say
"	"	"
eight	eight	eight
hours	hour	hour
,	,	,
bottle	bottl	bottle

>	>	>
to	to	to
throttle	throttl	throttle
"	"	"
for	for	for
pilots	pilot	pilot
but	but	but
recommends	recommend	recommends
twenty	twenti	twenty
-	-	-
four	four	four
hours	hour	hour
.	.	.

the	the	the
fars	far	far
specify	specifi	specify

>	>	>
a	a	a
blood	blood	blood
/	/	/
alcohol	alcohol	alcohol
level	level	level
of	of	of
0	0	0
.	.	.
4	4	4
as	as	a
legally	legal	legally
drunk	drunk	drunk
,	,	,
i	i	i
think	think	think
,	,	,
which	which	which
is	is	is
more	more	more
than	than	than

>	>	>
twice	twice	twice
as	as	a
strict	strict	strict
as	as	a
dwi	dwi	dwi
minimums	minimum	minimum
.	.	.

0	0	0
.	.	.
20	20	20
is	is	is
dwi	dwi	dwi
in	in	in
new	new	new
york	york	york
?	?	?

here	here	here
the	the	the
limit	limit	limit
is	is	is
0	0	0
.	.	.
08	08	08
!	!	!

-	-	-
-	-	-
bruce	bruce	bruce
clarke	clark	clarke
b	b	b
.	.	.
c	c	c
.	.	.
environment	environ	environment

e	e	e
-	-	-
mail	mail	mail
:	:	:
bclarke@galaxy.gov.bc.ca	bclarke@galaxy.gov.bc.ca	bclarke@galaxy.gov.bc.ca
