from	from	from
:	:	:
cash@convex.com	cash@convex.com	cash@convex.com
(	(	(
peter	peter	peter
cash	cash	cash
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
need	need	need
advice	advic	advice
with	with	with
doctor	doctor	doctor
-	-	-
patient	patient	patient
relationship	relationship	relationship
problem	problem	problem

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
zeppelin	zeppelin	zeppelin
.	.	.
convex	convex	convex
.	.	.
com	com	com

organization	organ	organization
:	:	:
the	the	the
instrumentality	instrument	instrumentality

x	x	x
-	-	-
disclaimer	disclaim	disclaimer
:	:	:
this	this	this
message	messag	message
was	was	wa
written	written	written
by	by	by
a	a	a
user	user	user
at	at	at
convex	convex	convex
computer	comput	computer

corp	corp	corp
.	.	.

the	the	the
opinions	opinion	opinion
expressed	express	expressed
are	are	are
those	those	those
of	of	of
the	the	the
user	user	user
and	and	and

not	not	not
necessarily	necessarili	necessarily
those	those	those
of	of	of
convex	convex	convex
.	.	.

lines	line	line
:	:	:
16	16	16

in	in	in
article	articl	article
<	<	<
c5l9qb.4y5@athena.cs.uga.edu	c5l9qb.4y5@athena.cs.uga.edu	c5l9qb.4y5@athena.cs.uga.edu
>	>	>
mcovingt@aisun3.ai.uga.edu	mcovingt@aisun3.ai.uga.edu	mcovingt@aisun3.ai.uga.edu
(	(	(
michael	michael	michael
covington	covington	covington
)	)	)
writes	write	writes
:	:	:

>	>	>
sounds	sound	sound
as	as	a
though	though	though
his	his	his
heart	heart	heart
'	'	'
s	s	s
in	in	in
the	the	the
right	right	right
place	place	place
,	,	,
but	but	but
he	he	he
is	is	is
not	not	not
adept	adept	adept
at	at	at

>	>	>
expressing	express	expressing
it	it	it
.	.	.

what	what	what
you	you	you
received	receiv	received
was	was	wa
_meant_	_meant_	_meant_
to	to	to
be	be	be
a	a	a
profound	profound	profound
apology	apolog	apology
.	.	.

>	>	>
apologies	apolog	apology
delivered	deliv	delivered
by	by	by
overworked	overwork	overworked
shy	shi	shy
people	peopl	people
often	often	often
come	come	come
out	out	out
like	like	like
that	that	that
.	.	.
.	.	.
.	.	.

his	his	his
_heart_	_heart_	_heart_
?	?	?

this	this	this
jerk	jerk	jerk
doesn	doesn	doesn
'	'	'
t	t	t
have	have	have
a	a	a
heart	heart	heart
,	,	,
and	and	and
it	it	it
beats	beat	beat
me	me	me
why	whi	why
you	you	you
'	'	'
re	re	re
apologizing	apolog	apologizing
for	for	for
him	him	him
.	.	.

in	in	in
my	my	my
book	book	book
,	,	,
behavior	behavior	behavior
like	like	like
this	this	this
is	is	is
unprofessional	unprofession	unprofessional
,	,	,
inexcusable	inexcus	inexcusable
,	,	,
and	and	and
beyond	beyond	beyond
the	the	the
pale	pale	pale
.	.	.

if	if	if
he	he	he
'	'	'
s	s	s
overworked	overwork	overworked
,	,	,
it	it	it
'	'	'
s	s	s
because	becaus	because
he	he	he
'	'	'
s	s	s
too	too	too
busy	busi	busy
raking	rake	raking
in	in	in
the	the	the
bucks	buck	buck
.	.	.

more	more	more
likely	like	likely
,	,	,
he	he	he
just	just	just
likes	like	like
to	to	to
push	push	push
women	women	woman
around	around	around
.	.	.

i	i	i
'	'	'
d	d	d
fire	fire	fire
the	the	the
s	s	s
.	.	.
o	o	o
.	.	.
b	b	b
.	.	.
,	,	,
and	and	and
get	get	get
myself	myself	myself
another	anoth	another
doctor	doctor	doctor
.	.	.

-	-	-
-	-	-

~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
~	~	~
