from	from	from
:	:	:
brian@quake.sylmar.ca.us	brian@quake.sylmar.ca.us	brian@quake.sylmar.ca.us
(	(	(
brian	brian	brian
k	k	k
.	.	.

yoder	yoder	yoder
)	)	)
subject	subject	subject
:	:	:
re	re	re
:	:	:
is	is	is
msg	msg	msg
sensitivity	sensit	sensitivity
superstition	superstit	superstition
?	?	?

organization	organ	organization
:	:	:
quake	quak	quake
public	public	public
access	access	access
,	,	,
san	san	san
fernando	fernando	fernando
valley	valley	valley
,	,	,
ca	ca	ca
(	(	(
818)362-6092	818)362-6092	818)362-6092

lines	line	line
:	:	:
92	92	92

have	have	have
you	you	you
ever	ever	ever
met	met	met
a	a	a
chemist	chemist	chemist
?	?	?

a	a	a
food	food	food
industry	industri	industry
businessman	businessman	businessman
?	?	?

you	you	you
must	must	must
personally	person	personally
know	know	know
a	a	a
lot	lot	lot
of	of	of
them	them	them
for	for	for
you	you	you
to	to	to
be	be	be
able	abl	able
to	to	to
be	be	be
so	so	so
certain	certain	certain
that	that	that
they	they	they
are	are	are
evil	evil	evil
mosters	moster	mosters
whose	whose	whose
only	onli	only
goal	goal	goal
is	is	is
to	to	to
inflict	inflict	inflict
as	as	a
much	much	much
pain	pain	pain
and	and	and
disease	diseas	disease
as	as	a
possible	possibl	possible
into	into	into
the	the	the
general	general	general
public	public	public
.	.	.

gimme	gimm	gimme
a	a	a
break	break	break
.	.	.

in	in	in
article	articl	article
<	<	<
1993apr15.215826.3401@rtsg.mot.com	1993apr15.215826.3401@rtsg.mot.com	1993apr15.215826.3401@rtsg.mot.com
>	>	>
lundby@rtsg.mot.com	lundby@rtsg.mot.com	lundby@rtsg.mot.com
(	(	(
walter	walter	walter
f	f	f
.	.	.

l	l	l
undby	undbi	undby
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
>	>	>
is	is	is
there	there	there
such	such	such
a	a	a
thing	thing	thing
as	as	a
msg	msg	msg
(	(	(
monosodium	monosodium	monosodium
glutamate	glutam	glutamate
)	)	)
sensitivity	sensit	sensitivity
?	?	?

>	>	>
>	>	>
>	>	>
superstition	superstit	superstition
.	.	.

anybody	anybodi	anybody
here	here	here
have	have	have
experience	experi	experience
to	to	to
the	the	the
contrary	contrari	contrary
?	?	?

person	person	person
who	who	who
is	is	is
very	veri	very
sensitive	sensit	sensitive
to	to	to
msg	msg	msg
and	and	and
whose	whose	whose
wife	wife	wife
and	and	and
kids	kid	kid
are	are	are

>	>	>
too	too	too
,	,	,
i	i	i
want	want	want
to	to	to
know	know	know
why	whi	why
the	the	the
food	food	food
industry	industri	industry
wants	want	want
to	to	to
put	put	put
msg	msg	msg
in	in	in
food	food	food
!	!	!
!	!	!
!	!	!

because	becaus	because
it	it	it
makes	make	make
the	the	the
food	food	food
taste	tast	taste
better	better	better
!	!	!

why	whi	why
does	doe	doe
it	it	it
put	put	put
salt	salt	salt
in	in	in
food	food	food
?	?	?

same	same	same
reason	reason	reason
.	.	.

>	>	>
i	i	i
really	realli	really
don	don	don
'	'	'
t	t	t
understand	understand	understand
!	!	!
!	!	!
!	!	!

obviously	obvious	obviously
.	.	.

>	>	>
somebody	somebodi	somebody
in	in	in
the	the	the
industry	industri	industry
give	give	give
me	me	me
some	some	some
reasons	reason	reason
why	whi	why
!	!	!

>	>	>
is	is	is
it	it	it
an	an	an
industrial	industri	industrial
byproduct	byproduct	byproduct
that	that	that
needs	need	need
getting	get	getting
get	get	get
rid	rid	rid
of	of	of
?	?	?

of	of	of
course	cours	course
not	not	not
!	!	!

(	(	(
although	although	although
i	i	i
would	would	would
think	think	think
that	that	that
a	a	a
person	person	person
like	like	like
you	you	you
would	would	would
be	be	be
a	a	a
big	big	big
fan	fan	fan
of	of	of
such	such	such
recycling	recycl	recycling
if	if	if
that	that	that
were	were	were
the	the	the
case	case	case
)	)	)
.	.	.

>	>	>
is	is	is
it	it	it
to	to	to
cover	cover	cover
up	up	up
the	the	the
fact	fact	fact
that	that	that
the	the	the
recipes	recip	recipe
are	are	are
not	not	not
very	veri	very
good	good	good
or	or	or
the	the	the

>	>	>
food	food	food
is	is	is
poor	poor	poor
quality	qualiti	quality
?	?	?

on	on	on
occasion	occas	occasion
that	that	that
'	'	'
s	s	s
probably	probabl	probably
the	the	the
case	case	case
,	,	,
but	but	but
in	in	in
general	general	general
the	the	the
idea	idea	idea
is	is	is
that	that	that
msg	msg	msg
improves	improv	improves
the	the	the
flavor	flavor	flavor
of	of	of
certain	certain	certain
foods	food	food
.	.	.

>	>	>
do	do	do
some	some	some
of	of	of
you	you	you
get	get	get
a	a	a
sadistic	sadist	sadistic
pleasure	pleasur	pleasure
out	out	out
of	of	of
making	make	making
some	some	some
of	of	of
us	us	u
sick	sick	sick
?	?	?

no	no	no
.	.	.

>	>	>
do	do	do
the	the	the
taste	tast	taste
testers	tester	tester
have	have	have
some	some	some
defect	defect	defect
in	in	in
their	their	their
flavor	flavor	flavor
sensors	sensor	sensor
(	(	(
mouth	mouth	mouth
etc	etc	etc
.	.	.
.	.	.
.	.	.
)	)	)

>	>	>
that	that	that
msg	msg	msg
corrects	correct	corrects
?	?	?

no	no	no
.	.	.

>	>	>
i	i	i
really	realli	really
don	don	don
'	'	'
t	t	t
understand	understand	understand
!	!	!
!	!	!
!	!	!

obviously	obvious	obviously
.	.	.

>	>	>
also	also	also
.	.	.
.	.	.
.	.	.

nitrosiamines	nitrosiamin	nitrosiamines
(	(	(
sp	sp	sp
)	)	)

as	as	a
i	i	i
recall	recal	recall
,	,	,
these	these	these
are	are	are
natural	natur	natural
by	by	by
-	-	-
products	product	product
of	of	of
heating	heat	heating
up	up	up
certain	certain	certain
foods	food	food
.	.	.

they	they	they
don	don	don
'	'	'
t	t	t
"	"	"
put	put	put
it	it	it
in	in	in
there	there	there
"	"	"
.	.	.

have	have	have
a	a	a
number	number	number
of	of	of
criteria	criteria	criterion
in	in	in
choosing	choos	choosing
how	how	how
to	to	to
process	process	process
food	food	food
.	.	.

they	they	they
want	want	want
to	to	to
make	make	make
it	it	it
taste	tast	taste
good	good	good
,	,	,
look	look	look
good	good	good
,	,	,
sell	sell	sell
for	for	for
a	a	a
good	good	good
price	price	price
,	,	,
etc	etc	etc
.	.	.

the	the	the
fact	fact	fact
that	that	that
they	they	they
use	use	use
it	it	it
tells	tell	tell
me	me	me
that	that	that
they	they	they
think	think	think
that	that	that
it	it	it
contributes	contribut	contributes
to	to	to
those	those	those
goals	goal	goal
they	they	they
are	are	are
interested	interest	interested
in	in	in
.	.	.

one	one	one
of	of	of
those	those	those
goals	goal	goal
is	is	is
not	not	not
"	"	"
making	make	making
people	peopl	people
sick	sick	sick
"	"	"
.	.	.

such	such	such
a	a	a
goal	goal	goal
woud	woud	woud
quickly	quick	quickly
drive	drive	drive
them	them	them
out	out	out
of	of	of
business	busi	business
and	and	and
for	for	for
no	no	no
benefit	benefit	benefit
.	.	.

>	>	>
i	i	i
think	think	think

>	>	>
1	1	1
)	)	)
outlaw	outlaw	outlaw
the	the	the
use	use	use
of	of	of
these	these	these
substances	substanc	substance
without	without	without
warning	warn	warning
labels	label	label
as	as	a

>	>	>
large	larg	large
as	as	a
those	those	those
on	on	on
cig	cig	cig
.	.	.

packages	packag	package
.	.	.

warning	warn	warning
of	of	of
what	what	what
?	?	?

in	in	in
california	california	california
there	there	there
is	is	is
a	a	a
law	law	law
requiring	requir	requiring
that	that	that
anything	anyth	anything
which	which	which
contains	contain	contains
a	a	a
carcinogen	carcinogen	carcinogen
be	be	be
labeled	label	labeled
.	.	.

that	that	that
includes	includ	includes
every	everi	every
gasline	gaslin	gasline
pump	pump	pump
,	,	,
most	most	most
foods	food	food
,	,	,
and	and	and
even	even	even
money	money	money
cleaning	clean	cleaning
machines	machin	machine
(	(	(
because	becaus	because
nickel	nickel	nickel
is	is	is
a	a	a
mild	mild	mild
carcinogen	carcinogen	carcinogen
)	)	)
.	.	.

the	the	the
result	result	result
is	is	is
that	that	that
now	now	now
nobody	nobodi	nobody
pays	pay	pay
any	ani	any
attention	attent	attention
to	to	to
any	ani	any
of	of	of
the	the	the
warnings	warn	warning
.	.	.

>	>	>
2	2	2
)	)	)
require	requir	require
30	30	30
%	%	%
of	of	of
comparable	compar	comparable
products	product	product
on	on	on
the	the	the
market	market	market
to	to	to
be	be	be
free	free	free
of	of	of
these	these	these

>	>	>
substances	substanc	substance
and	and	and
state	state	state
that	that	that
they	they	they
are	are	are
free	free	free
of	of	of
msg	msg	msg
,	,	,
dyes	dye	dye
,	,	,
nitrosiamines	nitrosiamin	nitrosiamines
and	and	and

>	>	>
sulfites	sulfit	sulfites
on	on	on
the	the	the
package	packag	package
.	.	.

why	whi	why
?	?	?

what	what	what
if	if	if
not	not	not
30	30	30
%	%	%
of	of	of
people	peopl	people
wanted	want	wanted
to	to	to
buy	buy	buy
this	this	this
ugly	ugli	ugly
,	,	,
rotten	rotten	rotten
,	,	,
not	not	not
-	-	-
as	as	a
-	-	-
tasty	tasti	tasty
food	food	food
?	?	?

i	i	i
guess	guess	guess
it	it	it
will	will	will
just	just	just
be	be	be
wasted	wast	wasted
,	,	,
huh	huh	huh
?	?	?

how	how	how
terribly	terribl	terribly
efficient	effici	efficient
.	.	.

>	>	>
3	3	3
)	)	)
while	while	while
at	at	at
it	it	it
outlaw	outlaw	outlaw
yellow	yellow	yellow
dye	dye	dye
#	#	#
5	5	5
.	.	.

for	for	for
that	that	that
matter	matter	matter
why	whi	why
dye	dye	dye
food	food	food
?	?	?

because	becaus	because
it	it	it
makes	make	make
food	food	food
look	look	look
better	better	better
.	.	.

i	i	i
like	like	like
food	food	food
that	that	that
looks	look	look
good	good	good
.	.	.

if	if	if
vitamin	vitamin	vitamin
companies	compani	company
want	want	want
to	to	to
do	do	do
that	that	that
it	it	it
is	is	is
fine	fine	fine
,	,	,
but	but	but
who	who	who
are	are	are
you	you	you
to	to	to
tell	tell	tell
them	them	them
how	how	how
to	to	to
make	make	make
vitamins	vitamin	vitamin
?	?	?

who	who	who
are	are	are
you	you	you
to	to	to
tell	tell	tell
me	me	me
whether	whether	whether
i	i	i
should	should	should
buy	buy	buy
flavored	flavor	flavored
vitamins	vitamin	vitamin
for	for	for
my	my	my
kids	kid	kid
(	(	(
who	who	who
can	can	can
'	'	'
t	t	t
swallow	swallow	swallow
the	the	the
conventional	convent	conventional
ones	one	one
whole	whole	whole
)	)	)
.	.	.

>	>	>
keep	keep	keep
food	food	food
food	food	food
!	!	!

quit	quit	quit
putting	put	putting
in	in	in
junk	junk	junk
!	!	!

how	how	how
do	do	do
you	you	you
define	defin	define
"	"	"
junk	junk	junk
"	"	"
?	?	?

is	is	is
putting	put	putting
"	"	"
salt	salt	salt
"	"	"
in	in	in
food	food	food
bad	bad	bad
?	?	?

what	what	what
about	about	about
pepper	pepper	pepper
?	?	?

what	what	what
about	about	about
alcohol	alcohol	alcohol
as	as	a
a	a	a
preservative	preserv	preservative
?	?	?

what	what	what
about	about	about
sealing	seal	sealing
jars	jar	jar
with	with	with
wax	wax	wax
?	?	?

what	what	what
about	about	about
vinegar	vinegar	vinegar
?	?	?

you	you	you
seem	seem	seem
to	to	to
think	think	think
that	that	that
"	"	"
chemicals	chemic	chemical
"	"	"
are	are	are
somehow	somehow	somehow
different	differ	different
than	than	than
"	"	"
food	food	food
"	"	"
.	.	.

the	the	the
fact	fact	fact
is	is	is
that	that	that
all	all	all
foods	food	food
are	are	are
100	100	100
%	%	%
chemicals	chemic	chemical
.	.	.

you	you	you
are	are	are
just	just	just
expressing	express	expressing
an	an	an
irrational	irrat	irrational
prejudice	prejudic	prejudice
against	against	against
food	food	food
processing	process	processing
.	.	.

-	-	-
-	-	-
brian	brian	brian
