from	from	from
:	:	:
wcsbeau@alfred.carleton.ca	wcsbeau@alfred.carleton.ca	wcsbeau@alfred.carleton.ca
(	(	(
opirg	opirg	opirg
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
is	is	is
msg	msg	msg
sensitivity	sensit	sensitivity
superstition	superstit	superstition
?	?	?

organization	organ	organization
:	:	:
carleton	carleton	carleton
university	univers	university
,	,	,
ottawa	ottawa	ottawa
,	,	,
canada	canada	canada

lines	line	line
:	:	:
44	44	44

in	in	in
article	articl	article
<	<	<
1993apr16.194316.25522@ohsu.edu	1993apr16.194316.25522@ohsu.edu	1993apr16.194316.25522@ohsu.edu
>	>	>
tong@ohsu.edu	tong@ohsu.edu	tong@ohsu.edu
(	(	(
gong	gong	gong
tong	tong	tong
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
1993apr16.155123.447@cunews.carleton.ca	1993apr16.155123.447@cunews.carleton.ca	1993apr16.155123.447@cunews.carleton.ca
>	>	>
wcsbeau@alfred.carleton.ca	wcsbeau@alfred.carleton.ca	wcsbeau@alfred.carleton.ca
(	(	(
opirg	opirg	opirg
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
for	for	for
cites	cite	cite
on	on	on
msg	msg	msg
,	,	,
look	look	look
up	up	up
almost	almost	almost
anything	anyth	anything
by	by	by
john	john	john
w	w	w
.	.	.

olney	olney	olney
,	,	,
a	a	a

>	>	>
>	>	>
toxicologist	toxicologist	toxicologist
who	who	who
has	has	ha
studied	studi	studied
the	the	the
effects	effect	effect
of	of	of
msg	msg	msg
on	on	on
the	the	the
brain	brain	brain
and	and	and
on	on	on

>	>	>
>	>	>
development	develop	development
.	.	.

it	it	it
is	is	is
undisputed	undisput	undisputed
in	in	in
the	the	the
literature	literatur	literature
that	that	that
msg	msg	msg
is	is	is
an	an	an

>	>	>
>	>	>
excitotoxic	excitotox	excitotoxic
food	food	food
additive	addit	additive
,	,	,
and	and	and
that	that	that
its	it	it
major	major	major
constituent	constitu	constituent
,	,	,
glutamate	glutam	glutamate

>	>	>
>	>	>
is	is	is
essentially	essenti	essentially
the	the	the
premierie	premieri	premierie
neurotransmitter	neurotransmitt	neurotransmitter
in	in	in
the	the	the
mammalian	mammalian	mammalian
brain	brain	brain

>	>	>
>	>	>
(	(	(
humans	human	human
included	includ	included
)	)	)
.	.	.

too	too	too
much	much	much
in	in	in
the	the	the
diet	diet	diet
,	,	,
and	and	and
the	the	the
system	system	system
gets	get	get
thrown	thrown	thrown

>	>	>
>	>	>
off	off	off
.	.	.

glutamate	glutam	glutamate
and	and	and
aspartate	aspart	aspartate
,	,	,
also	also	also
an	an	an
excitotoxin	excitotoxin	excitotoxin
are	are	are
necessary	necessari	necessary
in	in	in

>	>	>
>	>	>
small	small	small
amounts	amount	amount
,	,	,
and	and	and
are	are	are
freely	freeli	freely
available	avail	available
in	in	in
many	mani	many
foods	food	food
,	,	,
but	but	but
the	the	the
amounts	amount	amount

>	>	>
>	>	>
added	ad	added
by	by	by
industry	industri	industry
are	are	are
far	far	far
above	abov	above
the	the	the
amounts	amount	amount
that	that	that
would	would	would
normally	normal	normally
be	be	be

>	>	>
>	>	>
encountered	encount	encountered
in	in	in
a	a	a
ny	ny	ny
single	singl	single
food	food	food
.	.	.

by	by	by
eating	eat	eating
lots	lot	lot
of	of	of
junk	junk	junk
food	food	food
,	,	,
>	>	>
>	>	>
packaged	packag	packaged
soups	soup	soup
,	,	,
and	and	and
diet	diet	diet
soft	soft	soft
drinks	drink	drink
,	,	,
it	it	it
is	is	is
possible	possibl	possible
to	to	to
jack	jack	jack
your	your	your

>	>	>
>	>	>
blood	blood	blood
levels	level	level
so	so	so
high	high	high
,	,	,
that	that	that
anyone	anyon	anyone
with	with	with
a	a	a
sensitivity	sensit	sensitivity
to	to	to
these	these	these

>	>	>
>	>	>
compounds	compound	compound
will	will	will
suffer	suffer	suffer
numerous	numer	numerous
*	*	*
real	real	real
*	*	*
physi9logical	physi9log	physi9logical
effects	effect	effect
.	.	.

>	>	>
>	>	>
read	read	read
olney	olney	olney
'	'	'
s	s	s
review	review	review
paper	paper	paper
in	in	in
prog	prog	prog
.	.	.

brain	brain	brain
res	res	re
,	,	,
1988	1988	1988
,	,	,
and	and	and
check	check	check
*	*	*
his	his	his
*	*	*

>	>	>
>	>	>
sources	sourc	source
.	.	.

they	they	they
are	are	are
impecable	impec	impecable
.	.	.

there	there	there
is	is	is
no	no	no
dispute	disput	dispute
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
-	-	-
-	-	-
dianne	diann	dianne
murray	murray	murray
wcsbeau@ccs.carleton.ca	wcsbeau@ccs.carleton.ca	wcsbeau@ccs.carleton.ca

>	>	>

>	>	>
in	in	in
order	order	order
to	to	to
excitotoxin	excitotoxin	excitotoxin
effects	effect	effect
of	of	of
msg	msg	msg
,	,	,
msg	msg	msg
that	that	that
in	in	in
blood	blood	blood
must	must	must
go	go	go
through	through	through

>	>	>
blood	blood	blood
-	-	-
brain	brain	brain
barrier	barrier	barrier
that	that	that
i	i	i
am	am	am
not	not	not
sure	sure	sure
msg	msg	msg
can	can	can
go	go	go
through	through	through
or	or	or
not	not	not
.	.	.

elevated	elev	elevated
levels	level	level
of	of	of
glu	glu	glu
and	and	and
asp	asp	asp
in	in	in
the	the	the
blood	blood	blood
are	are	are
able	abl	able
to	to	to
bypass	bypass	bypass
the	the	the
blood	blood	blood
-	-	-
brain	brain	brain
barrier	barrier	barrier
through	through	through
the	the	the
circumventricular	circumventricular	circumventricular
organs	organ	organ
(	(	(
or	or	or
cvo	cvo	cvo
)	)	)
,	,	,
in	in	in
particular	particular	particular
the	the	the
adeno	adeno	adeno
and	and	and
neurohypophysis	neurohypophysi	neurohypophysis
(	(	(
pituitary	pituitari	pituitary
gland	gland	gland
)	)	)
areas	area	area
.	.	.

the	the	the
arcuate	arcuat	arcuate
nucleus	nucleus	nucleus
of	of	of
the	the	the
hypothalamus	hypothalamus	hypothalamus
,	,	,
and	and	and
the	the	the
median	median	median
eminence	emin	eminence
regions	region	region
are	are	are
particularly	particular	particularly
effected	effect	effected
.	.	.

cvo	cvo	cvo
areas	area	area
are	are	are
not	not	not
subject	subject	subject
to	to	to
the	the	the
blood	blood	blood
-	-	-
brain	brain	brain
barrier	barrier	barrier
.	.	.

these	these	these
areas	area	area
control	control	control
the	the	the
release	releas	release
of	of	of
gonadotropin	gonadotropin	gonadotropin
,	,	,
which	which	which
controls	control	control
the	the	the
release	releas	release
and	and	and
flux	flux	flux
of	of	of
steroids	steroid	steroid
governing	govern	governing
development	develop	development
,	,	,
especially	especi	especially
sexual	sexual	sexual
development	develop	development
.	.	.

changes	chang	change
in	in	in
adult	adult	adult
rats	rat	rat
,	,	,
which	which	which
are	are	are
less	less	less
sensitive	sensit	sensitive
to	to	to
glu	glu	glu
than	than	than
humans	human	human
,	,	,
have	have	have
been	been	been
observed	observ	observed
:	:	:
after	after	after
ingesting	ingest	ingesting
glu	glu	glu
,	,	,
on	on	on
a	a	a
chronic	chronic	chronic
basis	basi	basis
,	,	,
cycles	cycl	cycle
of	of	of
several	sever	several
steroids	steroid	steroid
are	are	are
disrupted	disrupt	disrupted
.	.	.

blood	blood	blood
levels	level	level
of	of	of
somatostatin	somatostatin	somatostatin
are	are	are
significantly	signific	significantly
reduced	reduc	reduced
,	,	,
and	and	and
cyclic	cyclic	cyclic
release	releas	release
of	of	of
steroids	steroid	steroid
becomes	becom	becomes
flattened	flatten	flattened
.	.	.

hope	hope	hope
this	this	this
helps	help	help
.	.	.

-	-	-
-	-	-
dianne	diann	dianne
murray	murray	murray
:	:	:
wcsbeau@ccs.carleton.ca	wcsbeau@ccs.carleton.ca	wcsbeau@ccs.carleton.ca
