subject	subject	subject
:	:	:
christian	christian	christian
devil	devil	devil
revealed	reveal	revealed
!	!	!

from	from	from
:	:	:
pharvey@quack.kfu.com	pharvey@quack.kfu.com	pharvey@quack.kfu.com
(	(	(
paul	paul	paul
harvey	harvey	harvey
)	)	)

organization	organ	organization
:	:	:
the	the	the
duck	duck	duck
pond	pond	pond
public	public	public
unix	unix	unix
:	:	:
+1 408 249 9630	+1 408 249 9630	+1 408 249 9630
,	,	,
log	log	log
in	in	in
as	as	a
'	'	'
guest	guest	guest
'	'	'
.	.	.

lines	line	line
:	:	:
56	56	56

>	>	>
for	for	for
a	a	a
while	while	while
i	i	i
was	was	wa
puzzled	puzzl	puzzled
by	by	by
the	the	the
the	the	the
concept	concept	concept
of	of	of
adam	adam	adam
and	and	and
eve	eve	eve
coming	come	coming
to	to	to

>	>	>
know	know	know
good	good	good
and	and	and
evil	evil	evil
.	.	.

this	this	this
is	is	is
how	how	how
i	i	i
resolved	resolv	resolved
it	it	it
.	.	.

within	within	within
god	god	god
'	'	'
s	s	s
universe	univers	universe

>	>	>
each	each	each
action	action	action
evokes	evok	evokes
an	an	an
equal	equal	equal
and	and	and
opposite	opposit	opposite
reaction	reaction	reaction
.	.	.

there	there	there
can	can	can
be	be	be
no	no	no
good	good	good

>	>	>
without	without	without
evil	evil	evil
as	as	a
an	an	an
opposite	opposit	opposite
.	.	.

so	so	so
the	the	the
issue	issu	issue
is	is	is
not	not	not
what	what	what
you	you	you
do	do	do
but	but	but
to	to	to
whom	whom	whom

>	>	>
you	you	you
give	give	give
your	your	your
allegiance	allegi	allegiance
.	.	.

that	that	that
is	is	is
why	whi	why
,	,	,
even	even	even
in	in	in
this	this	this
sinful	sin	sinful
state	state	state
,	,	,
when	when	when
we	we	we

>	>	>
perform	perform	perform
an	an	an
evil	evil	evil
act	act	act
while	while	while
we	we	we
are	are	are
submitted	submit	submitted
to	to	to
god	god	god
he	he	he
does	doe	doe
not	not	not
place	place	place
that	that	that

>	>	>
sinful	sin	sinful
act	act	act
to	to	to
our	our	our
account	account	account
(	(	(
rom	rom	rom
4	4	4
:	:	:
8	8	8
)	)	)
in	in	in
the	the	the
same	same	same
vein	vein	vein
you	you	you
can	can	can
perform	perform	perform
all	all	all

>	>	>
the	the	the
good	good	good
deeds	deed	deed
in	in	in
the	the	the
book	book	book
,	,	,
if	if	if
your	your	your
life	life	life
is	is	is
not	not	not
under	under	under
god	god	god
'	'	'
s	s	s
control	control	control
you	you	you
are	are	are

>	>	>
still	still	still
sinning	sin	sinning
(	(	(
see	see	see
rom	rom	rom
14	14	14
:	:	:
23	23	23
)	)	)
.	.	.

now	now	now
,	,	,
take	take	take
a	a	a
good	good	good
look	look	look
at	at	at
at	at	at
,	,	,
an	an	an
tell	tell	tell
me	me	me
man	man	man
,	,	,
there	there	there
is	is	is
no	no	no
christian	christian	christian
devil	devil	devil
?	?	?

there	there	there
is	is	is
,	,	,
is	is	is
real	real	real
,	,	,
is	is	is
a	a	a
virus	virus	virus
,	,	,
a	a	a
meme	meme	meme
,	,	,
infecting	infect	infecting
and	and	and
possessing	possess	possessing
the	the	the
good	good	good
people	peopl	people
and	and	and
keep	keep	keep
'	'	'
em	em	em
from	from	from
becoming	becom	becoming
human	human	human
beings	be	being
with	with	with
emphasis	emphasi	emphasis
on	on	on
the	the	the
being	be	being
!	!	!

is	is	is
not	not	not
a	a	a
matter	matter	matter
of	of	of
good	good	good
people	peopl	people
an	an	an
evil	evil	evil
people	peopl	people
,	,	,
is	is	is
all	all	all
good	good	good
people	peopl	people
see	see	see
,	,	,
but	but	but
some	some	some
good	good	good
people	peopl	people
vexed	vex	vexed
of	of	of
the	the	the
christian	christian	christian
devil	devil	devil
.	.	.

an	an	an
it	it	it
can	can	can
'	'	'
t	t	t
be	be	be
burn	burn	burn
out	out	out
or	or	or
lynch	lynch	lynch
out	out	out
or	or	or
rape	rape	rape
out	out	out
.	.	.

only	onli	only
wise	wise	wise
up	up	up
let	let	let
i	i	i
rise	rise	rise
up	up	up
.	.	.

christian	christian	christian
devil	devil	devil
is	is	is
real	real	real
man	man	man
,	,	,
how	how	how
else	els	else
can	can	can
you	you	you
explain	explain	explain
five	five	five
hundred	hundr	hundred
years	year	year
of	of	of
history	histori	history
,	,	,
even	even	even
more	more	more
?	?	?

can	can	can
only	onli	only
be	be	be
explained	explain	explained
by	by	by
christians	christian	christian
invoke	invok	invoke
christian	christian	christian
devil	devil	devil
.	.	.

you	you	you
keep	keep	keep
on	on	on
knocking	knock	knocking
but	but	but
you	you	you
can	can	can
'	'	'
t	t	t
come	come	come
in	in	in
,	,	,
i	i	i
got	got	got
to	to	to
understand	understand	understand
you	you	you
'	'	'
ve	ve	ve
been	been	been
living	live	living
in	in	in
sin	sin	sin
,	,	,
but	but	but
walk	walk	walk
right	right	right
in	in	in
and	and	and
sit	sit	sit
right	right	right
down	down	down
,	,	,
i	i	i
'	'	'
ll	ll	ll
keep	keep	keep
on	on	on
loving	love	loving
you	you	you
,	,	,
i	i	i
'	'	'
ll	ll	ll
play	play	play
the	the	the
clown	clown	clown
,	,	,
but	but	but
bend	bend	bend
down	down	down
low	low	low
,	,	,
let	let	let
i	i	i
tell	tell	tell
you	you	you
what	what	what
i	i	i
know	know	know
yah	yah	yah

i	i	i
'	'	'
ve	ve	ve
been	been	been
'	'	'
buked	buke	buked
brothers	brother	brother
and	and	and
i	i	i
'	'	'
ve	ve	ve
been	been	been
stoned	stone	stoned
,	,	,
woe	woe	woe
,	,	,
woe	woe	woe
,	,	,
woe	woe	woe
,	,	,
now	now	now
i	i	i
'	'	'
m	m	m
hung	hung	hung
by	by	by
a	a	a
tree	tree	tree
in	in	in
the	the	the
the	the	the
ganging	gang	ganging
on	on	on
a	a	a
few	few	few
,	,	,
woe	woe	woe
,	,	,
woe	woe	woe
,	,	,
woe	woe	woe
,	,	,
it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
matter	matter	matter
who	who	who
the	the	the
man	man	man
is	is	is
who	who	who
lives	live	life
the	the	the
life	life	life
he	he	he
loves	love	love
,	,	,
it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
matter	matter	matter
what	what	what
the	the	the
