subject	subject	subject
:	:	:
re	re	re
:	:	:
[	[	[
lds	lds	lds
]	]	]
rick	rick	rick
'	'	'
s	s	s
reply	repli	reply

from	from	from
:	:	:
<	<	<
librba@byuvm.bitnet	librba@byuvm.bitnet	librba@byuvm.bitnet
>	>	>

organization	organ	organization
:	:	:
brigham	brigham	brigham
young	young	young
university	univers	university

lines	line	line
:	:	:
95	95	95

in	in	in
article	articl	article
<	<	<
c5kdzk.497@acsu.buffalo.edu	c5kdzk.497@acsu.buffalo.edu	c5kdzk.497@acsu.buffalo.edu
>	>	>
,	,	,
psyrobtw@ubvmsd.cc.buffalo.edu	psyrobtw@ubvmsd.cc.buffalo.edu	psyrobtw@ubvmsd.cc.buffalo.edu
(	(	(
robert	robert	robert
weiss	weiss	weiss
)	)	)
says	say	say
:	:	:

>	>	>
just	just	just
briefly	briefli	briefly
,	,	,
on	on	on
something	someth	something
that	that	that
you	you	you
mentioned	mention	mentioned
in	in	in
passing	pass	passing
.	.	.

you	you	you
refer	refer	refer
to	to	to

>	>	>
differing	differ	differing
interpretations	interpret	interpretation
of	of	of
"	"	"
create	creat	create
,	,	,
"	"	"
and	and	and
say	say	say
that	that	that
many	mani	many
christians	christian	christian
may	may	may

>	>	>
not	not	not
agree	agre	agree
.	.	.

so	so	so
what	what	what
?	?	?

that	that	that
is	is	is
really	realli	really
irrelevant	irrelev	irrelevant
.	.	.

we	we	we
do	do	do
not	not	not
base	base	base
our	our	our
faith	faith	faith

>	>	>
on	on	on
how	how	how
many	mani	many
people	peopl	people
think	think	think
one	one	one
way	way	way
or	or	or
another	anoth	another
,	,	,
do	do	do
we	we	we
?	?	?

the	the	the
bottom	bottom	bottom
line	line	line
is	is	is

>	>	>
truth	truth	truth
,	,	,
regardless	regardless	regardless
of	of	of
popularity	popular	popularity
of	of	of
opinions	opinion	opinion
.	.	.

i	i	i
'	'	'
m	m	m
sorry	sorri	sorry
,	,	,
i	i	i
thought	thought	thought
we	we	we
were	were	were
discussing	discuss	discussing
heresy	heresi	heresy
.	.	.

i	i	i
assumed	assum	assumed
that	that	that
heresy	heresi	heresy
meant	meant	meant
a	a	a
departure	departur	departure
from	from	from
orthodoxy	orthodoxi	orthodoxy
,	,	,
in	in	in
which	which	which
case	case	case
generally	general	generally
accepted	accept	accepted
belief	belief	belief
is	is	is
indeed	inde	indeed
an	an	an
important	import	important
issue	issu	issue
.	.	.

in	in	in
this	this	this
case	case	case
,	,	,
the	the	the
definition	definit	definition
of	of	of
the	the	the
word	word	word
"	"	"
create	creat	create
"	"	"
is	is	is
of	of	of
great	great	great
importance	import	importance
,	,	,
since	sinc	since
creation	creation	creation
is	is	is
the	the	the
issue	issu	issue
being	be	being
discussed	discuss	discussed
.	.	.

>	>	>

>	>	>
also	also	also
,	,	,
i	i	i
find	find	find
it	it	it
rather	rather	rather
strange	strang	strange
that	that	that
in	in	in
trying	tri	trying
to	to	to
persuade	persuad	persuade
that	that	that
created	creat	created

>	>	>
and	and	and
eternally	etern	eternally
existent	exist	existent
are	are	are
equivalent	equival	equivalent
,	,	,
you	you	you
say	say	say
"	"	"
granted	grant	granted
the	the	the
mormon	mormon	mormon

>	>	>
belief	belief	belief
.	.	.
.	.	.
.	.	.
"	"	"
you	you	you
can	can	can
'	'	'
t	t	t
grant	grant	grant
your	your	your
conclusion	conclus	conclusion
and	and	and
then	then	then
expect	expect	expect
the	the	the
point	point	point
to	to	to

>	>	>
have	have	have
been	been	been
addressed	address	addressed
.	.	.

in	in	in
order	order	order
to	to	to
reply	repli	reply
to	to	to
the	the	the
issue	issu	issue
,	,	,
you	you	you
have	have	have
to	to	to
address	address	address

>	>	>
and	and	and
answer	answer	answer
the	the	the
point	point	point
that	that	that
was	was	wa
raised	rais	raised
,	,	,
and	and	and
not	not	not
just	just	just
jump	jump	jump
to	to	to
the	the	the

>	>	>
conclusion	conclus	conclusion
that	that	that
you	you	you
grant	grant	grant
.	.	.

i	i	i
should	should	should
have	have	have
said	said	said
"	"	"
given	given	given
the	the	the
mormon	mormon	mormon
belief	belief	belief
.	.	.
"	"	"
if	if	if
you	you	you
disagree	disagre	disagree
with	with	with
the	the	the
mormon	mormon	mormon
belief	belief	belief
that	that	that
creation	creation	creation
is	is	is
more	more	more
a	a	a
function	function	function
of	of	of
organization	organ	organization
of	of	of
eternally	etern	eternally
existent	exist	existent
substance	substanc	substance
than	than	than
one	one	one
of	of	of
ex	ex	ex
nihilo	nihilo	nihilo
creation	creation	creation
,	,	,
then	then	then
that	that	that
is	is	is
the	the	the
important	import	important
point	point	point
.	.	.

>	>	>
the	the	the
bible	bibl	bible
states	state	state
that	that	that
lucifer	lucif	lucifer
was	was	wa
created	creat	created
.	.	.

the	the	the
bible	bibl	bible
states	state	state
that	that	that
jesus	jesus	jesus

>	>	>
is	is	is
the	the	the
creator	creator	creator
of	of	of
all	all	all
.	.	.

the	the	the
contradiction	contradict	contradiction
that	that	that
we	we	we
have	have	have
is	is	is
that	that	that
the	the	the
lds	lds	lds

>	>	>
belief	belief	belief
is	is	is
that	that	that
jesus	jesus	jesus
and	and	and
lucifer	lucif	lucifer
were	were	were
the	the	the
same	same	same
.	.	.

correction	correct	correction
:	:	:
you	you	you
interpret	interpret	interpret
the	the	the
bible	bibl	bible
to	to	to
mean	mean	mean
something	someth	something
very	veri	very
specific	specif	specific
by	by	by

such	such	such
terms	term	term
.	.	.

>	>	>
the	the	the
mormon	mormon	mormon
belief	belief	belief
is	is	is
that	that	that
all	all	all
are	are	are
children	children	child
of	of	of
god	god	god
.	.	.

literally	liter	literally
.	.	.

there	there	there
is	is	is

>	>	>
nothing	noth	nothing
symbolic	symbol	symbolic
about	about	about
it	it	it
.	.	.

this	this	this
however	howev	however
,	,	,
contradicts	contradict	contradicts
what	what	what
the	the	the
bible	bibl	bible

>	>	>
says	say	say
.	.	.

the	the	the
bible	bibl	bible
teaches	teach	teach
that	that	that
not	not	not
everyone	everyon	everyone
is	is	is
a	a	a
child	child	child
of	of	of
god	god	god
:	:	:

>	>	>

it	it	it
always	alway	always
cracks	crack	crack
me	me	me
up	up	up
when	when	when
anti	anti	anti
-	-	-
mormons	mormon	mormon
presume	presum	presume
to	to	to
tell	tell	tell
mormons	mormon	mormon
what	what	what
they	they	they
believe	believ	believe
.	.	.

mormons	mormon	mormon
do	do	do
,	,	,
in	in	in
fact	fact	fact
,	,	,
believe	believ	believe
that	that	that
all	all	all
people	peopl	people
,	,	,
including	includ	including
christ	christ	christ
and	and	and
lucifer	lucif	lucifer
,	,	,
are	are	are
children	children	child
of	of	of
god	god	god
in	in	in
the	the	the
sense	sens	sense
that	that	that
we	we	we
were	were	were
all	all	all
created	creat	created
(	(	(
or	or	or
organized	organ	organized
or	or	or
whatever	whatev	whatever
)	)	)
by	by	by
him	him	him
.	.	.

we	we	we
also	also	also
believe	believ	believe
that	that	that
being	be	being
"	"	"
offspring	offspr	offspring
"	"	"
of	of	of
god	god	god
has	has	ha
a	a	a
symbolic	symbol	symbolic
sense	sens	sense
when	when	when
applied	appli	applied
to	to	to
being	be	being
spiritually	spiritu	spiritually
"	"	"
born	born	born
again	again	again
"	"	"
of	of	of
him	him	him
.	.	.

thus	thus	thus
the	the	the
same	same	same
word	word	word
can	can	can
be	be	be
used	use	used
to	to	to
convey	convey	convey
different	differ	different
meanings	mean	meaning
.	.	.

this	this	this
is	is	is
how	how	how
language	languag	language
works	work	work
,	,	,
robert	robert	robert
,	,	,
and	and	and
it	it	it
'	'	'
s	s	s
why	whi	why
making	make	making
someone	someon	someone
an	an	an
offender	offend	offender
for	for	for
a	a	a
word	word	word
is	is	is
dangerous	danger	dangerous
.	.	.

>	>	>
this	this	this
is	is	is
really	realli	really
a	a	a
red	red	red
herring	herring	herring
.	.	.

it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
address	address	address
any	ani	any
issue	issu	issue
raised	rais	raised
,	,	,
but	but	but

>	>	>
rather	rather	rather
,	,	,
it	it	it
seeks	seek	seek
to	to	to
obfuscate	obfusc	obfuscate
.	.	.

the	the	the
fact	fact	fact
that	that	that
some	some	some
groups	group	group
try	tri	try
to	to	to
read	read	read

>	>	>
something	someth	something
into	into	into
the	the	the
bible	bibl	bible
,	,	,
doesn	doesn	doesn
'	'	'
t	t	t
change	chang	change
what	what	what
the	the	the
bible	bibl	bible
teaches	teach	teach
.	.	.

for	for	for

<	<	<
.	.	.
.	.	.
.	.	.
>	>	>

>	>	>
we	we	we
first	first	first
look	look	look
to	to	to
the	the	the
bible	bibl	bible
to	to	to
see	see	see
what	what	what
it	it	it
teaches	teach	teach
.	.	.

to	to	to
discount	discount	discount
,	,	,
or	or	or
not	not	not

>	>	>
even	even	even
address	address	address
,	,	,
what	what	what
the	the	the
bible	bibl	bible
teaches	teach	teach
because	becaus	because
there	there	there
are	are	are
some	some	some
groups	group	group
that	that	that

>	>	>
have	have	have
differing	differ	differing
views	view	view
is	is	is
self	self	self
-	-	-
defeating	defeat	defeating
.	.	.

to	to	to
see	see	see
what	what	what
the	the	the
bible	bibl	bible
teaches	teach	teach
,	,	,
>	>	>
you	you	you
have	have	have
to	to	to
look	look	look
at	at	at
the	the	the
bible	bibl	bible
.	.	.

on	on	on
the	the	the
contrary	contrari	contrary
,	,	,
robert	robert	robert
,	,	,
it	it	it
is	is	is
not	not	not
a	a	a
red	red	red
herring	herring	herring
at	at	at
all	all	all
to	to	to
show	show	show
that	that	that
those	those	those
who	who	who
rely	reli	rely
wholly	wholli	wholly
on	on	on
the	the	the
bible	bibl	bible
cannot	cannot	cannot
seem	seem	seem
to	to	to
agree	agre	agree
on	on	on
what	what	what
it	it	it
says	say	say
.	.	.

you	you	you
say	say	say
that	that	that
one	one	one
must	must	must
simply	simpli	simply
"	"	"
look	look	look
at	at	at
the	the	the
bible	bibl	bible
"	"	"
to	to	to
see	see	see
what	what	what
it	it	it
teaches	teach	teach
,	,	,
but	but	but
centuries	centuri	century
of	of	of
people	peopl	people
doing	do	doing
just	just	just
that	that	that
have	have	have
sho0wn	sho0wn	sho0wn
that	that	that
no	no	no
one	one	one
is	is	is
really	realli	really
sure	sure	sure
what	what	what
it	it	it
says	say	say
.	.	.

are	are	are
we	we	we
to	to	to
believe	believ	believe
that	that	that
you	you	you
are	are	are
the	the	the
only	onli	only
one	one	one
who	who	who
really	realli	really
understands	understand	understands
the	the	the
scriptures	scriptur	scripture
?	?	?

>	>	>
i	i	i
find	find	find
this	this	this
rather	rather	rather
curious	curious	curious
.	.	.

when	when	when
i	i	i
mentioned	mention	mentioned
that	that	that
the	the	the
mormon	mormon	mormon
belief	belief	belief
is	is	is

>	>	>
that	that	that
jesus	jesus	jesus
needed	need	needed
to	to	to
be	be	be
saved	save	saved
,	,	,
i	i	i
put	put	put
forward	forward	forward
some	some	some
quotes	quot	quote
from	from	from
the	the	the
late	late	late

>	>	>
