subject	subject	subject
:	:	:
re	re	re
:	:	:
albert	albert	albert
sabin	sabin	sabin

from	from	from
:	:	:
rfox@charlie.usd.edu	rfox@charlie.usd.edu	rfox@charlie.usd.edu
(	(	(
rich	rich	rich
fox	fox	fox
,	,	,
univ	univ	univ
of	of	of
south	south	south
dakota	dakota	dakota
)	)	)

reply	repli	reply
-	-	-
to	to	to
:	:	:
rfox@charlie.usd.edu	rfox@charlie.usd.edu	rfox@charlie.usd.edu

organization	organ	organization
:	:	:
the	the	the
university	univers	university
of	of	of
south	south	south
dakota	dakota	dakota
computer	comput	computer
science	scienc	science
dept	dept	dept
.	.	.

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
charlie	charli	charlie

lines	line	line
:	:	:
91	91	91

in	in	in
article	articl	article
<	<	<
1993apr15.012537.26867@nntpd2.cxo.dec.com	1993apr15.012537.26867@nntpd2.cxo.dec.com	1993apr15.012537.26867@nntpd2.cxo.dec.com
>	>	>
,	,	,
sharpe@nmesis.enet.dec.com	sharpe@nmesis.enet.dec.com	sharpe@nmesis.enet.dec.com
(	(	(
system	system	system
privileged	privileg	privileged
account	account	account
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
in	in	in
article	articl	article
<	<	<
c5ftjt.885@sunfish.usd.edu	c5ftjt.885@sunfish.usd.edu	c5ftjt.885@sunfish.usd.edu
>	>	>
,	,	,
rfox@charlie.usd.edu	rfox@charlie.usd.edu	rfox@charlie.usd.edu
(	(	(
rich	rich	rich
fox	fox	fox
,	,	,
univ	univ	univ
of	of	of
south	south	south
dakota	dakota	dakota
)	)	)
writes	write	writes
:	:	:

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
in	in	in
article	articl	article
<	<	<
1993apr10.213547.17644@rambo.atlanta.dg.com	1993apr10.213547.17644@rambo.atlanta.dg.com	1993apr10.213547.17644@rambo.atlanta.dg.com
>	>	>
,	,	,
wpr@atlanta.dg.com	wpr@atlanta.dg.com	wpr@atlanta.dg.com
(	(	(
bill	bill	bill
rawlins	rawlin	rawlins
)	)	)
writes	write	writes
:	:	:

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
[	[	[
earlier	earlier	earlier
dialogue	dialogu	dialogue
deleted	delet	deleted
]	]	]

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
>	>	>
|	|	|
>	>	>
perhaps	perhap	perhaps
you	you	you
should	should	should
read	read	read
it	it	it
and	and	and
stop	stop	stop
advancing	advanc	advancing
the	the	the
bible	bibl	bible
as	as	a
evidence	evid	evidence
relating	relat	relating

>	>	>
|	|	|
>	>	>
>	>	>
|	|	|
>	>	>
to	to	to
questions	question	question
of	of	of
science	scienc	science
.	.	.

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
[	[	[
it	it	it
=	=	=
_did	_did	_did
jesus	jesus	jesus
exist	exist	exist
?	?	?
_	_	_
by	by	by
g	g	g
.	.	.
a	a	a
.	.	.
wells	well	well
]	]	]

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
>	>	>
there	there	there
is	is	is
a	a	a
great	great	great
fallacy	fallaci	fallacy
in	in	in
your	your	your
statement	statement	statement
.	.	.

the	the	the
question	question	question
of	of	of
origins	origin	origin
is	is	is

>	>	>
|	|	|
>	>	>
>	>	>
based	base	based
on	on	on
more	more	more
than	than	than
science	scienc	science
alone	alon	alone
.	.	.

>	>	>
|	|	|
>	>	>

>	>	>
|	|	|
>	>	>
nope	nope	nope
,	,	,
no	no	no
fallacy	fallaci	fallacy
.	.	.

yep	yep	yep
,	,	,
science	scienc	science
is	is	is
best	best	best
in	in	in
determining	determin	determining
how	how	how
;	;	;
religions	religion	religion
handle	handl	handle

>	>	>
|	|	|
>	>	>
why	whi	why
and	and	and
who	who	who
.	.	.

>	>	>
|	|	|
>	>	>

>	>	>

>	>	>
rich	rich	rich
,	,	,
i	i	i
am	am	am
curious	curious	curious
as	as	a
to	to	to
why	whi	why
you	you	you
and	and	and
others	other	others
award	award	award
custody	custodi	custody
of	of	of
the	the	the
baby	babi	baby
to	to	to

>	>	>
theists	theist	theist
and	and	and
religion	religion	religion
?	?	?

i	i	i
hope	hope	hope
i	i	i
didn	didn	didn
'	'	'
t	t	t
award	award	award
custody	custodi	custody
,	,	,
rich	rich	rich
.	.	.

i	i	i
purposely	purpos	purposely
used	use	used
"	"	"
handle	handl	handle
"	"	"
in	in	in
order	order	order
to	to	to
avoid	avoid	avoid
doing	do	doing
so	so	so
-	-	-
i	i	i
.	.	.
e	e	e
.	.	.
,	,	,
that	that	that
happens	happen	happens
to	to	to
be	be	be
what	what	what
religions	religion	religion
do	do	do
(	(	(
of	of	of
course	cours	course
there	there	there
are	are	are
aberrations	aberr	aberration
like	like	like
"	"	"
scientific	scientif	scientific
"	"	"
creationism	creation	creationism
)	)	)
.	.	.

i	i	i
used	use	used
"	"	"
best	best	best
"	"	"
in	in	in
part	part	part
to	to	to
indicate	indic	indicate
that	that	that
science	scienc	science
currently	current	currently
has	has	ha
a	a	a
time	time	time
of	of	of
it	it	it
with	with	with
why	whi	why
and	and	and
who	who	who
,	,	,
so	so	so
these	these	these
domains	domain	domain
are	are	are
mostly	most	mostly
ignored	ignor	ignored
.	.	.

i	i	i
also	also	also
attempted	attempt	attempted
to	to	to
be	be	be
brief	brief	brief
,	,	,
which	which	which
no	no	no
doubt	doubt	doubt
confused	confus	confused
the	the	the
matter	matter	matter
.	.	.

as	as	a
an	an	an
aside	asid	aside
,	,	,
for	for	for
science	scienc	science
i	i	i
should	should	should
have	have	have
written	written	written
"	"	"
how	how	how
and	and	and
when	when	when
"	"	"
.	.	.

nobody	nobodi	nobody
seems	seem	seems
to	to	to
argue	argu	argue
over	over	over
what	what	what
.	.	.

>	>	>
are	are	are
they	they	they
[	[	[
theists	theist	theist
,	,	,
theologians	theologian	theologian
]	]	]
any	ani	any
better	better	better
equiped	equip	equiped
to	to	to
investigate	investig	investigate
the	the	the
"	"	"
who	who	who
and	and	and

>	>	>
why	whi	why
"	"	"
than	than	than
magicians	magician	magician
,	,	,
astrologers	astrolog	astrologer
,	,	,
housewives	housew	housewife
[	[	[
not	not	not
being	be	being
sexists	sexist	sexist
]	]	]
,	,	,
athiests	athiest	athiests
or	or	or

>	>	>
agnostics	agnost	agnostic
.	.	.

seems	seem	seems
to	to	to
me	me	me
that	that	that
the	the	the
answer	answer	answer
would	would	would
vary	vari	vary
from	from	from
individual	individu	individual
to	to	to
individual	individu	individual
.	.	.

i	i	i
'	'	'
m	m	m
not	not	not
trying	tri	trying
to	to	to
be	be	be
evasive	evas	evasive
on	on	on
this	this	this
,	,	,
but	but	but
from	from	from
a	a	a
societal	societ	societal
perspective	perspect	perspective
,	,	,
religion	religion	religion
works	work	work
.	.	.

on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
sometimes	sometim	sometimes
it	it	it
is	is	is
abused	abus	abused
and	and	and
misused	misus	misused
,	,	,
and	and	and
many	mani	many
suffer	suffer	suffer
,	,	,
which	which	which
you	you	you
know	know	know
.	.	.

but	but	but
the	the	the
net	net	net
result	result	result
seems	seem	seems
positive	posit	positive
,	,	,
this	this	this
from	from	from
the	the	the
anthropological	anthropolog	anthropological
perspective	perspect	perspective
on	on	on
human	human	human
affairs	affair	affair
.	.	.

you	you	you
might	might	might
call	call	call
me	me	me
a	a	a
neo	neo	neo
-	-	-
fruedian	fruedian	fruedian
insofar	insofar	insofar
as	as	a
i	i	i
think	think	think
the	the	the
masses	mass	mass
can	can	can
'	'	'
t	t	t
get	get	get
along	along	along
without	without	without
religion	religion	religion
.	.	.

not	not	not
that	that	that
generally	general	generally
they	they	they
are	are	are
incapable	incap	incapable
;	;	;
they	they	they
just	just	just
don	don	don
'	'	'
t	t	t
,	,	,
and	and	and
for	for	for
myriad	myriad	myriad
reasons	reason	reason
,	,	,
but	but	but
the	the	the
main	main	main
one	one	one
seems	seem	seems
to	to	to
be	be	be
the	the	the
promise	promis	promise
of	of	of
immortality	immort	immortality
.	.	.

very	veri	very
seductive	seduct	seductive
,	,	,
that	that	that
immortality	immort	immortality
.	.	.

therefore	therefor	therefore
it	it	it
seems	seem	seems
that	that	that
theologians	theologian	theologian
are	are	are
better	better	better
equipped	equip	equipped
than	than	than
the	the	the
others	other	others
you	you	you
mention	mention	mention
for	for	for
dispensing	dispens	dispensing
answers	answer	answer
to	to	to
"	"	"
who	who	who
and	and	and
why	whi	why
"	"	"
.	.	.

i	i	i
suggest	suggest	suggest
that	that	that
this	this	this
holds	hold	hold
regardless	regardless	regardless
of	of	of
the	the	the
"	"	"
truth	truth	truth
"	"	"
in	in	in
their	their	their
answers	answer	answer
to	to	to
who	who	who
and	and	and
why	whi	why
simply	simpli	simply
because	becaus	because
people	peopl	people
believe	believ	believe
.	.	.

in	in	in
the	the	the
end	end	end
,	,	,
spiritual	spiritu	spiritual
beliefs	belief	belief
are	are	are
just	just	just
as	as	a
"	"	"
real	real	real
"	"	"
as	as	a
scientific	scientif	scientific
facts	fact	fact
and	and	and
explanation	explan	explanation
(	(	(
caution	caution	caution
to	to	to
some	some	some
:	:	:
do	do	do
not	not	not
take	take	take
this	this	this
out	out	out
of	of	of
context	context	context
)	)	)
.	.	.

>	>	>
do	do	do
you	you	you
suggest	suggest	suggest
that	that	that
the	the	the
"	"	"
who	who	who
and	and	and
why	whi	why
"	"	"
will	will	will
forever	forev	forever
be	be	be
closed	close	closed
to	to	to
scientific	scientif	scientific

>	>	>
investigation	investig	investigation
?	?	?

no	no	no
.	.	.
in	in	in
fact	fact	fact
,	,	,
i	i	i
don	don	don
'	'	'
t	t	t
think	think	think
it	it	it
is	is	is
closed	close	closed
now	now	now
,	,	,
at	at	at
least	least	least
for	for	for
some	some	some
individuals	individu	individual
.	.	.

isn	isn	isn
'	'	'
t	t	t
there	there	there
a	a	a
group	group	group
of	of	of
theoretical	theoret	theoretical
physicists	physicist	physicist
who	who	who
argue	argu	argue
that	that	that
matter	matter	matter
was	was	wa
created	creat	created
from	from	from
nothing	noth	nothing
in	in	in
a	a	a
big	big	big
bang	bang	bang
singularity	singular	singularity
?	?	?

this	this	this
approach	approach	approach
might	might	might
presuppose	presuppos	presuppose
an	an	an
absence	absenc	absence
of	of	of
who	who	who
and	and	and
why	whi	why
,	,	,
except	except	except
that	that	that
it	it	it
seems	seem	seems
it	it	it
could	could	could
be	be	be
argued	argu	argued
that	that	that
something	someth	something
had	had	had
to	to	to
be	be	be
responsible	respons	responsible
for	for	for
nothing	noth	nothing
?	?	?

maybe	mayb	maybe
that	that	that
something	someth	something
doesn	doesn	doesn
'	'	'
t	t	t
have	have	have
to	to	to
be	be	be
supernatural	supernatur	supernatural
,	,	,
maybe	mayb	maybe
just	just	just
mechanistic	mechanist	mechanistic
.	.	.

but	but	but
that	that	that
'	'	'
s	s	s
