organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
statement	statement	statement
to	to	to
everyone	everyon	everyone
on	on	on
t	t	t
.	.	.
p	p	p
.	.	.
g	g	g

<	<	<
1993apr19.201300.27080@csd-newshost.stanford.edu	1993apr19.201300.27080@csd-newshost.stanford.edu	1993apr19.201300.27080@csd-newshost.stanford.edu
>	>	>
lines	line	line
:	:	:
43	43	43

in	in	in
article	articl	article
<	<	<
1993apr19.201300.27080@csd-newshost.stanford.edu	1993apr19.201300.27080@csd-newshost.stanford.edu	1993apr19.201300.27080@csd-newshost.stanford.edu
>	>	>
,	,	,
andy@sail.stanford.edu	andy@sail.stanford.edu	andy@sail.stanford.edu
(	(	(
andy	andi	andy
freeman	freeman	freeman
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
clue	clue	clue
-	-	-
kratz	kratz	kratz
'	'	'
position	posit	position
isn	isn	isn
'	'	'
t	t	t
a	a	a
defense	defens	defense
against	against	against
inaccuracy	inaccuraci	inaccuracy
.	.	.

>	>	>

>	>	>
i	i	i
oppose	oppos	oppose
gun	gun	gun
control	control	control
because	becaus	because
it	it	it
doesn	doesn	doesn
'	'	'
t	t	t
work	work	work
.	.	.

if	if	if
it	it	it
did	did	did
,	,	,
i	i	i
'	'	'
d	d	d
support	support	support

>	>	>
it	it	it
.	.	.

in	in	in
fact	fact	fact
,	,	,
i	i	i
supported	support	supported
gun	gun	gun
control	control	control
before	befor	before
i	i	i
did	did	did
my	my	my
homework	homework	homework
.	.	.

>	>	>

>	>	>
there	there	there
'	'	'
s	s	s
no	no	no
demand	demand	demand
for	for	for
pro	pro	pro
-	-	-
gun	gun	gun
people	peopl	people
who	who	who
don	don	don
'	'	'
t	t	t
know	know	know
what	what	what
they	they	they
'	'	'
re	re	re

>	>	>
talking	talk	talking
about	about	about
.	.	.

in	in	in
fact	fact	fact
,	,	,
they	they	they
'	'	'
d	d	d
be	be	be
much	much	much
better	better	better
off	off	off
if	if	if
they	they	they
didn	didn	didn
'	'	'
t	t	t
say	say	say

>	>	>
anything	anyth	anything
.	.	.

>	>	>
and	and	and
why	whi	why
is	is	is
this	this	this
freeman	freeman	freeman
?	?	?

even	even	even
if	if	if
a	a	a
pro	pro	pro
-	-	-
gun	gun	gun
person	person	person
doesn	doesn	doesn
'	'	'
t	t	t
know	know	know
what	what	what
they	they	they
are	are	are
talking	talk	talking
about	about	about
there	there	there
is	is	is
always	alway	always
the	the	the
possibility	possibl	possibility
that	that	that
they	they	they
will	will	will
learn	learn	learn
a	a	a
thing	thing	thing
or	or	or
two	two	two
.	.	.

i	i	i
am	am	am
and	and	and
will	will	will
continue	continu	continue
to	to	to
post	post	post
even	even	even
if	if	if
people	peopl	people
get	get	get
angry	angri	angry
with	with	with
what	what	what
i	i	i
have	have	have
to	to	to
say	say	say
.	.	.

i	i	i
have	have	have
several	sever	several
good	good	good
sources	sourc	source
of	of	of
material	materi	material
now	now	now
that	that	that
i	i	i
know	know	know
where	where	where
