organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
my	my	my
gun	gun	gun
is	is	is
like	like	like
my	my	my
american	american	american
express	express	express
card	card	card

distribution	distribut	distribution
:	:	:
usa	usa	usa

<	<	<
1993apr17.235338.2819@ucsu.colorad	1993apr17.235338.2819@ucsu.colorad	1993apr17.235338.2819@ucsu.colorad

<	<	<
1993apr19.203606.27625@csd-newshost.stanford.edu	1993apr19.203606.27625@csd-newshost.stanford.edu	1993apr19.203606.27625@csd-newshost.stanford.edu
>	>	>
lines	line	line
:	:	:
45	45	45

in	in	in
article	articl	article
<	<	<
1993apr19.203606.27625@csd-newshost.stanford.edu	1993apr19.203606.27625@csd-newshost.stanford.edu	1993apr19.203606.27625@csd-newshost.stanford.edu
>	>	>
,	,	,
andy@sail.stanford.edu	andy@sail.stanford.edu	andy@sail.stanford.edu
(	(	(
andy	andi	andy
freeman	freeman	freeman
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
in	in	in
article	articl	article
<	<	<
93108.172544u28037@uicvm.uic.edu	93108.172544u28037@uicvm.uic.edu	93108.172544u28037@uicvm.uic.edu
>	>	>
jason	jason	jason
kratz	kratz	kratz
>	>	>

>	>	>
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu

>	>	>
>	>	>
the	the	the
point	point	point
that	that	that
i	i	i
forgot	forgot	forgot
to	to	to
bring	bring	bring
up	up	up
here	here	here
(	(	(
and	and	and
this	this	this
has	has	ha
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
g	g	g

>	>	>
bein	bein	bein

>	>	>
>	>	>
a	a	a
gang	gang	gang
member	member	member
or	or	or
not	not	not
)	)	)
is	is	is
that	that	that
it	it	it
is	is	is
illegal	illeg	illegal
to	to	to
carry	carri	carry
a	a	a
concealed	conceal	concealed
weapon	weapon	weapon
in	in	in
s	s	s

>	>	>
thi	thi	thi

>	>	>
>	>	>
area	area	area
(	(	(
or	or	or
in	in	in
the	the	the
state	state	state
of	of	of
illinois	illinoi	illinois
for	for	for
that	that	that
matter	matter	matter
)	)	)
.	.	.

>	>	>

>	>	>
right	right	right
-	-	-
it	it	it
nas	nas	na
nothing	noth	nothing
to	to	to
do	do	do
with	with	with
whther	whther	whther
or	or	or
not	not	not
the	the	the
person	person	person

>	>	>
is	is	is
/	/	/
was	was	wa
a	a	a
gang	gang	gang
member	member	member
,	,	,
but	but	but
that	that	that
'	'	'
s	s	s
what	what	what
kratz	kratz	kratz
inferred	infer	inferred
.	.	.
.	.	.
.	.	.
.	.	.

>	>	>

>	>	>
wrong	wrong	wrong
-	-	-
there	there	there
are	are	are
people	peopl	people
who	who	who
can	can	can
legally	legal	legally
carry	carri	carry
concealed	conceal	concealed
in	in	in
il	il	il
and	and	and

>	>	>
there	there	there
are	are	are
circumstances	circumst	circumstance
under	under	under
which	which	which
many	mani	many
people	peopl	people
can	can	can
carry	carri	carry
concealed	conceal	concealed
.	.	.

>	>	>

>	>	>
