organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
what	what	what
to	to	to
do	do	do
if	if	if
you	you	you
shoot	shoot	shoot
somebody	somebodi	somebody

<	<	<
veal.744.735151266@utkvm1.utk.edu	veal.744.735151266@utkvm1.utk.edu	veal.744.735151266@utkvm1.utk.edu
>	>	>
lines	line	line
:	:	:
43	43	43

in	in	in
article	articl	article
<	<	<
veal.744.735151266@utkvm1.utk.edu	veal.744.735151266@utkvm1.utk.edu	veal.744.735151266@utkvm1.utk.edu
>	>	>
,	,	,
veal@utkvm1.utk.edu	veal@utkvm1.utk.edu	veal@utkvm1.utk.edu
(	(	(
david	david	david
veal	veal	veal
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
in	in	in
article	articl	article
<	<	<
93108.025818u28037@uicvm.uic.edu	93108.025818u28037@uicvm.uic.edu	93108.025818u28037@uicvm.uic.edu
>	>	>
jason	jason	jason
kratz	kratz	kratz
>	>	>

>	>	>
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu

>	>	>

>	>	>
>	>	>
i	i	i
have	have	have
heard	heard	heard
many	mani	many
opinions	opinion	opinion
on	on	on
this	this	this
subject	subject	subject
and	and	and
would	would	would
like	like	like
to	to	to
hear	hear	hear
more	more	more
from	from	from

>	>	>
>	>	>
the	the	the
people	peopl	people
on	on	on
the	the	the
net	net	net
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
say	say	say
you	you	you
'	'	'
re	re	re
in	in	in
a	a	a
situation	situat	situation
where	where	where
you	you	you
have	have	have
to	to	to
pull	pull	pull
a	a	a
gun	gun	gun
on	on	on
somebody	somebodi	somebody
.	.	.

you	you	you

>	>	>
>	>	>
give	give	give
them	them	them
a	a	a
chance	chanc	chance
to	to	to
get	get	get
away	away	away
but	but	but
they	they	they
decided	decid	decided
to	to	to
continue	continu	continue
in	in	in
their	their	their

>	>	>
>	>	>
action	action	action
anyway	anyway	anyway
and	and	and
you	you	you
end	end	end
up	up	up
shooting	shoot	shooting
and	and	and
killing	kill	killing
them	them	them
.	.	.

my	my	my
question	question	question
is	is	is

>	>	>
>	>	>
what	what	what
do	do	do
you	you	you
do	do	do
?	?	?

should	should	should
you	you	you
stay	stay	stay
and	and	and
wait	wait	wait
for	for	for
the	the	the
cops	cop	cop
or	or	or
should	should	should
you	you	you

>	>	>
>	>	>
collect	collect	collect
your	your	your
brass	brass	brass
(	(	(
if	if	if
you	you	you
'	'	'
re	re	re
using	use	using
a	a	a
semi	semi	semi
-	-	-
auto	auto	auto
)	)	)
and	and	and
get	get	get
out	out	out
of	of	of
there	there	there

>	>	>
>	>	>
(	(	(
provided	provid	provided
of	of	of
course	cours	course
you	you	you
don	don	don
'	'	'
t	t	t
think	think	think
that	that	that
you	you	you
have	have	have
been	been	been
seen	seen	seen
)	)	)
?	?	?

>	>	>

>	>	>
as	as	a
a	a	a
data	data	data
point	point	point
from	from	from
tennessee	tennesse	tennessee
,	,	,
