organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
what	what	what
to	to	to
do	do	do
if	if	if
you	you	you
shoot	shoot	shoot
somebody	somebodi	somebody

<	<	<
1993apr18.061532.3288@uoft02.utoledo.edu	1993apr18.061532.3288@uoft02.utoledo.edu	1993apr18.061532.3288@uoft02.utoledo.edu
>	>	>
lines	line	line
:	:	:
40	40	40

in	in	in
article	articl	article
<	<	<
1993apr18.061532.3288@uoft02.utoledo.edu	1993apr18.061532.3288@uoft02.utoledo.edu	1993apr18.061532.3288@uoft02.utoledo.edu
>	>	>
,	,	,
steiner@jupiter.cse.utoledo.edu	steiner@jupiter.cse.utoledo.edu	steiner@jupiter.cse.utoledo.edu
(	(	(
jason	jason	jason
'	'	'
think	think	think
!	!	!
'	'	'
steiner	steiner	steiner
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
jason	jason	jason
kratz	kratz	kratz
(	(	(
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>

>	>	>
>	>	>
say	say	say
you	you	you
'	'	'
re	re	re
in	in	in
a	a	a
situation	situat	situation
where	where	where
you	you	you
have	have	have
to	to	to
pull	pull	pull
a	a	a
gun	gun	gun
on	on	on
somebody	somebodi	somebody
.	.	.

>	>	>
>	>	>
you	you	you
give	give	give
them	them	them
a	a	a
chance	chanc	chance
to	to	to
get	get	get
away	away	away
but	but	but
they	they	they
decided	decid	decided
to	to	to
continue	continu	continue
in	in	in

>	>	>
>	>	>
their	their	their
action	action	action
anyway	anyway	anyway
and	and	and
you	you	you
end	end	end
up	up	up
shooting	shoot	shooting
and	and	and
killing	kill	killing
them	them	them
.	.	.

my	my	my

>	>	>
>	>	>
question	question	question
is	is	is
what	what	what
do	do	do
you	you	you
do	do	do
?	?	?

should	should	should
you	you	you
stay	stay	stay
and	and	and
wait	wait	wait
for	for	for
the	the	the
cops	cop	cop

>	>	>
>	>	>
or	or	or
should	should	should
you	you	you
collect	collect	collect
your	your	your
brass	brass	brass
(	(	(
if	if	if
you	you	you
'	'	'
re	re	re
using	use	using
a	a	a
semi	semi	semi
-	-	-
auto	auto	auto
)	)	)
and	and	and

>	>	>
>	>	>
get	get	get
out	out	out
of	of	of
there	there	there
(	(	(
provided	provid	provided
of	of	of
course	cours	course
you	you	you
don	don	don
'	'	'
t	t	t
think	think	think
that	that	that
you	you	you
have	have	have

>	>	>
>	>	>
been	been	been
seen	seen	seen
)	)	)
?	?	?

what	what	what
kind	kind	kind
of	of	of
laws	law	law
are	are	are
on	on	on
the	the	the
books	book	book
regarding	regard	regarding
this	this	this
type	type	type

>	>	>
>	>	>
of	of	of
situation	situat	situation
?	?	?

what	what	what
would	would	would
be	be	be
the	the	the
most	most	most
likely	like	likely
thing	thing	thing
to	to	to
happen	happen	happen
to	to	to
you	you	you

>	>	>
>	>	>
if	if	if
you	you	you
stayed	stay	stayed
and	and	and
waited	wait	waited
and	and	and
