organization	organ	organization
:	:	:
university	univers	university
of	of	of
illinois	illinoi	illinois
at	at	at
chicago	chicago	chicago
,	,	,
academic	academ	academic
computer	comput	computer
center	center	center

from	from	from
:	:	:
jason	jason	jason
kratz	kratz	kratz
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
my	my	my
gun	gun	gun
is	is	is
like	like	like
my	my	my
american	american	american
express	express	express
card	card	card

distribution	distribut	distribution
:	:	:
usa	usa	usa

<	<	<
93104	93104	93104
.	.	.
231	231	231
<	<	<
1993apr15.184452.27322@csd-newshost.stanford.edu	1993apr15.184452.27322@csd-newshost.stanford.edu	1993apr15.184452.27322@csd-newshost.stanford.edu
>	>	>
lines	line	line
:	:	:
44	44	44

in	in	in
article	articl	article
<	<	<
1993apr15.184452.27322@csd-newshost.stanford.edu	1993apr15.184452.27322@csd-newshost.stanford.edu	1993apr15.184452.27322@csd-newshost.stanford.edu
>	>	>
,	,	,
andy@sail.stanford.edu	andy@sail.stanford.edu	andy@sail.stanford.edu
(	(	(
andy	andi	andy
freeman	freeman	freeman
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
in	in	in
article	articl	article
<	<	<
93104.231049u28037@uicvm.uic.edu	93104.231049u28037@uicvm.uic.edu	93104.231049u28037@uicvm.uic.edu
>	>	>
jason	jason	jason
kratz	kratz	kratz
>	>	>

>	>	>
<	<	<
u28037@uicvm.uic.edu	u28037@uicvm.uic.edu	u28037@uicvm.uic.edu

>	>	>
>	>	>
all	all	all
your	your	your
points	point	point
are	are	are
very	veri	very
well	well	well
taken	taken	taken
and	and	and
things	thing	thing
that	that	that
i	i	i
haven	haven	haven
'	'	'
t	t	t
considered	consid	considered
as	as	a

>	>	>
>	>	>
i	i	i
am	am	am
not	not	not
really	realli	really
familiar	familiar	familiar
enough	enough	enough
with	with	with
handguns	handgun	handgun
.	.	.

>	>	>

>	>	>
that	that	that
'	'	'
s	s	s
not	not	not
all	all	all
that	that	that
kratz	kratz	kratz
doesn	doesn	doesn
'	'	'
t	t	t
know	know	know
.	.	.

>	>	>

>	>	>
>	>	>
hell	hell	hell
,	,	,
a	a	a
glock	glock	glock
is	is	is
the	the	the
last	last	last
thing	thing	thing
that	that	that
should	should	should
be	be	be
switched	switch	switched
to	to	to
.	.	.

the	the	the
only	onli	only
thing	thing	thing

>	>	>
>	>	>
that	that	that
i	i	i
know	know	know
about	about	about
a	a	a
glock	glock	glock
is	is	is
the	the	the
lack	lack	lack
of	of	of
a	a	a
real	real	real
safety	safeti	safety
on	on	on
it	it	it
.	.	.

sure	sure	sure
there	there	there
is	is	is

>	>	>
>	>	>
that	that	that
little	littl	little
thing	thing	thing
in	in	in
the	the	the
trigger	trigger	trigger
but	but	but
that	that	that
isn	isn	isn
'	'	'
t	t	t
too	too	too
great	great	great
of	of	of
a	a	a
safety	safeti	safety
.	.	.

>	>	>

>	>	>
now	now	now
we	we	we
know	know	know
that	that	that
kratz	kratz	kratz
doesn	doesn	doesn
'	'	'
t	t	t
understand	understand	understand
what	what	what
a	a	a
safety	safeti	safety
is	is	is
supposed	suppos	supposed
to	to	to

>	>	>
do	do	do
.	.	.

(	(	(
he	he	he
also	also	also
confuses	confus	confuses
