subject	subject	subject
:	:	:
netware	netwar	netware
server	server	server
286a	286a	286a
and	and	and
sft	sft	sft
netware	netwar	netware
286	286	286
level	level	level
ii	ii	ii
v2	v2	v2
.	.	.
0a	0a	0a
serialisation	serialis	serialisation

from	from	from
:	:	:
system@codewks.nacjack.gen.nz	system@codewks.nacjack.gen.nz	system@codewks.nacjack.gen.nz
(	(	(
wayne	wayn	wayne
mcdougall	mcdougal	mcdougall
)	)	)

organization	organ	organization
:	:	:
the	the	the
code	code	code
works	work	work
limited	limit	limited
,	,	,
po	po	po
box	box	box
10	10	10
155	155	155
,	,	,
auckland	auckland	auckland
,	,	,
new	new	new
zealand	zealand	zealand

lines	line	line
:	:	:
60	60	60

facts	fact	fact
:	:	:

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=

-	-	-
a	a	a
netware	netwar	netware
server	server	server
286a	286a	286a
was	was	wa
roughly	rough	roughly
moved	move	moved
to	to	to
a	a	a
new	new	new
location	locat	location
and	and	and
left	left	left
powered	power	powered
down	down	down
for	for	for
three	three	three
months	month	month
.	.	.

-	-	-
from	from	from
memory	memori	memory
it	it	it
has	has	ha
an	an	an
80	80	80
mb	mb	mb
hard	hard	hard
drive	drive	drive
.	.	.

-	-	-
manuals	manual	manual
and	and	and
original	origin	original
disks	disk	disk
are	are	are
for	for	for
sft	sft	sft
netware	netwar	netware
286	286	286
level	level	level
ii	ii	ii
v2	v2	v2
.	.	.
0a	0a	0a

-	-	-
when	when	when
powered	power	powered
up	up	up
,	,	,
the	the	the
cmos	cmos	cmos
was	was	wa
wiped	wipe	wiped
.	.	.

a	a	a
technician	technician	technician
examined	examin	examined
it	it	it
and	and	and
pronounced	pronounc	pronounced
the	the	the
disk	disk	disk
drive	drive	drive
unusable	unus	unusable
.	.	.

my	my	my
investigations	investig	investigation
indicate	indic	indicate
that	that	that
drive	drive	drive
c	c	c
is	is	is
a	a	a
type	type	type
27	27	27
(	(	(
1024	1024	1024
cylinders	cylind	cylinder
,	,	,
9	9	9
sides	side	side
)	)	)
.	.	.

when	when	when
cmos	cmos	cmos
set	set	set
this	this	this
way	way	way
,	,	,
compsurf	compsurf	compsurf
runs	run	run
happily	happili	happily
,	,	,
with	with	with
13	13	13
bad	bad	bad
blocks	block	block
.	.	.

i	i	i
use	use	use
prepare	prepar	prepare
to	to	to
hotfix	hotfix	hotfix
the	the	the
one	one	one
internal	intern	internal
drive	drive	drive
.	.	.

install	instal	install
will	will	will
proceed	proceed	proceed
"	"	"
successfully	success	successfully
"	"	"
,	,	,
but	but	but
when	when	when
i	i	i
try	tri	try
to	to	to
boot	boot	boot
the	the	the
server	server	server
,	,	,
it	it	it
reports	report	report
that	that	that
the	the	the
software	softwar	software
is	is	is
not	not	not
serialised	serialis	serialised
for	for	for
this	this	this
hardware	hardwar	hardware
.	.	.

internal	intern	internal
examination	examin	examination
indicates	indic	indicates
that	that	that
the	the	the
keycard	keycard	keycard
is	is	is
present	present	present
,	,	,
and	and	and
there	there	there
is	is	is
one	one	one
disk	disk	disk
drive	drive	drive
(	(	(
or	or	or
at	at	at
least	least	least
one	one	one
large	larg	large
single	singl	single
unit	unit	unit
)	)	)
.	.	.

attempts	attempt	attempt
to	to	to
configure	configur	configure
a	a	a
second	second	second
drive	drive	drive
in	in	in
cmos	cmos	cmos
result	result	result
in	in	in
drive	drive	drive
not	not	not
ready	readi	ready
errors	error	error
.	.	.

questions	question	question
:	:	:

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
the	the	the
software	softwar	software
is	is	is
netware	netwar	netware
286	286	286
level	level	level
ii	ii	ii
and	and	and
i	i	i
can	can	can
see	see	see
burnt	burnt	burnt
on	on	on
to	to	to
the	the	the
screen	screen	screen
sft	sft	sft
netware	netwar	netware
286	286	286
level	level	level
ii	ii	ii
v2	v2	v2
.	.	.
0a	0a	0a
.	.	.

however	howev	however
,	,	,
to	to	to
configure	configur	configure
netware	netwar	netware
for	for	for
level	level	level
ii	ii	ii

(	(	(
mirrored	mirror	mirrored
or	or	or
duplexed	duplex	duplexed
disks	disk	disk
)	)	)
requires	requir	requires
a	a	a
second	second	second
disk	disk	disk
,	,	,
yes	yes	yes
?	?	?

so	so	so
how	how	how
is	is	is
the	the	the
novell	novel	novell
server	server	server
286a	286a	286a
normally	normal	normally
configured	configur	configured
?	?	?

1	1	1
.	.	.

can	can	can
i	i	i
install	instal	install
sft	sft	sft
netware	netwar	netware
286	286	286
level	level	level
ii	ii	ii
v2	v2	v2
.	.	.
0a	0a	0a
as	as	a
level	level	level
i	i	i
,	,	,
or	or	or
is	is	is
this	this	this
what	what	what
is	is	is
causing	caus	causing
my	my	my
serialisation	serialis	serialisation
error	error	error
?	?	?
2	2	2
.	.	.

is	is	is
the	the	the
novell	novel	novell
server	server	server
286a	286a	286a
normally	normal	normally
equipped	equip	equipped
with	with	with
two	two	two
hard	hard	hard
drives	drive	drive
,	,	,
one	one	one
of	of	of
which	which	which
has	has	ha
failed	fail	failed
?	?	?
3	3	3
.	.	.

would	would	would
this	this	this
mean	mean	mean
i	i	i
can	can	can
not	not	not
install	instal	install
the	the	the
network	network	network
software	softwar	software
because	becaus	because
it	it	it
will	will	will
not	not	not
be	be	be
serialised	serialis	serialised
for	for	for
this	this	this
hardware	hardwar	hardware
with	with	with
a	a	a
failed	fail	failed
drive	drive	drive
?	?	?
4	4	4
.	.	.

what	what	what
else	els	else
can	can	can
cause	caus	cause
a	a	a
serialisation	serialis	serialisation
error	error	error
?	?	?
5	5	5
.	.	.

what	what	what
happens	happen	happens
if	if	if
the	the	the
keycard	keycard	keycard
fails	fail	fails
?	?	?
6	6	6
.	.	.

am	am	am
i	i	i
doing	do	doing
something	someth	something
wrong	wrong	wrong
?	?	?

can	can	can
someone	someon	someone
knowledgeable	knowledg	knowledgeable
offer	offer	offer
some	some	some
comments	comment	comment
and	and	and
guides	guid	guide
.	.	.

thanks	thank	thanks
for	for	for
your	your	your
time	time	time
.	.	.

apology	apolog	apology
:	:	:

=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
=	=	=
i	i	i
appreciate	appreci	appreciate
that	that	that
i	i	i
have	have	have
posted	post	posted
this	this	this
request	request	request
somewhat	somewhat	somewhat
widely	wide	widely
.	.	.

as	as	a
i	i	i
'	'	'
m	m	m
dealing	deal	dealing
with	with	with
somewhat	somewhat	somewhat
archaic	archaic	archaic
hardware	hardwar	hardware
and	and	and
software	softwar	software
i	i	i
'	'	'
m	m	m
hoping	hope	hoping
that	that	that
by	by	by
casting	cast	casting
my	my	my
net	net	net
further	further	further
,	,	,
i	i	i
'	'	'
m	m	m
more	more	more
likely	like	likely
to	to	to
capture	captur	capture
someone	someon	someone
who	who	who
has	has	ha
met	met	met
this	this	this
system	system	system
before	befor	before
.	.	.

i	i	i
believe	believ	believe
i	i	i
can	can	can
justify	justifi	justify
the	the	the
groups	group	group
to	to	to
which	which	which
i	i	i
am	am	am
posting	post	posting
.	.	.

please	pleas	please
feel	feel	feel
free	free	free
to	to	to
correct	correct	correct
me	me	me
if	if	if
you	you	you
feel	feel	feel
this	this	this
is	is	is
an	an	an
inappropriate	inappropri	inappropriate
place	place	place
to	to	to
post	post	post
this	this	this
.	.	.

-	-	-
-	-	-

this	this	this
posting	post	posting
is	is	is
definitive	definit	definitive
.	.	.

bljeghbe	bljeghb	bljeghbe
'	'	'
chugh	chugh	chugh
vaj	vaj	vaj
blhegh	blhegh	blhegh
.	.	.

wayne	wayn	wayne
mcdougall	mcdougal	mcdougall
:	:	:
:	:	:
keeper	keeper	keeper
of	of	of
the	the	the
list	list	list
of	of	of
shows	show	show
better	better	better
than	than	than
star	star	star
trek	trek	trek
(	(	(
tm	tm	tm
)	)	)
:	:	:
:	:	:

ask	ask	ask
me	me	me
about	about	about
the	the	the
auckland	auckland	auckland
festival	festiv	festival
of	of	of
missions	mission	mission
,	,	,
18	18	18
-	-	-
25	25	25
april	april	april
,	,	,
1993	1993	1993
i	i	i
always	alway	always
change	chang	change
my	my	my
mind	mind	mind
when	when	when
new	new	new
evidence	evid	evidence
is	is	is
available	avail	available
.	.	.

what	what	what
method	method	method
do	do	do
you	you	you
use	use	use
?	?	?
