subject	subject	subject
:	:	:
ide	ide	ide
cable	cabl	cable

from	from	from
:	:	:
vacsc0qe@vax.csun.edu	vacsc0qe@vax.csun.edu	vacsc0qe@vax.csun.edu

reply	repli	reply
-	-	-
to	to	to
:	:	:
vacsc0qe@vax.csun.edu	vacsc0qe@vax.csun.edu	vacsc0qe@vax.csun.edu

organization	organ	organization
:	:	:
cal	cal	cal
state	state	state
northridge	northridg	northridge

lines	line	line
:	:	:
12	12	12

i	i	i
just	just	just
bought	bought	bought
a	a	a
new	new	new
ide	ide	ide
hard	hard	hard
drive	drive	drive
for	for	for
my	my	my
system	system	system
to	to	to
go	go	go
with	with	with
the	the	the
one	one	one
i	i	i
already	alreadi	already
had	had	had
.	.	.

my	my	my
problem	problem	problem
is	is	is
this	this	this
.	.	.

my	my	my
system	system	system
only	onli	only
had	had	had
a	a	a
ide	ide	ide
cable	cabl	cable
for	for	for
one	one	one
drive	drive	drive
,	,	,
so	so	so
i	i	i
had	had	had
to	to	to
buy	buy	buy
cable	cabl	cable
with	with	with
two	two	two
drive	drive	drive
connectors	connector	connector
on	on	on
it	it	it
,	,	,
and	and	and
consequently	consequ	consequently
have	have	have
to	to	to
switch	switch	switch
cables	cabl	cable
.	.	.

the	the	the
problem	problem	problem
is	is	is
,	,	,
the	the	the
new	new	new
hard	hard	hard
drive	drive	drive
'	'	'
s	s	s
manual	manual	manual
refers	refer	refers
to	to	to
matching	match	matching
pin	pin	pin
1	1	1
on	on	on
the	the	the
cable	cabl	cable
with	with	with
both	both	both
pin	pin	pin
1	1	1
on	on	on
the	the	the
drive	drive	drive
itself	itself	itself
and	and	and
pin	pin	pin
1	1	1
on	on	on
the	the	the
ide	ide	ide
card	card	card
.	.	.

but	but	but
for	for	for
the	the	the
life	life	life
of	of	of
me	me	me
i	i	i
cannot	cannot	cannot
figure	figur	figure
out	out	out
how	how	how
to	to	to
tell	tell	tell
which	which	which
way	way	way
to	to	to
plug	plug	plug
in	in	in
the	the	the
cable	cabl	cable
to	to	to
align	align	align
these	these	these
.	.	.

secondly	second	secondly
,	,	,
the	the	the
cable	cabl	cable
has	has	ha
like	like	like
a	a	a
connector	connector	connector
at	at	at
two	two	two
ends	end	end
and	and	and
one	one	one
between	between	between
them	them	them
.	.	.

i	i	i
figure	figur	figure
one	one	one
end	end	end
goes	goe	go
in	in	in
the	the	the
controler	control	controler
and	and	and
then	then	then
the	the	the
other	other	other
two	two	two
go	go	go
into	into	into
the	the	the
drives	drive	drive
.	.	.

does	doe	doe
it	it	it
matter	matter	matter
which	which	which
i	i	i
plug	plug	plug
into	into	into
the	the	the
"	"	"
master	master	master
"	"	"
drive	drive	drive
and	and	and
which	which	which
into	into	into
the	the	the
"	"	"
slave	slave	slave
"	"	"
?	?	?

any	ani	any
help	help	help
appreciated	appreci	appreciated
.	.	.

thanks	thank	thanks
.	.	.
.	.	.
.	.	.
