from	from	from
:	:	:
farenebt@craft.camp.clarkson.edu	farenebt@craft.camp.clarkson.edu	farenebt@craft.camp.clarkson.edu
(	(	(
droopy	droopi	droopy
)	)	)

subject	subject	subject
:	:	:
ahl	ahl	ahl
playoff	playoff	playoff
results	result	result
,	,	,
4	4	4
/	/	/
16	16	16

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
craft	craft	craft
.	.	.
clarkson	clarkson	clarkson
.	.	.
edu	edu	edu

organization	organ	organization
:	:	:
clarkson	clarkson	clarkson
university	univers	university

x	x	x
-	-	-
newsreader	newsread	newsreader
:	:	:
tin	tin	tin
[	[	[
version	version	version
1	1	1
.	.	.
1	1	1
pl8	pl8	pl8
]	]	]

lines	line	line
:	:	:
96	96	96

ahl	ahl	ahl
calder	calder	calder
cup	cup	cup
playoff	playoff	playoff
game	game	game
(	(	(
s	s	s
)	)	)
played	play	played
on	on	on
4	4	4
/	/	/
16	16	16
providence	provid	providence
3	3	3
springfield	springfield	springfield
2	2	2
(	(	(
ot	ot	ot
)	)	)
baltimore	baltimor	baltimore
4	4	4
binghamton	binghamton	binghamton
3	3	3
utica	utica	utica
3	3	3
rochester	rochest	rochester
2	2	2
(	(	(
ot	ot	ot
)	)	)
cape	cape	cape
breton	breton	breton
5	5	5
fredericton	fredericton	fredericton
2	2	2

game	game	game
(	(	(
s	s	s
)	)	)
scheduled	schedul	scheduled
for	for	for
4	4	4
/	/	/
17	17	17
capital	capit	capital
district	district	district
at	at	at
adirondack	adirondack	adirondack
providence	provid	providence
at	at	at
springfield	springfield	springfield
baltimore	baltimor	baltimore
at	at	at
binghamton	binghamton	binghamton
utica	utica	utica
at	at	at
rochester	rochest	rochester
moncton	moncton	moncton
vs	vs	v
st	st	st
john	john	john
'	'	'
s	s	s
at	at	at
halifax	halifax	halifax

series	seri	series
stati	stati	stati
(	(	(
plural	plural	plural
of	of	of
status	status	status
?	?	?

:	:	:
)	)	)
adirondack	adirondack	adirondack
leads	lead	lead
cdi	cdi	cdi
,	,	,
1	1	1
-	-	-
0	0	0
springfield	springfield	springfield
leads	lead	lead
providence	provid	providence
,	,	,
2	2	2
-	-	-
1	1	1
baltimore	baltimor	baltimore
leads	lead	lead
binghamton	binghamton	binghamton
1	1	1
-	-	-
0	0	0
utica	utica	utica
leads	lead	lead
rochester	rochest	rochester
,	,	,
1	1	1
-	-	-
0	0	0
st	st	st
john	john	john
'	'	'
s	s	s
leads	lead	lead
