subject	subject	subject
:	:	:
nhl	nhl	nhl
summary	summari	summary
parse	pars	parse
results	result	result
for	for	for
games	game	game
played	play	played
sat	sat	sat
,	,	,
april	april	april
3	3	3
,	,	,
1993	1993	1993

from	from	from
:	:	:
c5ff@jupiter.sun.csd.unb.ca	c5ff@jupiter.sun.csd.unb.ca	c5ff@jupiter.sun.csd.unb.ca
(	(	(
cook	cook	cook
charlie	charli	charlie
)	)	)

organization	organ	organization
:	:	:
university	univers	university
of	of	of
new	new	new
brunswick	brunswick	brunswick

lines	line	line
:	:	:
373	373	373

tampa	tampa	tampa
bay	bay	bay
1	1	1
1	1	1
0	0	0
-	-	-
-	-	-
2	2	2
philadelphia	philadelphia	philadelphia
3	3	3
2	2	2
1	1	1
-	-	-
-	-	-
6	6	6
first	first	first
period	period	period

1	1	1
,	,	,
philadelphia	philadelphia	philadelphia
,	,	,
carkner	carkner	carkner
3	3	3
(	(	(
unassisted	unassist	unassisted
)	)	)
1	1	1
:	:	:
24	24	24
.	.	.

2	2	2
,	,	,
philadelphia	philadelphia	philadelphia
,	,	,
hawgood	hawgood	hawgood
9	9	9
(	(	(
recchi	recchi	recchi
,	,	,
lindros	lindro	lindros
)	)	)
pp	pp	pp
,	,	,
5	5	5
:	:	:
56	56	56
.	.	.

3	3	3
,	,	,
philadelphia	philadelphia	philadelphia
,	,	,
lindros	lindro	lindros
37	37	37
(	(	(
recchi	recchi	recchi
,	,	,
hawgood	hawgood	hawgood
)	)	)
pp	pp	pp
,	,	,
9	9	9
:	:	:
52	52	52
.	.	.

4	4	4
,	,	,
tampa	tampa	tampa
bay	bay	bay
,	,	,
beers	beer	beer
12	12	12
(	(	(
zamuner	zamun	zamuner
,	,	,
chambers	chamber	chamber
)	)	)
pp	pp	pp
,	,	,
15	15	15
:	:	:
06	06	06
.	.	.

second	second	second
period	period	period

5	5	5
,	,	,
tampa	tampa	tampa
bay	bay	bay
,	,	,
andersson	andersson	andersson
13	13	13
(	(	(
