subject	subject	subject
:	:	:
re	re	re
:	:	:
trade	trade	trade
rumor	rumor	rumor
:	:	:
montreal	montreal	montreal
/	/	/
ottawa	ottawa	ottawa
/	/	/
phillie	philli	phillie

from	from	from
:	:	:
<	<	<
jer108@psuvm.psu.edu	jer108@psuvm.psu.edu	jer108@psuvm.psu.edu
>	>	>

organization	organ	organization
:	:	:
penn	penn	penn
state	state	state
university	univers	university

lines	line	line
:	:	:
50	50	50

in	in	in
article	articl	article
<	<	<
93095.210625mweintr@auvm.american.edu	93095.210625mweintr@auvm.american.edu	93095.210625mweintr@auvm.american.edu
>	>	>
,	,	,
<	<	<
mweintr@auvm.american.edu	mweintr@auvm.american.edu	mweintr@auvm.american.edu
>	>	>
says	say	say
:	:	:

>	>	>

>	>	>
also	also	also
sprach	sprach	sprach
slegge@kean.ucs.mun.ca	slegge@kean.ucs.mun.ca	slegge@kean.ucs.mun.ca
.	.	.
.	.	.
.	.	.

>	>	>

>	>	>
>	>	>
tsn	tsn	tsn
sportsdesk	sportsdesk	sportsdesk
just	just	just
reported	report	reported
that	that	that
the	the	the
ottawa	ottawa	ottawa
sun	sun	sun
has	has	ha
reported	report	reported
that	that	that

>	>	>
>	>	>
montreal	montreal	montreal
will	will	will
send	send	send
4	4	4
players	player	player
+	+	+
$	$	$
15	15	15
million	million	million
including	includ	including
vin	vin	vin
damphousse	damphouss	damphousse

>	>	>
>	>	>
and	and	and
brian	brian	brian
bellows	bellow	bellow
to	to	to
phillidelphia	phillidelphia	phillidelphia
,	,	,
phillie	philli	phillie
will	will	will
send	send	send
eric	eric	eric
lindros	lindro	lindros

>	>	>
>	>	>
to	to	to
ottawa	ottawa	ottawa
,	,	,
and	and	and
ottawa	ottawa	ottawa
will	will	will
give	give	give
it	it	it
'	'	'
s	s	s
first	first	first
round	round	round
pick	pick	pick
to	to	to
montreal	montreal	montreal
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
if	if	if
this	this	this
is	is	is
true	true	true
,	,	,
it	it	it
will	will	will
most	most	most
likely	like	likely
depend	depend	depend
on	on	on
whether	whether	whether
or	or	or
not	not	not
ottawa	ottawa	ottawa

>	>	>
>	>	>
gets	get	get
to	to	to
choose	choos	choose
1st	1st	1st
overall	overal	overall
.	.	.

can	can	can
ottawa	ottawa	ottawa
afford	afford	afford
lindros	lindro	lindros
'	'	'
salary	salari	salary
?	?	?

>	>	>
>	>	>

>	>	>
>	>	>
personally	person	personally
,	,	,
i	i	i
can	can	can
'	'	'
t	t	t
see	see	see
philli	philli	philli
giving	give	giving
up	up	up
lindros	lindro	lindros
-	-	-
-	-	-
for	for	for
anything	anyth	anything
.	.	.

>	>	>
>	>	>
they	they	they
didn	didn	didn
'	'	'
t	t	t
give	give	give
away	away	away
that	that	that
much	much	much
to	to	to
quebec	quebec	quebec
just	just	just
to	to	to
trade	trade	trade
him	him	him
away	away	away

>	>	>
>	>	>
again	again	again
.	.	.

not	not	not
to	to	to
mention	mention	mention
that	that	that
lindros	lindro	lindros
seems	seem	seems
to	to	to
be	be	be
a	a	a
*	*	*
huge	huge	huge
*	*	*
draw	draw	draw
in	in	in

>	>	>
>	>	>
phillie	philli	phillie
-	-	-
-	-	-
and	and	and
that	that	that
he	he	he
represents	repres	represents
a	a	a
successful	success	successful
future	futur	future
for	for	for
the	the	the

>	>	>
>	>	>
franchise	franchis	franchise
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
ottawa	ottawa	ottawa
may	may	may
be	be	be
better	better	better
off	off	off
taking	take	taking
the	the	the
4	4	4
players	player	player
+	+	+
$	$	$
15	15	15
from	from	from
montreal	montreal	montreal

>	>	>
>	>	>
for	for	for
the	the	the
pick	pick	pick
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
stephen	stephen	stephen
legge	legg	legge

>	>	>
>	>	>
slegge@kean.ucs.munc.ca	slegge@kean.ucs.munc.ca	slegge@kean.ucs.munc.ca

>	>	>

>	>	>
two	two	two
things	thing	thing
:	:	:

>	>	>

>	>	>
1	1	1
.	.	.

didn	didn	didn
'	'	'
t	t	t
the	the	the
trade	trade	trade
deadline	deadlin	deadline
pass	pass	pas
two	two	two
weeks	week	week
ago	ago	ago
?	?	?

>	>	>

>	>	>
2	2	2
.	.	.

the	the	the
flyers	flyer	flyer
would	would	would
never	never	never
ever	ever	ever
ever	ever	ever
give	give	give
up	up	up
lindros	lindro	lindros
,	,	,
simple	simpl	simple
as	as	a
that	that	that
.	.	.

>	>	>
3	3	3
.	.	.

with	with	with
soderstrom	soderstrom	soderstrom
and	and	and
roussel	roussel	roussel
,	,	,
why	whi	why
the	the	the
hell	hell	hell
would	would	would
the	the	the
flyers	flyer	flyer
want	want	want
to	to	to

pick	pick	pick
up	up	up
an	an	an
older	older	older
and	and	and
slumping	slump	slumping
roy	roy	roy
?	?	?

(	(	(
byw	byw	byw
,	,	,
i	i	i
could	could	could
come	come	come
up	up	up
with	with	with
a	a	a
group	group	group
of	of	of
players	player	player
they	they	they
'	'	'
d	d	d
trade	trade	trade
for	for	for
.	.	.
.	.	.
.	.	.
.	.	.

but	but	but
they	they	they
wouldn	wouldn	wouldn
'	'	'
t	t	t
be	be	be
from	from	from
the	the	the
same	same	same
team	team	team
.	.	.
)	)	)

>	>	>
go	go	go
flyers	flyer	flyer
,	,	,
cup	cup	cup
in	in	in
'	'	'
94	94	94
.	.	.
.	.	.
.	.	.

>	>	>

>	>	>
mike	mike	mike

>	>	>
-	-	-
-	-	-
-	-	-

>	>	>
*	*	*
*	*	*
*	*	*
yes	yes	yes
-	-	-
rush	rush	rush
-	-	-
marillion	marillion	marillion
-	-	-
elp	elp	elp
-	-	-
genesis	genesi	genesis
-	-	-
king	king	king
crimson	crimson	crimson
-	-	-
dream	dream	dream
theater	theater	theater
-	-	-
beatles	beatl	beatles
*	*	*
*	*	*
*	*	*

>	>	>
*	*	*
mike	mike	mike
weintraub	weintraub	weintraub
,	,	,
aka	aka	aka
jvi	jvi	jvi
on	on	on
irc	irc	irc
"	"	"
courageous	courag	courageous
convictions	convict	conviction
*	*	*

>	>	>
*	*	*
mweintr@american.edu	mweintr@american.edu	mweintr@american.edu
will	will	will
drag	drag	drag
the	the	the
dream	dream	dream
*	*	*

>	>	>
*	*	*
jedi@wave.cerf.net	jedi@wave.cerf.net	jedi@wave.cerf.net
into	into	into
existence	exist	existence
"	"	"
*	*	*

>	>	>
*	*	*
the	the	the
american	american	american
university	univers	university
,	,	,
washington	washington	washington
dc	dc	dc
-	-	-
rush	rush	rush
(	(	(
not	not	not
limbaugh	limbaugh	limbaugh
)	)	)
*	*	*

>	>	>
*	*	*
*	*	*
*	*	*
go	go	go
philadelphia	philadelphia	philadelphia
flyers	flyer	flyer
,	,	,
vancouver	vancouv	vancouver
canucks	canuck	canuck
&	&	&
philadelphia	philadelphia	philadelphia
phillies	philli	phillies
*	*	*
*	*	*
*	*	*

john	john	john
e	e	e
.	.	.

runski	runski	runski

<	<	<
jer108	jer108	jer108
@	@	@
psuvm	psuvm	psuvm
>	>	>
