from	from	from
:	:	:
jbailey@world.std.com	jbailey@world.std.com	jbailey@world.std.com
(	(	(
jim	jim	jim
bailey	bailey	bailey
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
sampling	sampl	sampling
cd	cd	cd
audio	audio	audio
(	(	(
was	was	wa
re	re	re
:	:	:
what	what	what
to	to	to
put	put	put
in	in	in
centris	centri	centris
650	650	650
.	.	.
.	.	.
.	.	.
)	)	)

organization	organ	organization
:	:	:
the	the	the
world	world	world
public	public	public
access	access	access
unix	unix	unix
,	,	,
brookline	brooklin	brookline
,	,	,
ma	ma	ma

lines	line	line
:	:	:
28	28	28

ldo@waikato.ac.nz	ldo@waikato.ac.nz	ldo@waikato.ac.nz
(	(	(
lawrence	lawrenc	lawrence
d	d	d
'	'	'
oliveiro	oliveiro	oliveiro
,	,	,
waikato	waikato	waikato
university	univers	university
)	)	)
writes	write	writes
:	:	:

>	>	>
in	in	in
article	articl	article
<	<	<
bskendigc5h91i.fu3@netcom.com	bskendigc5h91i.fu3@netcom.com	bskendigc5h91i.fu3@netcom.com
>	>	>
,	,	,
bskendig@netcom.com	bskendig@netcom.com	bskendig@netcom.com
(	(	(
brian	brian	brian
kendig	kendig	kendig
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
jbailey@world.std.com	jbailey@world.std.com	jbailey@world.std.com
(	(	(
jim	jim	jim
bailey	bailey	bailey
)	)	)
writes	write	writes
:	:	:

>	>	>
>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
yes	yes	yes
,	,	,
you	you	you
get	get	get
internal	intern	internal
mixing	mix	mixing
of	of	of
the	the	the
analog	analog	analog
cd	cd	cd
-	-	-
audio	audio	audio
outputs	output	output
with	with	with

>	>	>
>	>	>
>	>	>
the	the	the
mac	mac	mac
generated	generat	generated
audio	audio	audio
on	on	on
the	the	the
mac	mac	mac
motherboard	motherboard	motherboard
.	.	.

also	also	also
you	you	you
can	can	can
sample	sampl	sample

>	>	>
>	>	>
>	>	>
the	the	the
cd	cd	cd
-	-	-
audio	audio	audio
using	use	using
the	the	the
sound	sound	sound
control	control	control
panel	panel	panel
by	by	by
clicking	click	clicking
on	on	on
the	the	the
options	option	option

>	>	>
>	>	>
>	>	>
button	button	button
next	next	next
to	to	to
the	the	the
microphone	microphon	microphone
icon	icon	icon
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
what	what	what
'	'	'
s	s	s
this	this	this
?	?	?

my	my	my
iivx	iivx	iivx
with	with	with
an	an	an
internal	intern	internal
cd	cd	cd
doesn	doesn	doesn
'	'	'
t	t	t
have	have	have
any	ani	any
"	"	"
cd	cd	cd
-	-	-
audio	audio	audio
"	"	"

>	>	>
>	>	>
icon	icon	icon
.	.	.
.	.	.
.	.	.

>	>	>
i	i	i
can	can	can
'	'	'
t	t	t
find	find	find
any	ani	any
such	such	such
option	option	option
on	on	on
my	my	my
centris	centri	centris
650	650	650
either	either	either
.	.	.

on	on	on
the	the	the
other	other	other
hand	hand	hand
,	,	,
i	i	i

>	>	>
don	don	don
'	'	'
t	t	t
see	see	see
why	whi	why
i	i	i
need	need	need
one	one	one
.	.	.

if	if	if
i	i	i
try	tri	try
recording	record	recording
sound	sound	sound
with	with	with
the	the	the
built	built	built
-	-	-
in	in	in

>	>	>
microphone	microphon	microphone
with	with	with
an	an	an
audio	audio	audio
cd	cd	cd
playing	play	playing
in	in	in
the	the	the
drive	drive	drive
,	,	,
i	i	i
get	get	get
the	the	the
cd	cd	cd
audio	audio	audio
mixed	mix	mixed

>	>	>
in	in	in
with	with	with
the	the	the
microphone	microphon	microphone
sound	sound	sound
.	.	.

>	>	>
and	and	and
i	i	i
guess	guess	guess
if	if	if
i	i	i
unplug	unplug	unplug
the	the	the
microphone	microphon	microphone
,	,	,
then	then	then
i	i	i
'	'	'
ll	ll	ll
get	get	get
uncontaminated	uncontamin	uncontaminated
cd	cd	cd

>	>	>
audio	audio	audio
(	(	(
admittedly	admit	admittedly
sampled	sampl	sampled
at	at	at
8	8	8
bits	bit	bit
through	through	through
a	a	a
d	d	d
-	-	-
a	a	a
-	-	-
d	d	d
conversion	convers	conversion
)	)	)
.	.	.

sorry	sorri	sorry
about	about	about
the	the	the
misinformation	misinform	misinformation
.	.	.

i	i	i
made	made	made
a	a	a
bad	bad	bad
assumption	assumpt	assumption
about	about	about
the	the	the
new	new	new
machines	machin	machine
behaving	behav	behaving
like	like	like
a	a	a
quadra	quadra	quadra
900	900	900
,	,	,
see	see	see
previous	previous	previous
post	post	post
.	.	.

about	about	about
sampling	sampl	sampling
the	the	the
cd	cd	cd
audio	audio	audio
though	though	though
,	,	,
have	have	have
you	you	you
tried	tri	tried
it	it	it
?	?	?

i	i	i
found	found	found
the	the	the
aliasing	alias	aliasing
to	to	to
be	be	be
really	realli	really
bad	bad	bad
.	.	.

like	like	like
it	it	it
needed	need	needed
a	a	a
filter	filter	filter
or	or	or
something	someth	something
.	.	.

much	much	much
worse	wors	worse
than	than	than
i	i	i
expected	expect	expected
.	.	.

i	i	i
installed	instal	installed
the	the	the
cd	cd	cd
-	-	-
300	300	300
in	in	in
the	the	the
quadra	quadra	quadra
myself	myself	myself
so	so	so
maybe	mayb	maybe
i	i	i
missed	miss	missed
something	someth	something
.	.	.

everything	everyth	everything
else	els	else
works	work	work
great	great	great
though	though	though
.	.	.
