subject	subject	subject
:	:	:
amplifiers	amplifi	amplifier
and	and	and
speakers	speaker	speaker

from	from	from
:	:	:
krschimm@wsuhub.uc.twsu.edu	krschimm@wsuhub.uc.twsu.edu	krschimm@wsuhub.uc.twsu.edu
(	(	(
karl	karl	karl
schimmel	schimmel	schimmel
)	)	)

organization	organ	organization
:	:	:
wichita	wichita	wichita
state	state	state
university	univers	university
,	,	,
wichita	wichita	wichita
,	,	,
ks	ks	k

lines	line	line
:	:	:
27	27	27

for	for	for
sale	sale	sale
(	(	(
of	of	of
course	cours	course
)	)	)

linear	linear	linear
power	power	power
model	model	model
952	952	952
iq	iq	iq

2	2	2
channel	channel	channel
automotive	automot	automotive
stereo	stereo	stereo
amplifier	amplifi	amplifier

95	95	95
watts	watt	watt
peak	peak	peak
per	per	per
channel	channel	channel

2	2	2
ohm	ohm	ohm
stable	stabl	stable

fidelity	fidel	fidelity
tested	test	tested

$	$	$
100	100	100
you	you	you
pay	pay	pay
shipping	ship	shipping

1	1	1
pair	pair	pair
(	(	(
two	two	two
(	(	(
2	2	2
)	)	)
)	)	)
mobile	mobil	mobile
authority	author	authority
woofers	woofer	woofer

10	10	10
inch	inch	inch

2	2	2
inch	inch	inch
voice	voic	voice
coil	coil	coil

20	20	20
oz	oz	oz
magnet	magnet	magnet

130	130	130
watt	watt	watt
peak	peak	peak
power	power	power
handeling	handel	handeling

4	4	4
ohms	ohm	ohm

$	$	$
40	40	40
for	for	for
both	both	both
,	,	,
you	you	you
pay	pay	pay
shipping	ship	shipping
(	(	(
will	will	will
not	not	not
sell	sell	sell
seperatly	seperat	seperatly
)	)	)

reply	repli	reply
thru	thru	thru
e	e	e
-	-	-
mail	mail	mail
to	to	to
:	:	:

karl	karl	karl
r	r	r
.	.	.

schimmel	schimmel	schimmel

the	the	the
wichita	wichita	wichita
state	state	state
university	univers	university

%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%

%	%	%
krschimm	krschimm	krschimm
at	at	at
twsuvax	twsuvax	twsuvax
krschimm@wsuhub.uc.twsu.edu	krschimm@wsuhub.uc.twsu.edu	krschimm@wsuhub.uc.twsu.edu
%	%	%

%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
%	%	%
