subject	subject	subject
:	:	:
help	help	help
!	!	!
!	!	!

how	how	how
to	to	to
get	get	get
refund	refund	refund
from	from	from
visual	visual	visual
images	imag	image
?	?	?

from	from	from
:	:	:
koutd@hirama.hiram.edu	koutd@hirama.hiram.edu	koutd@hirama.hiram.edu
(	(	(
douglas	dougla	douglas
kou	kou	kou
)	)	)

organization	organ	organization
:	:	:
hiram	hiram	hiram
college	colleg	college

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
hirama	hirama	hirama
.	.	.
hiram	hiram	hiram
.	.	.
edu	edu	edu

lines	line	line
:	:	:
28	28	28

i	i	i
participated	particip	participated
a	a	a
promotion	promot	promotion
by	by	by
a	a	a
company	compani	company
called	call	called
visual	visual	visual
images	imag	image
.	.	.

they	they	they
sent	sent	sent
me	me	me
a	a	a
award	award	award
certificate	certif	certificate
three	three	three
months	month	month
ago	ago	ago
and	and	and
asked	ask	asked
me	me	me
to	to	to
buy	buy	buy
their	their	their
promotion	promot	promotion
package	packag	package
in	in	in
order	order	order
to	to	to
receive	receiv	receive
the	the	the
major	major	major
award	award	award
.	.	.

they	they	they
mislabled	mislabl	mislabled
my	my	my
address	address	address
and	and	and
i	i	i
did	did	did
not	not	not
receive	receiv	receive
my	my	my
package	packag	package
until	until	until
one	one	one
month	month	month
ago	ago	ago
.	.	.

i	i	i
was	was	wa
mad	mad	mad
and	and	and
angry	angri	angry
about	about	about
how	how	how
it	it	it
took	took	took
them	them	them
so	so	so
long	long	long
to	to	to
get	get	get
my	my	my
package	packag	package
.	.	.

so	so	so
i	i	i
wrote	wrote	wrote
them	them	them
a	a	a
letter	letter	letter
and	and	and
requested	request	requested
for	for	for
a	a	a
refund	refund	refund
.	.	.

they	they	they
never	never	never
return	return	return
my	my	my
letter	letter	letter
.	.	.

i	i	i
was	was	wa
lucky	lucki	lucky
enough	enough	enough
to	to	to
find	find	find
out	out	out
their	their	their
telephone	telephon	telephone
number	number	number
through	through	through
operator	oper	operator
and	and	and
received	receiv	received
the	the	the
package	packag	package
.	.	.

i	i	i
immediately	immedi	immediately
returned	return	returned
the	the	the
package	packag	package
and	and	and
wrote	wrote	wrote
them	them	them
another	anoth	another
letter	letter	letter
to	to	to
ask	ask	ask
for	for	for
refund	refund	refund
.	.	.

the	the	the
package	packag	package
was	was	wa
returned	return	returned
because	becaus	because
they	they	they
address	address	address
they	they	they
put	put	put
on	on	on
the	the	the
package	packag	package
was	was	wa
incorrect	incorrect	incorrect
.	.	.

i	i	i
attempted	attempt	attempted
to	to	to
call	call	call
them	them	them
and	and	and
learnd	learnd	learnd
that	that	that
they	they	they
have	have	have
changed	chang	changed
their	their	their
telephone	telephon	telephone
number	number	number
.	.	.

it	it	it
took	took	took
me	me	me
at	at	at
least	least	least
10	10	10
phone	phone	phone
calls	call	call
to	to	to
find	find	find
out	out	out
their	their	their
new	new	new
number	number	number
,	,	,
but	but	but
they	they	they
refused	refus	refused
to	to	to
take	take	take
any	ani	any
responsibility	respons	responsibility
.	.	.

i	i	i
spoke	spoke	spoke
to	to	to
their	their	their
manager	manag	manager
and	and	and
she	she	she
said	said	said
she	she	she
would	would	would
call	call	call
me	me	me
back	back	back
,	,	,
but	but	but
she	she	she
has	has	ha
not	not	not
call	call	call
yet	yet	yet
.	.	.

but	but	but
i	i	i
was	was	wa
able	abl	able
to	to	to
get	get	get
their	their	their
address	address	address
from	from	from
their	their	their
front	front	front
desk	desk	desk
.	.	.

should	should	should
i	i	i
just	just	just
go	go	go
ahead	ahead	ahead
and	and	and
send	send	send
the	the	the
package	packag	package
?	?	?

or	or	or
should	should	should
i	i	i
waite	wait	waite
until	until	until
they	they	they
call	call	call
me	me	me
back	back	back
?	?	?

i	i	i
know	know	know
there	there	there
are	are	are
several	sever	several
people	peopl	people
on	on	on
the	the	the
net	net	net
has	has	ha
experience	experi	experience
with	with	with
the	the	the
same	same	same
company	compani	company
.	.	.

i	i	i
would	would	would
like	like	like
to	to	to
know	know	know
how	how	how
they	they	they
got	got	got
their	their	their
money	money	money
back	back	back
.	.	.

if	if	if
you	you	you
have	have	have
similar	similar	similar
experience	experi	experience
,	,	,
please	pleas	please
advise	advis	advise
me	me	me
.	.	.

thanks	thank	thanks
in	in	in
advance	advanc	advance
,	,	,
douglas	dougla	douglas
kou	kou	kou
hiram	hiram	hiram
college	colleg	college
