organization	organ	organization
:	:	:
university	univers	university
of	of	of
notre	notr	notre
dame	dame	dame
-	-	-
office	offic	office
of	of	of
univ	univ	univ
.	.	.

computing	comput	computing

from	from	from
:	:	:
<	<	<
rvesterm@vma.cc.nd.edu	rvesterm@vma.cc.nd.edu	rvesterm@vma.cc.nd.edu
>	>	>

subject	subject	subject
:	:	:
re	re	re
:	:	:
nl	nl	nl
vs	vs	v
.	.	.

al	al	al
?	?	?

<	<	<
93102.164224rvesterm@vma.cc.nd.edu	93102.164224rvesterm@vma.cc.nd.edu	93102.164224rvesterm@vma.cc.nd.edu
>	>	>
<	<	<
1993apr13.184311.16351@news.yale.edu	1993apr13.184311.16351@news.yale.edu	1993apr13.184311.16351@news.yale.edu
>	>	>
lines	line	line
:	:	:
23	23	23

in	in	in
article	articl	article
<	<	<
1993apr13.184311.16351@news.yale.edu	1993apr13.184311.16351@news.yale.edu	1993apr13.184311.16351@news.yale.edu
>	>	>
,	,	,
(	(	(
sean	sean	sean
garrison	garrison	garrison
)	)	)
says	say	say
:	:	:

>	>	>

>	>	>
in	in	in
article	articl	article
<	<	<
93102.164224rvesterm@vma.cc.nd.edu	93102.164224rvesterm@vma.cc.nd.edu	93102.164224rvesterm@vma.cc.nd.edu
>	>	>
,	,	,
rvesterm@vma.cc.nd.edu	rvesterm@vma.cc.nd.edu	rvesterm@vma.cc.nd.edu

>	>	>
wrote	wrote	wrote
:	:	:

>	>	>

>	>	>
>	>	>
pitchers	pitcher	pitcher
who	who	who
are	are	are
doing	do	doing
well	well	well
are	are	are

>	>	>
>	>	>
more	more	more
likely	like	likely
to	to	to
be	be	be
taken	taken	taken
out	out	out
of	of	of
the	the	the
game	game	game
in	in	in
the	the	the
nl	nl	nl
than	than	than
they	they	they
are	are	are
in	in	in
the	the	the
al	al	al
,	,	,
>	>	>
>	>	>
so	so	so
it	it	it
seems	seem	seems
to	to	to
me	me	me
that	that	that
the	the	the
al	al	al
,	,	,
not	not	not
the	the	the
nl	nl	nl
,	,	,
promotes	promot	promotes
pitchers	pitcher	pitcher
'	'	'
duels	duel	duel
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
bob	bob	bob
vesterman	vesterman	vesterman
.	.	.

>	>	>

>	>	>

>	>	>
on	on	on
what	what	what
basis	basi	basis
do	do	do
you	you	you
make	make	make
this	this	this
statement	statement	statement
?	?	?

>	>	>

>	>	>
q	q	q
sean	sean	sean

are	are	are
you	you	you
serious	serious	serious
?	?	?

pitchers	pitcher	pitcher
are	are	are
pinch	pinch	pinch
-	-	-
hit	hit	hit
for	for	for
in	in	in
the	the	the
nl	nl	nl
.	.	.

they	they	they
are	are	are
not	not	not
in	in	in
the	the	the
nl	nl	nl
.	.	.

if	if	if
a	a	a
pitcher	pitcher	pitcher
is	is	is
cranking	crank	cranking
in	in	in
the	the	the
al	al	al
,	,	,
he	he	he
will	will	will
stay	stay	stay
in	in	in
the	the	the
game	game	game
.	.	.

if	if	if
he	he	he
is	is	is
cranking	crank	cranking
in	in	in
the	the	the
nl	nl	nl
,	,	,
he	he	he
may	may	may
not	not	not
-	-	-
especially	especi	especially
if	if	if
it	it	it
'	'	'
s	s	s
a	a	a
pitchers	pitcher	pitcher
'	'	'
duel	duel	duel
,	,	,
and	and	and
his	his	his
team	team	team
needs	need	need
an	an	an
extra	extra	extra
run	run	run
.	.	.

bob	bob	bob
vesterman	vesterman	vesterman
.	.	.
