from	from	from
:	:	:
cubbie@garnet.berkeley.edu	cubbie@garnet.berkeley.edu	cubbie@garnet.berkeley.edu
(	(	(
)	)	)

subject	subject	subject
:	:	:
re	re	re
:	:	:
cubs	cub	cub
behind	behind	behind
marlins	marlin	marlin
?	?	?

how	how	how
?	?	?

article	articl	article
-	-	-
i	i	i
.	.	.
d	d	d
.	.	.
:	:	:
agate	agat	agate
.	.	.
1pt592	1pt592	1pt592
$	$	$
f9a	f9a	f9a
organization	organ	organization
:	:	:
university	univers	university
of	of	of
california	california	california
,	,	,
berkeley	berkeley	berkeley
lines	line	line
:	:	:
12	12	12
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
garnet	garnet	garnet
.	.	.
berkeley	berkeley	berkeley
.	.	.
edu	edu	edu

gajarsky@pilot.njin.net	gajarsky@pilot.njin.net	gajarsky@pilot.njin.net
writes	write	writes
:	:	:

morgan	morgan	morgan
and	and	and
guzman	guzman	guzman
will	will	will
have	have	have
era	era	era
'	'	'
s	s	s
1	1	1
run	run	run
higher	higher	higher
than	than	than
last	last	last
year	year	year
,	,	,
and	and	and

the	the	the
cubs	cub	cub
will	will	will
be	be	be
idiots	idiot	idiot
and	and	and
not	not	not
pitch	pitch	pitch
harkey	harkey	harkey
as	as	a
much	much	much
as	as	a
hibbard	hibbard	hibbard
.	.	.

castillo	castillo	castillo
won	won	won
'	'	'
t	t	t
be	be	be
good	good	good
(	(	(
i	i	i
think	think	think
he	he	he
'	'	'
s	s	s
a	a	a
stud	stud	stud
pitcher	pitcher	pitcher
)	)	)

this	this	this
season	season	season
so	so	so
far	far	far
,	,	,
morgan	morgan	morgan
and	and	and
guzman	guzman	guzman
helped	help	helped
to	to	to
lead	lead	lead
the	the	the
cubs	cub	cub

at	at	at
top	top	top
in	in	in
era	era	era
,	,	,
even	even	even
better	better	better
than	than	than
the	the	the
rotation	rotat	rotation
at	at	at
atlanta	atlanta	atlanta
.	.	.

cubs	cub	cub
era	era	era
at	at	at
0	0	0
.	.	.
056	056	056
while	while	while
braves	brave	brave
at	at	at
0	0	0
.	.	.
059	059	059
.	.	.

we	we	we
know	know	know
it	it	it
is	is	is
early	earli	early

in	in	in
the	the	the
season	season	season
,	,	,
we	we	we
cubs	cub	cub
fans	fan	fan
have	have	have
learned	learn	learned
how	how	how
to	to	to
enjoy	enjoy	enjoy
the	the	the

short	short	short
triumph	triumph	triumph
while	while	while
it	it	it
is	is	is
still	still	still
there	there	there
.	.	.
