subject	subject	subject
:	:	:
re	re	re
:	:	:
trouble	troubl	trouble
compiling	compil	compiling
x11r5	x11r5	x11r5
on	on	on
sunos_4	sunos_4	sunos_4
.	.	.
1	1	1
.	.	.
3	3	3

from	from	from
:	:	:
nemo@aguirre.dia.fi.upm.es	nemo@aguirre.dia.fi.upm.	nemo@aguirre.dia.fi.upm.es
(	(	(
francisco	francisco	francisco
j	j	j
.	.	.

ballesteros	ballestero	ballesteros
)	)	)
organization	organ	organization
:	:	:
computer	comput	computer
science	scienc	science
,	,	,
clip	clip	clip
lab	lab	lab
,	,	,
upm	upm	upm
madrid	madrid	madrid
,	,	,
spain	spain	spain
.	.	.

nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
aguirre	aguirr	aguirre
.	.	.
dia	dia	dia
.	.	.
fi	fi	fi
.	.	.
upm	upm	upm
.	.	.
es	es	e

in	in	in
-	-	-
reply	repli	reply
-	-	-
to	to	to
:	:	:
dmm@head-cfa.harvard.edu	dmm@head-cfa.harvard.edu	dmm@head-cfa.harvard.edu
'	'	'
s	s	s
message	messag	message
of	of	of
2	2	2
apr	apr	apr
93	93	93
21	21	21
:	:	:
24	24	24
:	:	:
05	05	05
gmt	gmt	gmt

lines	line	line
:	:	:
21	21	21

in	in	in
article	articl	article
<	<	<
1993apr2.212405.5213@head-cfa.harvard.edu	1993apr2.212405.5213@head-cfa.harvard.edu	1993apr2.212405.5213@head-cfa.harvard.edu
>	>	>
dmm@head-cfa.harvard.edu	dmm@head-cfa.harvard.edu	dmm@head-cfa.harvard.edu
(	(	(
david	david	david
meleedy	meleedi	meleedy
)	)	)
writes	write	writes
:	:	:

>	>	>
i	i	i
'	'	'
ve	ve	ve
been	been	been
trying	tri	trying
to	to	to
compile	compil	compile
x11r5	x11r5	x11r5
patchlevel	patchlevel	patchlevel
23	23	23
on	on	on
a	a	a
sun	sun	sun
sparc	sparc	sparc

>	>	>
ipx	ipx	ipx
using	use	using
sunos_4	sunos_4	sunos_4
.	.	.
1	1	1
.	.	.
3	3	3
,	,	,
and	and	and
gcc	gcc	gcc
2	2	2
.	.	.
3	3	3
.	.	.
3	3	3
.	.	.

>	>	>

>	>	>
the	the	the
problem	problem	problem
occurs	occur	occurs
during	dure	during
the	the	the
initial	initi	initial
"	"	"
make	make	make
world	world	world
"	"	"
.	.	.

when	when	when

>	>	>
it	it	it
gets	get	get
up	up	up
to	to	to
compiling	compil	compiling
the	the	the
standard	standard	standard
x	x	x
clients	client	client
,	,	,
it	it	it
can	can	can
'	'	'
t	t	t
seem	seem	seem
to	to	to
find	find	find

>	>	>
some	some	some
of	of	of
the	the	the
libraries	librari	library
.	.	.

right	right	right
now	now	now
we	we	we
highly	high	highly
suspect	suspect	suspect
the	the	the
program	program	program
"	"	"
ld	ld	ld
"	"	"

>	>	>
which	which	which
was	was	wa
updated	updat	updated
for	for	for
4_1_3	4_1_3	4_1_3
.	.	.

>	>	>

yip	yip	yip
,	,	,
we	we	we
had	had	had
the	the	the
same	same	same
problem	problem	problem
;	;	;
the	the	the
only	onli	only
fix	fix	fix
we	we	we
