subject	subject	subject
:	:	:
re	re	re
:	:	:
ancient	ancient	ancient
islamic	islam	islamic
rituals	ritual	ritual

from	from	from
:	:	:
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com
(	(	(
robert	robert	robert
beauchaine	beauchain	beauchaine
)	)	)

organization	organ	organization
:	:	:
tektronix	tektronix	tektronix
,	,	,
inc	inc	inc
.	.	.
,	,	,
beaverton	beaverton	beaverton
,	,	,
or	or	or
.	.	.

lines	line	line
:	:	:
33	33	33

in	in	in
article	articl	article
<	<	<
1993apr3.081052.11292@monu6.cc.monash.edu.au	1993apr3.081052.11292@monu6.cc.monash.edu.au	1993apr3.081052.11292@monu6.cc.monash.edu.au
>	>	>
darice@yoyo.cc.monash.edu.au	darice@yoyo.cc.monash.edu.au	darice@yoyo.cc.monash.edu.au
(	(	(
fred	fred	fred
rice	rice	rice
)	)	)
writes	write	writes
:	:	:

>	>	>
i	i	i
propose	propos	propose

>	>	>
that	that	that
these	these	these
two	two	two
trends	trend	trend
-	-	-
-	-	-
greater	greater	greater
level	level	level
of	of	of
general	general	general
depression	depress	depression
in	in	in
society	societi	society

>	>	>
(	(	(
and	and	and
other	other	other
psychological	psycholog	psychological
problems	problem	problem
)	)	)
and	and	and
greater	greater	greater
sexual	sexual	sexual
promiscuity	promiscu	promiscuity
-	-	-
-	-	-
are	are	are

>	>	>
linked	link	linked
,	,	,
with	with	with
the	the	the
latter	latter	latter
being	be	being
a	a	a
prime	prime	prime
cause	caus	cause
of	of	of
the	the	the
former	former	former
.	.	.

i	i	i
cannot	cannot	cannot

>	>	>
provide	provid	provide
any	ani	any
evidence	evid	evidence
beyond	beyond	beyond
this	this	this
at	at	at
this	this	this
stage	stage	stage
,	,	,
but	but	but
the	the	the
whole	whole	whole
thesis	thesi	thesis

>	>	>
seems	seem	seems
very	veri	very
reasonable	reason	reasonable
to	to	to
me	me	me
and	and	and
i	i	i
request	request	request
that	that	that
people	peopl	people
ponder	ponder	ponder
upon	upon	upon
it	it	it
.	.	.

>	>	>

damn	damn	damn
right	right	right
you	you	you
can	can	can
'	'	'
t	t	t
provide	provid	provide
any	ani	any
evidence	evid	evidence
for	for	for
it	it	it
.	.	.

rarely	rare	rarely
are	are	are
any	ani	any
widespread	widespread	widespread
social	social	social
phenomenon	phenomenon	phenomenon
reducible	reduc	reducible
to	to	to
such	such	such
a	a	a

simple	simpl	simple
premise	premis	premise
.	.	.

if	if	if
they	they	they
were	were	were
,	,	,
psychology	psycholog	psychology
would	would	would
be	be	be
a	a	a
hard	hard	hard
science	scienc	science

with	with	with
roughly	rough	roughly
the	the	the
same	same	same
mathematical	mathemat	mathematical
soundness	sound	soundness
as	as	a
physics	physic	physic
.	.	.

your	your	your
premise	premis	premise
may	may	may
well	well	well
be	be	be
right	right	right
.	.	.

it	it	it
is	is	is
much	much	much
more	more	more
likely	like	likely
,	,	,
however	howev	however
,	,	,
that	that	that
it	it	it
reflects	reflect	reflects
your	your	your
socialization	social	socialization
and	and	and
religious	religi	religious
background	background	background
,	,	,
as	as	a

well	well	well
as	as	a
your	your	your
need	need	need
to	to	to
validate	valid	validate
your	your	your
religious	religi	religious
beliefs	belief	belief
.	.	.

were	were	were
i	i	i
to	to	to

pretend	pretend	pretend
to	to	to
have	have	have
all	all	all
the	the	the
answers	answer	answer
(	(	(
and	and	and
i	i	i
don	don	don
'	'	'
t	t	t
)	)	)
,	,	,
i	i	i
would	would	would
say	say	say
that	that	that
the	the	the

xenophobia	xenophobia	xenophobia
,	,	,
guilt	guilt	guilt
,	,	,
and	and	and
intolerance	intoler	intolerance
brought	brought	brought
about	about	about
by	by	by
adherence	adher	adherence
to	to	to

fundamentalist	fundamentalist	fundamentalist
religions	religion	religion
play	play	play
just	just	just
as	as	a
large	larg	large
a	a	a
role	role	role
in	in	in
depressing	depress	depressing

the	the	the
members	member	member
of	of	of
our	our	our
society	societi	society
.	.	.

your	your	your
mileage	mileag	mileage
obviously	obvious	obviously
varies	vari	varies
.	.	.

/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\

bob	bob	bob
beauchaine	beauchain	beauchaine
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com

they	they	they
said	said	said
that	that	that
queens	queen	queen
could	could	could
stay	stay	stay
,	,	,
they	they	they
blew	blew	blew
the	the	the
bronx	bronx	bronx
away	away	away
,	,	,
and	and	and
sank	sank	sank
manhattan	manhattan	manhattan
out	out	out
at	at	at
sea	sea	sea
.	.	.

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
