subject	subject	subject
:	:	:
re	re	re
:	:	:
don	don	don
'	'	'
t	t	t
more	more	more
innocents	innoc	innocent
die	die	die
without	without	without
the	the	the
death	death	death
penalty	penalti	penalty
?	?	?

from	from	from
:	:	:
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com
(	(	(
robert	robert	robert
beauchaine	beauchain	beauchaine
)	)	)

organization	organ	organization
:	:	:
tektronix	tektronix	tektronix
,	,	,
inc	inc	inc
.	.	.
,	,	,
beaverton	beaverton	beaverton
,	,	,
or	or	or
.	.	.

lines	line	line
:	:	:
26	26	26

in	in	in
article	articl	article
<	<	<
2942881697	2942881697	2942881697
.0.p00168@psilink.com	.0.p00168@psilink.com	.0.p00168@psilink.com
>	>	>
p00168@psilink.com	p00168@psilink.com	p00168@psilink.com
(	(	(
james	jame	james
f	f	f
.	.	.

tims	tim	tims
)	)	)
writes	write	writes
:	:	:

>	>	>

>	>	>
by	by	by
maintaining	maintain	maintaining
classes	class	class
d	d	d
and	and	and
e	e	e
,	,	,
even	even	even
in	in	in
prison	prison	prison
,	,	,
it	it	it
seems	seem	seems
as	as	a
if	if	if
we	we	we

>	>	>
place	place	place
more	more	more
innocent	innoc	innocent
people	peopl	people
at	at	at
a	a	a
higher	higher	higher
risk	risk	risk
of	of	of
an	an	an
unjust	unjust	unjust
death	death	death
than	than	than

>	>	>
we	we	we
would	would	would
if	if	if
the	the	the
state	state	state
executed	execut	executed
classes	class	class
d	d	d
and	and	and
e	e	e
with	with	with
an	an	an
occasional	occasion	occasional
error	error	error
.	.	.

>	>	>

i	i	i
answer	answer	answer
from	from	from
the	the	the
position	posit	position
that	that	that
we	we	we
would	would	would
indeed	inde	indeed
place	place	place
these	these	these
people	peopl	people

in	in	in
prison	prison	prison
for	for	for
life	life	life
.	.	.

that	that	that
depends	depend	depends
not	not	not
only	onli	only
on	on	on
their	their	their
predisposition	predisposit	predisposition
towards	toward	towards
murder	murder	murder
,	,	,
but	but	but

also	also	also
in	in	in
their	their	their
success	success	success
rate	rate	rate
at	at	at
escape	escap	escape
and	and	and
therefore	therefor	therefore
their	their	their
ability	abil	ability

to	to	to
commit	commit	commit
the	the	the
same	same	same
crimes	crime	crime
again	again	again
.	.	.

in	in	in
other	other	other
words	word	word
,	,	,
if	if	if
lifetime	lifetim	lifetime
imprisonment	imprison	imprisonment
doesn	doesn	doesn
'	'	'
t	t	t
work	work	work
,	,	,
perhaps	perhap	perhaps

it	it	it
'	'	'
s	s	s
not	not	not
because	becaus	because
we	we	we
'	'	'
re	re	re
not	not	not
executing	execut	executing
these	these	these
people	peopl	people
,	,	,
but	but	but
because	becaus	because

we	we	we
'	'	'
re	re	re
not	not	not
being	be	being
careful	care	careful
enough	enough	enough
about	about	about
how	how	how
we	we	we
lock	lock	lock
them	them	them
up	up	up
.	.	.

/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\
/	/	/
\	\	\

bob	bob	bob
beauchaine	beauchain	beauchaine
bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com	bobbe@vice.ico.tek.com

they	they	they
said	said	said
that	that	that
queens	queen	queen
could	could	could
stay	stay	stay
,	,	,
they	they	they
blew	blew	blew
the	the	the
bronx	bronx	bronx
away	away	away
,	,	,
and	and	and
sank	sank	sank
manhattan	manhattan	manhattan
out	out	out
at	at	at
sea	sea	sea
.	.	.

^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
^	^	^
