subject	subject	subject
:	:	:
omnipotence	omnipot	omnipotence
(	(	(
was	was	wa
re	re	re
:	:	:
speculations	specul	speculation
)	)	)

from	from	from
:	:	:
jbrown@batman.bmd.trw.com	jbrown@batman.bmd.trw.com	jbrown@batman.bmd.trw.com

lines	line	line
:	:	:
55	55	55

in	in	in
article	articl	article
<	<	<
2942949719	2942949719	2942949719
.2.p00261@psilink.com	.2.p00261@psilink.com	.2.p00261@psilink.com
>	>	>
,	,	,
"	"	"
robert	robert	robert
knowles	knowl	knowles
"	"	"
<	<	<
p00261@psilink.com	p00261@psilink.com	p00261@psilink.com
>	>	>
writes	write	writes
:	:	:

>	>	>
>	>	>
date	date	date
:	:	:
fri	fri	fri
,	,	,
2	2	2
apr	apr	apr
1993	1993	1993
23	23	23
:	:	:
02	02	02
:	:	:
22	22	22
-	-	-
0500	0500	0500

>	>	>
>	>	>
from	from	from
:	:	:
nanci	nanci	nanci
ann	ann	ann
miller	miller	miller
<	<	<
nm0w+@andrew.cmu.edu	nm0w+@andrew.cmu.edu	nm0w+@andrew.cmu.edu
>	>	>

>	>	>
>	>	>

>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
>	>	>
3	3	3
.	.	.

can	can	can
god	god	god
uncreate	uncreat	uncreate
itself	itself	itself
?	?	?

>	>	>
>	>	>
>	>	>

>	>	>
>	>	>
>	>	>
no	no	no
.	.	.
for	for	for
if	if	if
he	he	he
did	did	did
,	,	,
he	he	he
would	would	would
violate	violat	violate
his	his	his
own	own	own
nature	natur	nature
which	which	which
he	he	he
cannot	cannot	cannot
do	do	do
.	.	.

>	>	>
>	>	>
>	>	>
it	it	it
is	is	is
god	god	god
'	'	'
s	s	s
nature	natur	nature
to	to	to
exist	exist	exist
.	.	.

he	he	he
is	is	is
,	,	,
after	after	after
all	all	all
,	,	,
the	the	the
"	"	"
i	i	i
am	am	am
"	"	"
which	which	which
is	is	is

>	>	>
>	>	>
>	>	>
a	a	a
statement	statement	statement
of	of	of
his	his	his
inherent	inher	inherent
existence	exist	existence
.	.	.

he	he	he
is	is	is
existence	exist	existence
itself	itself	itself
.	.	.

>	>	>
>	>	>
>	>	>
existence	exist	existence
cannot	cannot	cannot
"	"	"
not	not	not
-	-	-
exist	exist	exist
"	"	"
.	.	.

>	>	>
>	>	>

>	>	>
>	>	>
then	then	then
,	,	,
as	as	a
mentioned	mention	mentioned
above	abov	above
,	,	,
he	he	he
must	must	must
not	not	not
be	be	be
very	veri	very
omnipotent	omnipot	omnipotent
.	.	.

>	>	>
>	>	>

what	what	what
do	do	do
you	you	you
mean	mean	mean
by	by	by
omnipotent	omnipot	omnipotent
here	here	here
?	?	?

do	do	do
you	you	you
mean	mean	mean
by	by	by
"	"	"
omnipotent	omnipot	omnipotent
"	"	"
that	that	that
god	god	god
should	should	should
be	be	be
able	abl	able
to	to	to
do	do	do
anything	anyth	anything
/	/	/
everything	everyth	everything
?	?	?

this	this	this
creates	creat	creates
a	a	a
self	self	self
-	-	-
contradictory	contradictori	contradictory
definition	definit	definition
of	of	of
omnipotence	omnipot	omnipotence
which	which	which
is	is	is
effectively	effect	effectively
useless	useless	useless
.	.	.

to	to	to
be	be	be
descriptive	descript	descriptive
,	,	,
omnipotence	omnipot	omnipotence
must	must	must
mean	mean	mean
"	"	"
being	be	being
all	all	all
-	-	-
powerful	power	powerful
"	"	"
and	and	and
not	not	not
"	"	"
being	be	being
able	abl	able
to	to	to
do	do	do
anything	anyth	anything
/	/	/
everything	everyth	everything
"	"	"
.	.	.

let	let	let
me	me	me
illustrate	illustr	illustrate
by	by	by
analogy	analog	analogy
.	.	.

suppose	suppos	suppose
the	the	the
united	unit	united
states	state	state
were	were	were
the	the	the
only	onli	only
nuclear	nuclear	nuclear
power	power	power
on	on	on
earth	earth	earth
.	.	.

suppose	suppos	suppose
further	further	further
that	that	that
the	the	the
us	us	u
military	militari	military
could	could	could
not	not	not
effectively	effect	effectively
be	be	be
countered	counter	countered
by	by	by
any	ani	any
nation	nation	nation
or	or	or
group	group	group
of	of	of
nations	nation	nation
.	.	.

the	the	the
us	us	u
has	has	ha
the	the	the
power	power	power
to	to	to
go	go	go
into	into	into
any	ani	any
country	countri	country
at	at	at
any	ani	any
time	time	time
for	for	for
any	ani	any
reason	reason	reason
to	to	to
straighten	straighten	straighten
things	thing	thing
out	out	out
as	as	a
the	the	the
leaders	leader	leader
of	of	of
the	the	the
us	us	u
see	see	see
fit	fit	fit
.	.	.

the	the	the
us	us	u
would	would	would
be	be	be
militarily	militarili	militarily
"	"	"
omnipotent	omnipot	omnipotent
"	"	"
.	.	.

but	but	but
suppose	suppos	suppose
further	further	further
that	that	that
the	the	the
us	us	u
holds	hold	hold
to	to	to
a	a	a
doctrine	doctrin	doctrine
/	/	/
philosophy	philosophi	philosophy
of	of	of
not	not	not
interfering	interf	interfering
in	in	in
the	the	the
internal	intern	internal
affairs	affair	affair
of	of	of
any	ani	any
nation	nation	nation
,	,	,
such	such	such
as	as	a
the	the	the
current	current	current
civil	civil	civil
war	war	war
in	in	in
the	the	the
former	former	former
yugoslavian	yugoslavian	yugoslavian
states	state	state
.	.	.

technically	technic	technically
(	(	(
in	in	in
this	this	this
scenario	scenario	scenario
)	)	)
the	the	the
us	us	u
would	would	would
have	have	have
the	the	the
power	power	power
to	to	to
unilaterally	unilater	unilaterally
go	go	go
into	into	into
yugoslavia	yugoslavia	yugoslavia
and	and	and
straighten	straighten	straighten
out	out	out
the	the	the
mess	mess	mess
.	.	.

but	but	but
effectively	effect	effectively
the	the	the
us	us	u
could	could	could
not	not	not
intervene	interven	intervene
without	without	without
violating	violat	violating
its	it	it
own	own	own
policy	polici	policy
of	of	of
non	non	non
-	-	-
interference	interfer	interference
.	.	.

if	if	if
the	the	the
policy	polici	policy
of	of	of
non	non	non
-	-	-
interference	interfer	interference
were	were	were
held	held	held
to	to	to
strongly	strong	strongly
enough	enough	enough
,	,	,
then	then	then
there	there	there
would	would	would
never	never	never
be	be	be
a	a	a
question	question	question
that	that	that
it	it	it
would	would	would
ever	ever	ever
be	be	be
violated	violat	violated
.	.	.

effectively	effect	effectively
,	,	,
the	the	the
us	us	u
would	would	would
be	be	be
limited	limit	limited
in	in	in
what	what	what
it	it	it
could	could	could
actually	actual	actually
do	do	do
,	,	,
although	although	although
it	it	it
had	had	had
the	the	the
power	power	power
to	to	to
do	do	do
"	"	"
whatever	whatev	whatever
it	it	it
wanted	want	wanted
"	"	"
.	.	.

the	the	the
us	us	u
would	would	would
simply	simpli	simply
"	"	"
never	never	never
want	want	want
to	to	to
interfere	interfer	interfere
"	"	"
for	for	for
such	such	such
an	an	an
idea	idea	idea
would	would	would
be	be	be
beyond	beyond	beyond
the	the	the
consideration	consider	consideration
of	of	of
its	it	it
leaders	leader	leader
given	given	given
such	such	such
an	an	an
inviolate	inviol	inviolate
non	non	non
-	-	-
interference	interfer	interference
policy	polici	policy
.	.	.

god	god	god
is	is	is
effectively	effect	effectively
limited	limit	limited
in	in	in
the	the	the
same	same	same
sense	sens	sense
.	.	.

he	he	he
is	is	is
all	all	all
powerful	power	powerful
,	,	,
but	but	but
he	he	he
cannot	cannot	cannot
use	use	use
his	his	his
power	power	power
in	in	in
a	a	a
way	way	way
that	that	that
would	would	would
violate	violat	violate
the	the	the
essence	essenc	essence
of	of	of
what	what	what
he	he	he
,	,	,
himself	himself	himself
is	is	is
.	.	.

i	i	i
hope	hope	hope
this	this	this
helps	help	help
to	to	to
clear	clear	clear
up	up	up
some	some	some
of	of	of
the	the	the
misunderstanding	misunderstand	misunderstanding
concerning	concern	concerning
omnipotence	omnipot	omnipotence
.	.	.

regards	regard	regard
,	,	,
jim	jim	jim
b	b	b
.	.	.
