zaphod	zaphod	zaphod
.	.	.
mps	mps	mp
.	.	.
ohio	ohio	ohio
-	-	-
state	state	state
.	.	.
edu	edu	edu
!	!	!
usc	usc	usc
!	!	!
elroy	elroy	elroy
.	.	.
jpl	jpl	jpl
.	.	.
nasa	nasa	nasa
.	.	.
gov	gov	gov
!	!	!
nntp	nntp	nntp
-	-	-
server	server	server
.	.	.
caltech	caltech	caltech
.	.	.
edu	edu	edu
!	!	!
juliet	juliet	juliet
.	.	.
caltech	caltech	caltech
.	.	.
edu	edu	edu
!	!	!
lmh	lmh	lmh
subject	subject	subject
:	:	:
re	re	re
:	:	:
americans	american	american
and	and	and
evolution	evolut	evolution
from	from	from
:	:	:
lmh@juliet.caltech.edu	lmh@juliet.caltech.edu	lmh@juliet.caltech.edu
(	(	(
henling	henl	henling
,	,	,
lawrence	lawrenc	lawrence
m	m	m
.	.	.
)	)	)
distribution	distribut	distribution
:	:	:
world	world	world
,	,	,
local	local	local
organization	organ	organization
:	:	:
california	california	california
institute	institut	institute
of	of	of
technology	technolog	technology
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
juliet	juliet	juliet
.	.	.
caltech	caltech	caltech
.	.	.
edu	edu	edu
news	news	news
-	-	-
software	softwar	software
:	:	:
vax	vax	vax
/	/	/
vms	vms	vms
vnews	vnew	vnews
1	1	1
.	.	.
41	41	41
lines	line	line
:	:	:
18	18	18

in	in	in
article	articl	article
<	<	<
1apr199313404295@skyblu.ccit.arizona.edu	1apr199313404295@skyblu.ccit.arizona.edu	1apr199313404295@skyblu.ccit.arizona.edu
<	<	<
,	,	,
lippard@skyblu.ccit.arizona.edu	lippard@skyblu.ccit.arizona.edu	lippard@skyblu.ccit.arizona.edu
(	(	(
james	jame	james
j	j	j
.	.	.

lippard	lippard	lippard
)	)	)
writes	write	writes
.	.	.
.	.	.
.	.	.

<	<	<
in	in	in
article	articl	article
<	<	<
31mar199321091163@juliet.caltech.edu	31mar199321091163@juliet.caltech.edu	31mar199321091163@juliet.caltech.edu
<	<	<
,	,	,
lmh@juliet.caltech.edu	lmh@juliet.caltech.edu	lmh@juliet.caltech.edu
(	(	(
henling	henl	henling
,	,	,
lawrence	lawrenc	lawrence
m	m	m
.	.	.
)	)	)
writes	write	writes
.	.	.
.	.	.
.	.	.

<	<	<
<	<	<
atheism	atheism	atheism
(	(	(
greek	greek	greek
'	'	'
a	a	a
'	'	'
not	not	not
+	+	+
'	'	'
theos	theo	theos
'	'	'
god	god	god
)	)	)
belief	belief	belief
that	that	that
there	there	there
is	is	is
no	no	no
god	god	god
.	.	.

<	<	<
<	<	<
agnosticism	agnostic	agnosticism
(	(	(
greek	greek	greek
'	'	'
a	a	a
'	'	'
not	not	not
+	+	+
~	~	~
'	'	'
gnostein	gnostein	gnostein
?	?	?
'	'	'
know	know	know
)	)	)
belief	belief	belief
that	that	that
it	it	it
is	is	is

<	<	<
<	<	<
not	not	not
possible	possibl	possible
to	to	to
determine	determin	determine
if	if	if
there	there	there
is	is	is
a	a	a
god	god	god
.	.	.

<	<	<
no	no	no
.	.	.
agnosticism	agnostic	agnosticism
as	as	a
you	you	you
have	have	have
here	here	here
defined	defin	defined
it	it	it
is	is	is
a	a	a
positive	posit	positive
belief	belief	belief
-	-	-
-	-	-
a	a	a

<	<	<
belief	belief	belief
that	that	that
it	it	it
is	is	is
not	not	not
possible	possibl	possible
to	to	to
determine	determin	determine
the	the	the
existence	exist	existence
of	of	of
any	ani	any
gods	god	god
.	.	.

<	<	<
that	that	that
'	'	'
s	s	s
a	a	a
belief	belief	belief
i	i	i
'	'	'
m	m	m
inclined	inclin	inclined
to	to	to
reject	reject	reject
.	.	.

you	you	you
have	have	have
also	also	also
defined	defin	defined
atheism	atheism	atheism

<	<	<
here	here	here
as	as	a
a	a	a
positive	posit	positive
belief	belief	belief
-	-	-
-	-	-
that	that	that
there	there	there
is	is	is
no	no	no
god	god	god
.	.	.

a	a	a
fairly	fair	fairly
large	larg	large
number	number	number

<	<	<
of	of	of
atheists	atheist	atheist
on	on	on
alt	alt	alt
.	.	.
atheism	atheism	atheism
reject	reject	reject
this	this	this
definition	definit	definition
,	,	,
instead	instead	instead
holding	hold	holding
that	that	that

<	<	<
atheism	atheism	atheism
is	is	is
simply	simpli	simply
the	the	the
absence	absenc	absence
of	of	of
belief	belief	belief
in	in	in
a	a	a
god	god	god
.	.	.

michael	michael	michael
martin	martin	martin
,	,	,
in	in	in

<	<	<
_atheism	_atheism	_atheism
:	:	:
a	a	a
philosophical	philosoph	philosophical
justification_	justification_	justification_
,	,	,
distinguishes	distinguish	distinguishes
strong	strong	strong
atheism	atheism	atheism

my	my	my
mistake	mistak	mistake
.	.	.

i	i	i
will	will	will
have	have	have
to	to	to
get	get	get
a	a	a
newer	newer	newer
dictionary	dictionari	dictionary
and	and	and
read	read	read
the	the	the
follow	follow	follow
up	up	up
line	line	line
.	.	.

larry	larri	larry
henling	henl	henling
lmh@shakes.caltech.edu	lmh@shakes.caltech.edu	lmh@shakes.caltech.edu
