subject	subject	subject
:	:	:
re	re	re
:	:	:
a	a	a
visit	visit	visit
from	from	from
the	the	the
jehovah	jehovah	jehovah
'	'	'
s	s	s
witnesses	wit	witness

from	from	from
:	:	:
lippard@skyblu.ccit.arizona.edu	lippard@skyblu.ccit.arizona.edu	lippard@skyblu.ccit.arizona.edu
(	(	(
james	jame	james
j	j	j
.	.	.

lippard	lippard	lippard
)	)	)
distribution	distribut	distribution
:	:	:
world	world	world
,	,	,
local	local	local
organization	organ	organization
:	:	:
university	univers	university
of	of	of
arizona	arizona	arizona
nntp	nntp	nntp
-	-	-
posting	post	posting
-	-	-
host	host	host
:	:	:
skyblu	skyblu	skyblu
.	.	.
ccit	ccit	ccit
.	.	.
arizona	arizona	arizona
.	.	.
edu	edu	edu
news	news	news
-	-	-
software	softwar	software
:	:	:
vax	vax	vax
/	/	/
vms	vms	vms
vnews	vnew	vnews
1	1	1
.	.	.
41	41	41
lines	line	line
:	:	:
27	27	27

in	in	in
article	articl	article
<	<	<
chrisb	chrisb	chrisb
.	.	.
734064380	734064380	734064380
@	@	@
baarnie	baarni	baarnie
>	>	>
,	,	,
chrisb@tafe.sa.edu.au	chrisb@tafe.sa.edu.au	chrisb@tafe.sa.edu.au
(	(	(
chris	chris	chris
bell	bell	bell
)	)	)
writes	write	writes
.	.	.
.	.	.
.	.	.

>	>	>
jbrown@batman.bmd.trw.com	jbrown@batman.bmd.trw.com	jbrown@batman.bmd.trw.com
writes	write	writes
:	:	:

>	>	>

>	>	>
>	>	>
my	my	my
syllogism	syllog	syllogism
is	is	is
of	of	of
the	the	the
form	form	form
:	:	:

>	>	>
>	>	>
a	a	a
is	is	is
b	b	b
.	.	.

>	>	>
>	>	>
c	c	c
is	is	is
a	a	a
.	.	.

>	>	>
>	>	>
therefore	therefor	therefore
c	c	c
is	is	is
b	b	b
.	.	.

>	>	>

>	>	>
>	>	>
this	this	this
is	is	is
a	a	a
logically	logic	logically
valid	valid	valid
construction	construct	construction
.	.	.

>	>	>

>	>	>
>	>	>
your	your	your
syllogism	syllog	syllogism
,	,	,
however	howev	however
,	,	,
is	is	is
of	of	of
the	the	the
form	form	form
:	:	:

>	>	>
>	>	>
a	a	a
is	is	is
b	b	b
.	.	.

>	>	>
>	>	>
c	c	c
is	is	is
b	b	b
.	.	.

>	>	>
>	>	>
therefore	therefor	therefore
c	c	c
is	is	is
a	a	a
.	.	.

>	>	>

>	>	>
>	>	>
therefore	therefor	therefore
yours	your	yours
is	is	is
a	a	a
logically	logic	logically
invalid	invalid	invalid
construction	construct	construction
,	,	,

>	>	>
>	>	>
and	and	and
your	your	your
comments	comment	comment
don	don	don
'	'	'
t	t	t
apply	appli	apply
.	.	.

if	if	if
all	all	all
of	of	of
those	those	those
are	are	are
"	"	"
is	is	is
"	"	"
'	'	'
s	s	s
of	of	of
identity	ident	identity
,	,	,
both	both	both
syllogisms	syllog	syllogism
are	are	are
valid	valid	valid
.	.	.

if	if	if
,	,	,
however	howev	however
,	,	,
b	b	b
is	is	is
a	a	a
predicate	predic	predicate
,	,	,
then	then	then
the	the	the
second	second	second
syllogism	syllog	syllogism
is	is	is
invalid	invalid	invalid
.	.	.

(	(	(
the	the	the
first	first	first
syllogism	syllog	syllogism
,	,	,
as	as	a
you	you	you
have	have	have
pointed	point	pointed
out	out	out
,	,	,
is	is	is
valid	valid	valid
-	-	-
-	-	-
whether	whether	whether
b	b	b
is	is	is
a	a	a
predicate	predic	predicate
or	or	or
designates	design	designates
an	an	an
individual	individu	individual
.	.	.
)	)	)

jim	jim	jim
lippard	lippard	lippard
lippard@ccit.arizona.edu	lippard@ccit.arizona.edu	lippard@ccit.arizona.edu
dept	dept	dept
.	.	.

of	of	of
philosophy	philosophi	philosophy
lippard@arizvms.bitnet	lippard@arizvms.bitnet	lippard@arizvms.bitnet
university	univers	university
of	of	of
arizona	arizona	arizona
tucson	tucson	tucson
,	,	,
az	az	az
85721	85721	85721
