from	from	from
:	:	:
gregg@xenon.stanford.edu	gregg@xenon.stanford.edu	gregg@xenon.stanford.edu
(	(	(
gregg	gregg	gregg
l	l	l
.	.	.

kasten	kasten	kasten
)	)	)
subject	subject	subject
:	:	:
differences	differ	difference
in	in	in
insurance	insur	insurance
companies	compani	company
'	'	'
rates	rate	rate
keywords	keyword	keywords
:	:	:
insurance	insur	insurance
organization	organ	organization
:	:	:
cs	cs	c
department	depart	department
,	,	,
stanford	stanford	stanford
university	univers	university
,	,	,
california	california	california
,	,	,
usa	usa	usa
distribution	distribut	distribution
:	:	:
ca	ca	ca
lines	line	line
:	:	:
23	23	23

i	i	i
am	am	am
considering	consid	considering
buying	buy	buying
an	an	an
new	new	new
car	car	car
,	,	,
so	so	so
i	i	i
called	call	called
three	three	three
insurance	insur	insurance
companies	compani	company
in	in	in
california	california	california
to	to	to
get	get	get
estimates	estim	estimate
.	.	.

i	i	i
asked	ask	asked
for	for	for
the	the	the
same	same	same
coverage	coverag	coverage
and	and	and
same	same	same
deductibles	deduct	deductible
.	.	.

most	most	most
of	of	of
the	the	the
companies	compani	company
charge	charg	charge
you	you	you
according	accord	according
to	to	to
your	your	your
zip	zip	zip
code	code	code
.	.	.

others	other	others
charge	charg	charge
according	accord	according
to	to	to
your	your	your
city	citi	city
.	.	.

anyhow	anyhow	anyhow
,	,	,
i	i	i
gave	gave	gave
the	the	the
same	same	same
zip	zip	zip
code	code	code
and	and	and
city	citi	city
to	to	to
all	all	all
three	three	three
places	place	place
.	.	.

here	here	here
'	'	'
s	s	s
what	what	what
i	i	i
found	found	found
(	(	(
for	for	for
a	a	a
'	'	'
93	93	93
integra	integra	integra
gs	gs	g
)	)	)
:	:	:

aaa	aaa	aaa
:	:	:
~	~	~
$	$	$
2000	2000	2000
/	/	/
yr	yr	yr
.	.	.

state	state	state
farm	farm	farm
:	:	:
2614	2614	2614
.	.	.
92	92	92
/	/	/
yr	yr	yr
.	.	.

allstate	allstat	allstate
:	:	:
1220	1220	1220
/	/	/
yr	yr	yr
.	.	.

aaa	aaa	aaa
is	is	is
non	non	non
-	-	-
profit	profit	profit
,	,	,
so	so	so
they	they	they
said	said	said
i	i	i
could	could	could
also	also	also
expect	expect	expect
to	to	to
receive	receiv	receive
about	about	about

$	$	$
200	200	200
-	-	-
300	300	300
back	back	back
at	at	at
the	the	the
end	end	end
of	of	of
the	the	the
year	year	year
.	.	.

still	still	still
,	,	,
there	there	there
is	is	is
a	a	a
huge	huge	huge
gap	gap	gap
between	between	between
all	all	all
of	of	of
these	these	these
companies	compani	company
.	.	.

state	state	state
farm	farm	farm
wants	want	want
more	more	more
than	than	than
twice	twice	twice
as	as	a
much	much	much
as	as	a
allstate	allstat	allstate
.	.	.

i	i	i
think	think	think
i	i	i
should	should	should
be	be	be
suspicious	suspici	suspicious
,	,	,
but	but	but
i	i	i
'	'	'
ve	ve	ve
never	never	never
heard	heard	heard
anybody	anybodi	anybody
else	els	else
complain	complain	complain
.	.	.

any	ani	any
comments	comment	comment
?	?	?

thanks	thank	thanks
,	,	,
gregg	gregg	gregg
l	l	l
.	.	.

kasten	kasten	kasten
gregg@cs.stanford.edu	gregg@cs.stanford.edu	gregg@cs.stanford.edu
